reaction	metabolite	global_id	flux	PositiveFlux	Compound	SMETANACompound	SMETANAMembership
EX_4abz_m	4abz_m	EX_4abz(e)	0.1	True	4abz	4abz	True
EX_4hbz_m	4hbz_m	EX_4hbz(e)	0.1	True	4hbz	4hbz	True
EX_ac_m	ac_m	EX_ac(e)	0.1	True	ac	ac	True
EX_acgam_m	acgam_m	EX_acgam(e)	0.1	True	acgam	acgam	True
EX_ala_L_m	ala_L_m	EX_ala_L(e)	0.1	True	ala_L	ala_L	True
EX_amp_m	amp_m	EX_amp(e)	0.1	True	amp	amp	True
EX_asn_L_m	asn_L_m	EX_asn_L(e)	0.0225	True	asn_L	asn_L	True
EX_asp_L_m	asp_L_m	EX_asp_L(e)	0.0225	True	asp_L	asp_L	True
EX_ca2_m	ca2_m	EX_ca2(e)	0.1	True	ca2	ca2	True
EX_cgly_m	cgly_m	EX_cgly(e)	0.1	True	cgly	cgly	True
EX_cl_m	cl_m	EX_cl(e)	0.1	True	cl	cl	True
EX_cobalt2_m	cobalt2_m	EX_cobalt2(e)	0.1	True	cobalt2	cobalt2	True
EX_cu2_m	cu2_m	EX_cu2(e)	0.1	True	cu2	cu2	True
EX_cys_L_m	cys_L_m	EX_cys_L(e)	0.1	True	cys_L	cys_L	True
EX_ddca_m	ddca_m	EX_ddca(e)	0.1	True	ddca	ddca	True
EX_drib_m	drib_m	EX_drib(e)	0.0178783	True	drib	drib	True
EX_fe2_m	fe2_m	EX_fe2(e)	0.1	True	fe2	fe2	True
EX_fe3_m	fe3_m	EX_fe3(e)	0.1	True	fe3	fe3	True
EX_for_m	for_m	EX_for(e)	0.1	True	for	for	True
EX_fru_m	fru_m	EX_fru(e)	0.0148985999999999	True	fru	fru	True
EX_fum_m	fum_m	EX_fum(e)	0.1	True	fum	fum	True
EX_gal_m	gal_m	EX_gal(e)	0.0148985999999999	True	gal	gal	True
EX_gam_m	gam_m	EX_gam(e)	0.1	True	gam	gam	True
EX_gln_L_m	gln_L_m	EX_gln_L(e)	0.018	True	gln_L	gln_L	True
EX_glu_L_m	glu_L_m	EX_glu_L(e)	0.018	True	glu_L	glu_L	True
EX_gly_m	gly_m	EX_gly(e)	0.045	True	gly	gly	True
EX_glyc_m	glyc_m	EX_glyc(e)	0.1799655	True	glyc	glyc	True
EX_glyc3p_m	glyc3p_m	EX_glyc3p(e)	0.1	True	glyc3p	glyc3p	True
EX_gua_m	gua_m	EX_gua(e)	0.1	True	gua	gua	True
EX_h_m	h_m	EX_h(e)	0.1	True	h	h	True
EX_h2o_m	h2o_m	EX_h2o(e)	10.0	True	h2o	h2o	True
EX_his_L_m	his_L_m	EX_his_L(e)	0.015	True	his_L	his_L	True
EX_hxan_m	hxan_m	EX_hxan(e)	0.1	True	hxan	hxan	True
EX_ile_L_m	ile_L_m	EX_ile_L(e)	0.015	True	ile_L	ile_L	True
EX_inulin_m	inulin_m	EX_inulin(e)	0.000470195	True	inulin	inulin	True
EX_k_m	k_m	EX_k(e)	0.1	True	k	k	True
EX_lcts_m	lcts_m	EX_lcts(e)	0.0074492999999999	True	lcts	lcts	True
EX_leu_L_m	leu_L_m	EX_leu_L(e)	0.015	True	leu_L	leu_L	True
EX_lys_L_m	lys_L_m	EX_lys_L(e)	0.015	True	lys_L	lys_L	True
EX_malt_m	malt_m	EX_malt(e)	0.0074492999999999	True	malt	malt	True
EX_man_m	man_m	EX_man(e)	0.0148985999999999	True	man	man	True
EX_met_L_m	met_L_m	EX_met_L(e)	0.018	True	met_L	met_L	True
EX_metsox_S_L_m	metsox_S_L_m	EX_metsox_S_L(e)	0.1	True	metsox_S_L	metsox_S_L	True
EX_mg2_m	mg2_m	EX_mg2(e)	0.1	True	mg2	mg2	True
EX_mn2_m	mn2_m	EX_mn2(e)	0.1	True	mn2	mn2	True
EX_mnl_m	mnl_m	EX_mnl(e)	0.0148985999999999	True	mnl	mnl	True
EX_mqn8_m	mqn8_m	EX_mqn8(e)	0.1	True	mqn8	mqn8	True
EX_na1_m	na1_m	EX_na1(e)	0.1	True	na1	na1	True
EX_nac_m	nac_m	EX_nac(e)	0.1	True	nac	nac	True
EX_o2_m	o2_m	EX_o2(e)	0.001	True	o2	o2	False
EX_ocdca_m	ocdca_m	EX_ocdca(e)	0.0169283	True	ocdca	ocdca	True
EX_phe_L_m	phe_L_m	EX_phe_L(e)	0.1	True	phe_L	phe_L	True
EX_pheme_m	pheme_m	EX_pheme(e)	0.1	True	pheme	pheme	True
EX_pi_m	pi_m	EX_pi(e)	0.1	True	pi	pi	True
EX_pnto_R_m	pnto_R_m	EX_pnto_R(e)	0.1	True	pnto_R	pnto_R	True
EX_pro_L_m	pro_L_m	EX_pro_L(e)	0.018	True	pro_L	pro_L	True
EX_ptrc_m	ptrc_m	EX_ptrc(e)	0.1	True	ptrc	ptrc	True
EX_pydam_m	pydam_m	EX_pydam(e)	0.1	True	pydam	pydam	True
EX_pydx_m	pydx_m	EX_pydx(e)	0.1	True	pydx	pydx	True
EX_pydxn_m	pydxn_m	EX_pydxn(e)	0.1	True	pydxn	pydxn	True
EX_q8_m	q8_m	EX_q8(e)	0.1	True	q8	q8	True
EX_raffin_m	raffin_m	EX_raffin(e)	0.004701945	True	raffin	raffin	True
EX_rib_D_m	rib_D_m	EX_rib_D(e)	0.0178783	True	rib_D	rib_D	True
EX_sheme_m	sheme_m	EX_sheme(e)	0.1	True	sheme	sheme	True
EX_so4_m	so4_m	EX_so4(e)	0.1	True	so4	so4	True
EX_spmd_m	spmd_m	EX_spmd(e)	0.1	True	spmd	spmd	True
EX_sucr_m	sucr_m	EX_sucr(e)	0.0074492999999999	True	sucr	sucr	True
EX_thm_m	thm_m	EX_thm(e)	0.1	True	thm	thm	True
EX_thr_L_m	thr_L_m	EX_thr_L(e)	0.0225	True	thr_L	thr_L	True
EX_tre_m	tre_m	EX_tre(e)	0.0744929999999999	True	tre	tre	True
EX_ttdca_m	ttdca_m	EX_ttdca(e)	0.0068676	True	ttdca	ttdca	True
EX_tyr_L_m	tyr_L_m	EX_tyr_L(e)	0.1	True	tyr_L	tyr_L	True
EX_val_L_m	val_L_m	EX_val_L(e)	0.018	True	val_L	val_L	True
EX_xan_m	xan_m	EX_xan(e)	0.1	True	xan	xan	True
EX_xyl_D_m	xyl_D_m	EX_xyl_D(e)	0.0178783	True	xyl_D	xyl_D	True
EX_zn2_m	zn2_m	EX_zn2(e)	0.1	True	zn2	zn2	True
EX_arg_L_m	arg_L_m	EX_arg_L(e)	0.015	True	arg_L	arg_L	True
EX_btn_m	btn_m	EX_btn(e)	0.1	True	btn	btn	True
EX_cbl1_m	cbl1_m	EX_cbl1(e)	0.1	True	cbl1	cbl1	True
EX_chol_m	chol_m	EX_chol(e)	0.1	True	chol	chol	True
EX_csn_m	csn_m	EX_csn(e)	0.1	True	csn	csn	True
EX_h2_m	h2_m	EX_h2(e)	0.1	True	h2	h2	True
EX_h2s_m	h2s_m	EX_h2s(e)	0.1	True	h2s	h2s	True
EX_hdca_m	hdca_m	EX_hdca(e)	0.0396371	True	hdca	hdca	True
EX_nmn_m	nmn_m	EX_nmn(e)	0.1	True	nmn	nmn	True
EX_orn_m	orn_m	EX_orn(e)	0.1	True	orn	orn	True
EX_ribflv_m	ribflv_m	EX_ribflv(e)	0.1	True	ribflv	ribflv	True
EX_ser_L_m	ser_L_m	EX_ser_L(e)	0.1	True	ser_L	ser_L	True
EX_thymd_m	thymd_m	EX_thymd(e)	0.1	True	thymd	thymd	True
EX_ura_m	ura_m	EX_ura(e)	0.1	True	ura	ura	True
EX_26dap_M_m	26dap_M_m	EX_26dap_M(e)	0.1	True	26dap_M	26dap_M	True
EX_cit_m	cit_m	EX_cit(e)	0.1	True	cit	cit	True
EX_dcyt_m	dcyt_m	EX_dcyt(e)	0.1	True	dcyt	dcyt	True
EX_fol_m	fol_m	EX_fol(e)	0.1	True	fol	fol	True
EX_trp_L_m	trp_L_m	EX_trp_L(e)	0.008182	True	trp_L	trp_L	True
EX_12dgr180_m	12dgr180_m	EX_12dgr180(e)	0.1	True	12dgr180	12dgr180	True
EX_3mop_m	3mop_m	EX_3mop(e)	0.1	True	3mop	3mop	True
EX_arab_L_m	arab_L_m	EX_arab_L(e)	0.0178783	True	arab_L	arab_L	True
EX_indole_m	indole_m	EX_indole(e)	0.1	True	indole	indole	True
EX_mqn7_m	mqn7_m	EX_mqn7(e)	0.1	True	mqn7	mqn7	True
EX_2dmmq8_m	2dmmq8_m	EX_2dmmq8(e)	0.1	True	2dmmq8	2dmmq8	True
EX_2obut_m	2obut_m	EX_2obut(e)	0.1	True	2obut	2obut	True
EX_ade_m	ade_m	EX_ade(e)	0.1	True	ade	ade	True
EX_cytd_m	cytd_m	EX_cytd(e)	0.1	True	cytd	cytd	True
EX_dad_2_m	dad_2_m	EX_dad_2(e)	0.1	True	dad_2	dad_2	True
EX_dgsn_m	dgsn_m	EX_dgsn(e)	0.1	True	dgsn	dgsn	True
EX_no2_m	no2_m	EX_no2(e)	0.1	True	no2	no2	True
EX_uri_m	uri_m	EX_uri(e)	0.1	True	uri	uri	True
EX_adn_m	adn_m	EX_adn(e)	0.1	True	adn	adn	True
EX_cellb_m	cellb_m	EX_cellb(e)	0.0744929999999999	True	cellb	cellb	True
EX_melib_m	melib_m	EX_melib(e)	0.0074492999999999	True	melib	melib	True
EX_acnam_m	acnam_m	EX_acnam(e)	0.1	True	acnam	acnam	True
EX_gthrd_m	gthrd_m	EX_gthrd(e)	0.1	True	gthrd	gthrd	True
EX_ncam_m	ncam_m	EX_ncam(e)	0.1	True	ncam	ncam	True
