taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_ac(e)	-0.0002121302722037	0.0321124673131824	ac[e]	import
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_anzp(e)	-1670.39274073211	0.0321124673131824	anzp[e]	import
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_asp_L(e)	-13.453829959140092	0.0321124673131824	asp_L[e]	import
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_dfdcytd(e)	-0.0511459877384134	0.0321124673131824	dfdcytd[e]	import
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_h2(e)	1.0588320926345345	0.0321124673131824	h2[e]	export
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_nmn(e)	16.04902032297314	0.0321124673131824	nmn[e]	export
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_no3(e)	-9505.138137239128	0.0321124673131824	no3[e]	import
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_sulfac(e)	7474.050390650559	0.0321124673131824	sulfac[e]	export
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_tyr_L(e)	0.0012725496541922	0.0321124673131824	tyr_L[e]	export
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_dgchol(e)	0.0005620259728874	0.0515084470946725	dgchol[e]	export
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_met_L(e)	-0.0002921876876702	0.0515084470946725	met_L[e]	import
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_nchlphncl(e)	8.677707811404326e-05	0.0515084470946725	nchlphncl[e]	export
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_ocdca(e)	-0.0003010823386168	0.0515084470946725	ocdca[e]	import
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_phe_L(e)	4.140755999571237e-05	0.0515084470946725	phe_L[e]	export
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_pnto_R(e)	0.0003650173053189	0.0515084470946725	pnto_R[e]	export
