medium	compound	PoolExchange	PresentInSubcommunity
western_diet_gut_anoxic_membership	12dgr180	R_EX_M_12dgr180_e_pool	False
western_diet_gut_anoxic_membership	26dap_M	R_EX_M_26dap_M_e_pool	True
western_diet_gut_anoxic_membership	2dmmq8	R_EX_M_2dmmq8_e_pool	False
western_diet_gut_anoxic_membership	2obut	R_EX_M_2obut_e_pool	True
western_diet_gut_anoxic_membership	3mop	R_EX_M_3mop_e_pool	False
western_diet_gut_anoxic_membership	4abz	R_EX_M_4abz_e_pool	True
western_diet_gut_anoxic_membership	4hbz	R_EX_M_4hbz_e_pool	True
western_diet_gut_anoxic_membership	ac	R_EX_M_ac_e_pool	True
western_diet_gut_anoxic_membership	acgam	R_EX_M_acgam_e_pool	True
western_diet_gut_anoxic_membership	acmana	R_EX_M_acmana_e_pool	False
western_diet_gut_anoxic_membership	acnam	R_EX_M_acnam_e_pool	True
western_diet_gut_anoxic_membership	ade	R_EX_M_ade_e_pool	True
western_diet_gut_anoxic_membership	adn	R_EX_M_adn_e_pool	True
western_diet_gut_anoxic_membership	ala_D	R_EX_M_ala_D_e_pool	True
western_diet_gut_anoxic_membership	ala_L	R_EX_M_ala_L_e_pool	True
western_diet_gut_anoxic_membership	amet	R_EX_M_amet_e_pool	False
western_diet_gut_anoxic_membership	amp	R_EX_M_amp_e_pool	False
western_diet_gut_anoxic_membership	amylopect900	R_EX_M_amylopect900_e_pool	True
western_diet_gut_anoxic_membership	amylose300	R_EX_M_amylose300_e_pool	True
western_diet_gut_anoxic_membership	arab_D	R_EX_M_arab_D_e_pool	True
western_diet_gut_anoxic_membership	arab_L	R_EX_M_arab_L_e_pool	True
western_diet_gut_anoxic_membership	arabinan101	R_EX_M_arabinan101_e_pool	False
western_diet_gut_anoxic_membership	arabinogal	R_EX_M_arabinogal_e_pool	False
western_diet_gut_anoxic_membership	arabinoxyl	R_EX_M_arabinoxyl_e_pool	True
western_diet_gut_anoxic_membership	arg_L	R_EX_M_arg_L_e_pool	True
western_diet_gut_anoxic_membership	asn_L	R_EX_M_asn_L_e_pool	True
western_diet_gut_anoxic_membership	asp_L	R_EX_M_asp_L_e_pool	True
western_diet_gut_anoxic_membership	bglc	R_EX_M_bglc_e_pool	False
western_diet_gut_anoxic_membership	btn	R_EX_M_btn_e_pool	True
western_diet_gut_anoxic_membership	ca2	R_EX_M_ca2_e_pool	True
western_diet_gut_anoxic_membership	cbl1	R_EX_M_cbl1_e_pool	True
western_diet_gut_anoxic_membership	cellb	R_EX_M_cellb_e_pool	True
western_diet_gut_anoxic_membership	cellul	R_EX_M_cellul_e_pool	False
western_diet_gut_anoxic_membership	cgly	R_EX_M_cgly_e_pool	True
western_diet_gut_anoxic_membership	chol	R_EX_M_chol_e_pool	False
western_diet_gut_anoxic_membership	chor	R_EX_M_chor_e_pool	False
