genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
binette__026.fna,1_1,0.0010000000000000009,average,fastANI,1
metabat2-mock1__026.fna,1_1,0.0010000000000000009,average,fastANI,1
metabat2-multisample__012.fna,1_1,0.0010000000000000009,average,fastANI,1
semibin2__023.fna,1_1,0.0010000000000000009,average,fastANI,1
taxvamb__004.fna,1_1,0.0010000000000000009,average,fastANI,1
vamb__025.fna,1_1,0.0010000000000000009,average,fastANI,1
binette__012.fna,2_1,0.0010000000000000009,average,fastANI,2
metabat2-mock1__019.fna,2_1,0.0010000000000000009,average,fastANI,2
metabat2-multisample__008.fna,2_1,0.0010000000000000009,average,fastANI,2
semibin2__029.fna,2_1,0.0010000000000000009,average,fastANI,2
taxvamb__035.fna,2_1,0.0010000000000000009,average,fastANI,2
vamb__022.fna,2_1,0.0010000000000000009,average,fastANI,2
binette__008.fna,3_1,0.0010000000000000009,average,fastANI,3
metabat2-mock1__009.fna,3_1,0.0010000000000000009,average,fastANI,3
metabat2-multisample__022.fna,3_1,0.0010000000000000009,average,fastANI,3
semibin2__040.fna,3_1,0.0010000000000000009,average,fastANI,3
taxvamb__012.fna,3_1,0.0010000000000000009,average,fastANI,3
vamb__003.fna,3_1,0.0010000000000000009,average,fastANI,3
binette__021.fna,4_1,0.0010000000000000009,average,fastANI,4
metabat2-mock1__025.fna,4_1,0.0010000000000000009,average,fastANI,4
metabat2-multisample__003.fna,4_1,0.0010000000000000009,average,fastANI,4
semibin2__036.fna,4_1,0.0010000000000000009,average,fastANI,4
taxvamb__007.fna,4_1,0.0010000000000000009,average,fastANI,4
vamb__002.fna,4_1,0.0010000000000000009,average,fastANI,4
binette__022.fna,5_1,0.0010000000000000009,average,fastANI,5
metabat2-mock1__029.fna,5_1,0.0010000000000000009,average,fastANI,5
metabat2-multisample__024.fna,5_1,0.0010000000000000009,average,fastANI,5
semibin2__027.fna,5_1,0.0010000000000000009,average,fastANI,5
taxvamb__002.fna,5_1,0.0010000000000000009,average,fastANI,5
