genome,cluster,score
vamb__025.fna,1_1,101.33723758663358
binette__012.fna,2_1,102.13698998436426
binette__008.fna,3_1,98.15634422619249
vamb__002.fna,4_1,102.09192685114907
binette__022.fna,5_1,101.67367014308812
metabat2-multisample__018.fna,6_1,66.71103091191381
binette__025.fna,7_1,100.90337736661407
semibin2__018.fna,8_1,61.26152963110887
binette__015.fna,9_1,79.33948290714737
semibin2__038.fna,10_1,101.77064480840535
taxvamb__008.fna,11_1,100.08675046023433
binette__009.fna,12_1,99.26356568607011
binette__018.fna,13_1,57.28494187217849
semibin2__043.fna,14_1,100.51500236956049
binette__017.fna,15_1,63.79934233631047
binette__001.fna,16_1,102.30518501425355
binette__002.fna,17_1,100.84960476390062
binette__013.fna,18_1,88.24113994731648
binette__005.fna,19_1,101.34449953973738
semibin2__020.fna,20_1,91.59172792348588
binette__011.fna,21_1,80.59401174655872
binette__006.fna,22_1,98.80873410770424
binette__024.fna,23_1,101.6401934286867
binette__007.fna,24_1,99.724248239132
taxvamb__027.fna,24_2,59.67336547509503
