package	expected_version	lock_version	lock_source	lock_repository	lock_status
curatedMetagenomicData	3.12.0	3.12.0	Bioconductor	Bioconductor 3.19	PASS
ExperimentHub	2.12.0	2.12.0	Bioconductor	Bioconductor 3.19	PASS
AnnotationHub	3.12.0	3.12.0	Bioconductor	Bioconductor 3.19	PASS
BiocFileCache	2.12.0	2.12.0	Bioconductor	Bioconductor 3.19	PASS
SummarizedExperiment	1.34.0	1.34.0	Bioconductor	Bioconductor 3.19	PASS
TreeSummarizedExperiment	2.12.0	2.12.0	Bioconductor	Bioconductor 3.19	PASS
mia	1.12.0	1.12.0	Bioconductor	Bioconductor 3.19	PASS
phyloseq	1.48.0	1.48.0	Bioconductor	Bioconductor 3.19	PASS
vegan	2.6-6.1	2.6-6.1	Repository	CRAN	PASS
DESeq2	1.44.0	1.44.0	Bioconductor	Bioconductor 3.19	PASS
ggplot2	3.5.2	3.5.2	Repository	CRAN	PASS
dplyr	1.1.4	1.1.4	Repository	CRAN	PASS
tidyr	1.3.1	1.3.1	Repository	CRAN	PASS
readr	2.1.5	2.1.5	Repository	CRAN	PASS
renv	1.0.7	1.0.7	Repository	CRAN	PASS
sessioninfo	1.2.2	1.2.2	Repository	CRAN	PASS
digest	0.6.36	0.6.36	Repository	CRAN	PASS
