package	role	expected_version	observed_version	expected_repository	observed_repository	library_scope	namespace_loaded	lock_version	lock_source	lock_repository	version_status	repository_status	lock_status	status
curatedMetagenomicData	resource discovery and standardized study objects	3.12.0	3.12.0	Bioconductor 3.19	Bioconductor 3.19	Project library	TRUE	3.12.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
ExperimentHub	remote resource registry and cache client	2.12.0	2.12.0	Bioconductor 3.19	Bioconductor 3.19	System / site library	TRUE	2.12.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
AnnotationHub	hub query and metadata infrastructure	3.12.0	3.12.0	Bioconductor 3.19	Bioconductor 3.19	System / site library	TRUE	3.12.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
BiocFileCache	checksummable local resource cache	2.12.0	2.12.0	Bioconductor 3.19	Bioconductor 3.19	System / site library	TRUE	2.12.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
SummarizedExperiment	assay and sample metadata container	1.34.0	1.34.0	Bioconductor 3.19	Bioconductor 3.19	System / site library	TRUE	1.34.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
TreeSummarizedExperiment	tree-aware assay container	2.12.0	2.12.0	Bioconductor 3.19	Bioconductor 3.19	User library	TRUE	2.12.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
mia	microbiome object transformations	1.12.0	1.12.0	Bioconductor 3.19	Bioconductor 3.19	User library	TRUE	1.12.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
phyloseq	interoperable ecological analysis object	1.48.0	1.48.0	Bioconductor 3.19	Bioconductor 3.19	System / site library	TRUE	1.48.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
vegan	ecological distance and permutation statistics	2.6-6.1	2.6-6.1	CRAN	CRAN	System / site library	TRUE	2.6-6.1	Repository	CRAN	PASS	PASS	PASS	PASS
DESeq2	count-scale differential analysis	1.44.0	1.44.0	Bioconductor 3.19	Bioconductor 3.19	System / site library	TRUE	1.44.0	Bioconductor	Bioconductor 3.19	PASS	PASS	PASS	PASS
ggplot2	publication graphics	3.5.2	3.5.2	CRAN	CRAN	System / site library	TRUE	3.5.2	Repository	CRAN	PASS	PASS	PASS	PASS
dplyr	table transformation	1.1.4	1.1.4	CRAN	CRAN	System / site library	TRUE	1.1.4	Repository	CRAN	PASS	PASS	PASS	PASS
tidyr	long and wide table reshaping	1.3.1	1.3.1	CRAN	CRAN	System / site library	TRUE	1.3.1	Repository	CRAN	PASS	PASS	PASS	PASS
readr	delimited data input and output	2.1.5	2.1.5	CRAN	CRAN	System / site library	TRUE	2.1.5	Repository	CRAN	PASS	PASS	PASS	PASS
renv	project package lock	1.0.7	1.0.7	CRAN	CRAN	System / site library	TRUE	1.0.7	Repository	CRAN	PASS	PASS	PASS	PASS
sessioninfo	runtime provenance	1.2.2	1.2.2	CRAN	CRAN	System / site library	TRUE	1.2.2	Repository	CRAN	PASS	PASS	PASS	PASS
digest	SHA-256 verification	0.6.36	0.6.36	CRAN	CRAN	System / site library	TRUE	0.6.36	Repository	CRAN	PASS	PASS	PASS	PASS
