category	check_id	observed	expected	status
object	object-class	TreeSummarizedExperiment	TreeSummarizedExperiment	PASS
object	object-features	298	298	PASS
object	object-samples	24	24	PASS
object	assay-count	1	1	PASS
object	assay-name	relative_abundance	relative_abundance	PASS
object	row-metadata-columns	7	7	PASS
object	sample-metadata-columns	22	22	PASS
object	feature-ids-unique	0	0	PASS
object	sample-ids-unique	0	0	PASS
object	assay-feature-alignment	TRUE	TRUE	PASS
object	assay-sample-alignment	TRUE	TRUE	PASS
object	row-metadata-alignment	TRUE	TRUE	PASS
object	sample-metadata-alignment	TRUE	TRUE	PASS
object	tree-tip-alignment	298	298	PASS
object	assay-numeric	TRUE	TRUE	PASS
object	assay-finite	0	0	PASS
object	assay-nonnegative	0	>=0	PASS
object	assay-percent-upper-bound	100	<=100	PASS
object	assay-is-not-integer-counts	994	>0	PASS
object	minimum-column-sum	94.65166	94.65166	PASS
object	median-column-sum	99.999995	99.999995	PASS
object	maximum-column-sum	100.00003	100.00003	PASS
object	study-name	AsnicarF_2017	AsnicarF_2017	PASS
object	subject-count	15	15	PASS
object	pmid	28144631	28144631	PASS
object	accession-count	24	24	PASS
object	sequencing-depth-positive	38958	>0	PASS
object	sample-audit-pass	24	24	PASS
object	phyloseq-feature-parity	298	298	PASS
object	phyloseq-sample-parity	24	24	PASS
object	phyloseq-library-parity	0	0	PASS
