category	check_id	observed	expected	status
resource	resource-pattern	AsnicarF_2017.relative_abundance	AsnicarF_2017.relative_abundance	PASS
resource	selected-title	2021-10-14.AsnicarF_2017.relative_abundance	2021-10-14.AsnicarF_2017.relative_abundance	PASS
resource	experimenthub-id	EH7091	EH7091	PASS
resource	raw-cache-bytes	18187	18187	PASS
resource	raw-cache-sha256	ad631532fbbab39dfc3550a676a58310887d317e947392dcae9e0d4e4d69db27	ad631532fbbab39dfc3550a676a58310887d317e947392dcae9e0d4e4d69db27	PASS
resource	snapshot-bytes	199904	199904	PASS
resource	snapshot-sha256	2952774730bff2af9e13c9c40058320aed524dc2dc7408b44dc6e697c06564b2	2952774730bff2af9e13c9c40058320aed524dc2dc7408b44dc6e697c06564b2	PASS
resource	manifest-snapshot-sha256	2952774730bff2af9e13c9c40058320aed524dc2dc7408b44dc6e697c06564b2	2952774730bff2af9e13c9c40058320aed524dc2dc7408b44dc6e697c06564b2	PASS
resource	offline-replay	TRUE	TRUE	PASS
resource	manifest-package-version	3.12.0	3.12.0	PASS
resource	manifest-bioconductor-version	3.19	3.19	PASS
resource	retrieval-log-id	TRUE	TRUE	PASS
resource	retrieval-log-offline	TRUE	TRUE	PASS
resource	package-source-sha256-notice	TRUE	TRUE	PASS
