assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_000008085.1	REF_GCA_000008085.1_REFERENCE	user_map_and_appended	228908	57	57	75.00	0.00	54	Yes
GCF_000011105.1	REF_GCF_000011105.1_REFERENCE	user_map_and_appended	70601	76	75	100.00	1.32	73	Yes
GCF_000016125.1	REF_GCF_000016125.1_REFERENCE	user_map_and_appended	402880	75	74	98.68	1.32	74	Yes
GCF_000017945.1	REF_GCF_000017945.1_REFERENCE	user_map_and_appended	453591	75	74	98.68	1.32	70	Yes
GCF_000091665.1	REF_GCF_000091665.1_REFERENCE	user_map_and_appended	243232	76	74	100.00	2.63	73	Yes
GCF_001481685.1	REF_GCF_001481685.1_REFERENCE	user_map_and_appended	940295	75	73	98.68	3.95	70	Yes
GCF_001639275.1	REF_GCF_001639275.1_REFERENCE	user_map_and_appended	66851	76	76	100.00	0.00	75	Yes
GCF_008124605.1	REF_GCF_008124605.1_REFERENCE	user_map_and_appended	2597657	76	75	100.00	1.32	72	Yes
SGB_008	SGB_008_QUERY_MAG	user_map_and_appended	NA	46	46	60.53	0.00	43	Yes
SGB_009	SGB_009_QUERY_MAG	user_map_and_appended	NA	68	68	89.47	0.00	59	Yes
SGB_010	SGB_010_QUERY_MAG	user_map_and_appended	NA	76	74	100.00	2.63	73	Yes
SGB_011	SGB_011_QUERY_MAG	user_map_and_appended	NA	74	74	97.37	0.00	73	Yes
SGB_013	SGB_013_QUERY_MAG	user_map_and_appended	NA	56	55	73.68	1.32	48	Yes
SGB_018	SGB_018_QUERY_MAG	user_map_and_appended	NA	45	45	59.21	0.00	44	Yes
SGB_019	SGB_019_QUERY_MAG	user_map_and_appended	NA	76	75	100.00	1.32	74	Yes
SGB_020	SGB_020_QUERY_MAG	user_map_and_appended	NA	74	74	97.37	0.00	69	Yes
