assembly_id	Adenylsucc_synt	AdoHcyase	Archease	ATP-synt_D	ATP-synt_F	CarS-like	CTP-dep_RFKase	Diphthamide_syn	DNA_primase_lrg	dsDNA_bind	DUF357	DUF359	DUF655	eIF-6	FbpA	Ham1p_like	HMG-CoA_red	NDK	PPS_PS	Prefoldin	PTH2	PyrI	Ribosomal_L1	Ribosomal_L13	Ribosomal_L14	Ribosomal_L15e	Ribosomal_L16	Ribosomal_L21e	Ribosomal_L22	Ribosomal_L23	Ribosomal_L26	Ribosomal_L29	Ribosomal_L3	Ribosomal_L31e	Ribosomal_L32e	Ribosomal_L37ae	Ribosomal_L39	Ribosomal_L4	Ribosomal_L44	Ribosomal_L5e	Ribosomal_L6	Ribosomal_S11	Ribosomal_S13	Ribosomal_S15	Ribosomal_S17	Ribosomal_S17e	Ribosomal_S19	Ribosomal_S19e	Ribosomal_S2	Ribosomal_S24e	Ribosomal_S27e	Ribosomal_S28e	Ribosomal_S3Ae	Ribosomal_S7	Ribosomal_S8	Ribosomal_S8e	Ribosomal_S9	Ribosom_S12_S23	Rib_5-P_isom_A	RNase_HII	RNA_pol_L_2	RNA_pol_N	RNA_pol_Rpb4	RNA_pol_Rpb6	RtcB	SecY	Spt4	TIM	Trm56	tRNA-synt_1c	tRNA-synt_1d	tRNA-synt_His	TruD	vATP-synt_AC39	vATP-synt_E	V_ATPase_I
GCA_000008085.1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1
GCF_000017945.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000016125.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1
GCF_000011105.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000091665.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
GCF_001481685.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_001639275.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_008124605.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
SGB_008	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1
SGB_011	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SGB_010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
SGB_009	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1
SGB_013	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	2	0	0	0
SGB_018	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1
SGB_019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SGB_020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
