FeatureSpace	Unit	Mode	Special	InputRows	OutputRows	CommunityDenominator	StrataDenominator	CommunityOutputSum	StrataOutputSum	Target	RequiredClosureLevels	ClosureFailures	ActualToolVerified
Gene families	cpm	community	y	24812	24812	263560.9363648007	130579.93636479904	1000000.0000000079	495444.9554089488	1000000.0	1	0	Not selected
Gene families	cpm	community	n	24812	24811	130579.93636480195	130579.93636479904	1000000.0000000065	999999.9999999813	1000000.0	1	0	Not selected
Gene families	cpm	levelwise	y	24812	24812	263560.9363648007	130579.93636479904	1000000.0000000079	1000000.0000000035	1000000.0	1;2	0	Not selected
Gene families	cpm	levelwise	n	24812	24811	130579.93636480195	130579.93636479904	1000000.0000000065	1000000.0000000035	1000000.0	1;2	0	Not selected
Gene families	relab	community	y	24812	24812	263560.9363648007	130579.93636479904	1.0000000000000078	0.49544495540894884	1.0	1	0	Not selected
Gene families	relab	community	n	24812	24811	130579.93636480195	130579.93636479904	1.0000000000000064	0.9999999999999812	1.0	1	0	Not selected
Gene families	relab	levelwise	y	24812	24812	263560.9363648007	130579.93636479904	1.0000000000000078	1.0000000000000036	1.0	1;2	0	Not selected
Gene families	relab	levelwise	n	24812	24811	130579.93636480195	130579.93636479904	1.0000000000000064	1.0000000000000036	1.0	1;2	0	Not selected
Regrouped reactions	cpm	community	y	5508	5508	279239.7374264395	146258.73742643738	999999.9999999998	523774.79929755215	1000000.0	1	0	Not selected
Regrouped reactions	cpm	community	n	5508	5469	32446.098814215482	32446.09881421205	999999.9999999974	999999.999999902	1000000.0	1	0	Not selected
Regrouped reactions	cpm	levelwise	y	5508	5508	279239.7374264395	146258.73742643738	999999.9999999998	999999.9999999803	1000000.0	1;2	0	Not selected
Regrouped reactions	cpm	levelwise	n	5508	5469	32446.098814215482	32446.09881421205	999999.9999999974	1000000.0000000077	1000000.0	1;2	0	Not selected
Regrouped reactions	relab	community	y	5508	5508	279239.7374264395	146258.73742643738	0.9999999999999997	0.5237747992975521	1.0	1	0	Not selected
Regrouped reactions	relab	community	n	5508	5469	32446.098814215482	32446.09881421205	0.9999999999999974	0.999999999999902	1.0	1	0	Not selected
Regrouped reactions	relab	levelwise	y	5508	5508	279239.7374264395	146258.73742643738	0.9999999999999997	0.9999999999999803	1.0	1;2	0	Not selected
Regrouped reactions	relab	levelwise	n	5508	5469	32446.098814215482	32446.09881421205	0.9999999999999974	1.0000000000000075	1.0	1;2	0	Not selected
Pathway abundance	cpm	community	y	261	261	102782.35062517038	21568.059488512827	1000000.0000000001	209842.05320588374	1000000.0	1	0	Not selected
Pathway abundance	cpm	community	n	261	252	3568.0477971182995	828.1092979195997	1000000.0000000001	232090.30399996735	1000000.0	1	0	Not selected
Pathway abundance	cpm	levelwise	y	261	261	102782.35062517038	21568.059488512827	1000000.0000000001	999999.9999999988	1000000.0	1;2	0	Not selected
Pathway abundance	cpm	levelwise	n	261	252	3568.0477971182995	828.1092979195997	1000000.0000000001	1000000.0000000003	1000000.0	1;2	0	Not selected
Pathway abundance	relab	community	y	261	261	102782.35062517038	21568.059488512827	1.0000000000000002	0.20984205320588373	1.0	1	0	Yes
Pathway abundance	relab	community	n	261	252	3568.0477971182995	828.1092979195997	1.0000000000000002	0.23209030399996736	1.0	1	0	Yes
Pathway abundance	relab	levelwise	y	261	261	102782.35062517038	21568.059488512827	1.0000000000000002	0.9999999999999988	1.0	1;2	0	Yes
Pathway abundance	relab	levelwise	n	261	252	3568.0477971182995	828.1092979195997	1.0000000000000002	1.0000000000000004	1.0	1;2	0	Yes
