Pathway	PathwayID	CommunityAbundance	StrataAbundanceSum	StrataToCommunityRatio	Category	Taxon	StratifiedAbundance	ShareWithinStratifiedEvidence
PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7221	62.7268533637	34.3276762425	0.547256468349573	Dominant taxon	g__Methanothermus.s__Methanothermus_fervidus	12.2455387514	0.3567249546661475
PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7221	62.7268533637	34.3276762425	0.547256468349573	Other classified	Other classified	22.0821374911	0.6432750453338526
PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7221	62.7268533637	34.3276762425	0.547256468349573	Unclassified	Unclassified	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	53.3705246397	16.2484091286	0.30444537014188383	Dominant taxon	g__Thermotoga.s__Thermotoga_petrophila	8.5000019112	0.5231282548294856
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	53.3705246397	16.2484091286	0.30444537014188383	Other classified	Other classified	7.748407217399999	0.4768717451705144
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	53.3705246397	16.2484091286	0.30444537014188383	Unclassified	Unclassified	0.0	0.0
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY	53.2430807744	45.753511841000005	0.859332540032111	Dominant taxon	g__Thermotoga.s__Thermotoga_petrophila	10.5099182303	0.2297073559473089
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY	53.2430807744	45.753511841000005	0.859332540032111	Other classified	Other classified	35.2435936107	0.770292644052691
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY	53.2430807744	45.753511841000005	0.859332540032111	Unclassified	Unclassified	0.0	0.0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	52.8306950937	13.7295189009	0.2598776880854863	Dominant taxon	g__Methanothermus.s__Methanothermus_fervidus	13.7295189009	1.0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	52.8306950937	13.7295189009	0.2598776880854863	Other classified	Other classified	0.0	0.0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	52.8306950937	13.7295189009	0.2598776880854863	Unclassified	Unclassified	0.0	0.0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	52.467670492	15.9596358147	0.304180377459934	Dominant taxon	g__Thermotoga.s__Thermotoga_petrophila	8.3384373465	0.5224704024148022
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	52.467670492	15.9596358147	0.304180377459934	Other classified	Other classified	7.621198468200001	0.47752959758519775
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	52.467670492	15.9596358147	0.304180377459934	Unclassified	Unclassified	0.0	0.0
PWY-5103: L-isoleucine biosynthesis III	PWY-5103	50.0184230634	14.1571813376	0.2830393377187303	Dominant taxon	g__Thermotoga.s__Thermotoga_petrophila	7.1888934279	0.5077912937942701
PWY-5103: L-isoleucine biosynthesis III	PWY-5103	50.0184230634	14.1571813376	0.2830393377187303	Other classified	Other classified	6.968287909700001	0.4922087062057299
PWY-5103: L-isoleucine biosynthesis III	PWY-5103	50.0184230634	14.1571813376	0.2830393377187303	Unclassified	Unclassified	0.0	0.0
