OriginalContigID	NormalizedContigID	LengthBp	Selected
k141_25415	megahit-co__c000097	23822	yes
k141_39936	megahit-co__c000166	46035	yes
k141_21780	megahit-co__c000232	77833	yes
k141_7310	megahit-co__c000240	32383	yes
k141_50836	megahit-co__c000262	68474	yes
k141_29097	megahit-co__c000278	41722	yes
k141_47257	megahit-co__c000284	30931	yes
k141_39955	megahit-co__c000286	21467	yes
k141_21793	megahit-co__c000306	22661	yes
k141_3728	megahit-co__c000355	41594	yes
k141_25437	megahit-co__c000364	85981	yes
k141_43636	megahit-co__c000368	46157	yes
k141_29123	megahit-co__c000395	23578	yes
k141_79	megahit-co__c000402	57806	yes
k141_40022	megahit-co__c000459	22383	yes
k141_47259	megahit-co__c000476	87052	yes
k141_10972	megahit-co__c000482	85274	yes
k141_14549	megahit-co__c000489	161417	yes
k141_50872	megahit-co__c000493	21264	yes
k141_32820	megahit-co__c000495	32923	yes
k141_7380	megahit-co__c000527	59521	yes
k141_43641	megahit-co__c000534	68249	yes
k141_36301	megahit-co__c000611	249950	yes
k141_138	megahit-co__c000630	30915	yes
k141_54566	megahit-co__c000650	114390	yes
k141_25469	megahit-co__c000664	85866	yes
k141_11025	megahit-co__c000677	24388	yes
k141_43642	megahit-co__c000689	53627	yes
k141_3799	megahit-co__c000698	39822	yes
k141_32882	megahit-co__c000763	29289	yes
k141_29181	megahit-co__c000772	76974	yes
k141_50962	megahit-co__c000802	27090	yes
k141_3808	megahit-co__c000804	39458	yes
k141_7461	megahit-co__c000812	32105	yes
k141_158	megahit-co__c000815	55322	yes
k141_11041	megahit-co__c000818	38262	yes
k141_32908	megahit-co__c000892	35627	yes
k141_43673	megahit-co__c000908	57965	yes
k141_25547	megahit-co__c000926	28597	yes
k141_18370	megahit-co__c000945	117731	yes
k141_47395	megahit-co__c000947	58955	yes
k141_14635	megahit-co__c000949	47018	yes
k141_40178	megahit-co__c000952	31921	yes
k141_7517	megahit-co__c001038	27841	yes
k141_18373	megahit-co__c001086	45346	yes
k141_36377	megahit-co__c001124	90576	yes
k141_3857	megahit-co__c001187	55871	yes
k141_7550	megahit-co__c001219	21111	yes
k141_32995	megahit-co__c001238	23259	yes
k141_29297	megahit-co__c001263	35554	yes
k141_43739	megahit-co__c001270	44170	yes
k141_51095	megahit-co__c001314	21450	yes
k141_54714	megahit-co__c001364	46903	yes
k141_18457	megahit-co__c001410	25265	yes
k141_54716	megahit-co__c001442	26345	yes
k141_36446	megahit-co__c001451	43990	yes
k141_33027	megahit-co__c001452	34282	yes
k141_51132	megahit-co__c001453	27251	yes
k141_40327	megahit-co__c001465	24892	yes
k141_298	megahit-co__c001502	43783	yes
k141_11151	megahit-co__c001519	126559	yes
k141_25627	megahit-co__c001556	157083	yes
k141_18458	megahit-co__c001589	77682	yes
k141_7614	megahit-co__c001595	77815	yes
k141_51188	megahit-co__c001646	20475	yes
k141_47536	megahit-co__c001657	89786	yes
k141_40377	megahit-co__c001693	28730	yes
k141_3973	megahit-co__c001719	79303	yes
k141_14745	megahit-co__c001727	120451	yes
k141_29435	megahit-co__c001756	20893	yes
k141_18488	megahit-co__c001766	20544	yes
k141_14753	megahit-co__c001815	27886	yes
k141_54770	megahit-co__c001823	28412	yes
k141_43852	megahit-co__c001825	45863	yes
k141_40422	megahit-co__c001843	24105	yes
k141_3997	megahit-co__c001846	27843	yes
k141_51229	megahit-co__c001875	31644	yes
k141_18500	megahit-co__c001877	27027	yes
k141_400	megahit-co__c001879	28162	yes
k141_33110	megahit-co__c001896	67140	yes
k141_4004	megahit-co__c001971	35691	yes
k141_36649	megahit-co__c002006	36081	yes
k141_33114	megahit-co__c002011	46504	yes
k141_43874	megahit-co__c002035	69351	yes
k141_47662	megahit-co__c002039	48142	yes
k141_54823	megahit-co__c002071	36922	yes
k141_40510	megahit-co__c002108	35986	yes
k141_7626	megahit-co__c002110	209565	yes
k141_18579	megahit-co__c002136	26275	yes
k141_14842	megahit-co__c002181	23121	yes
k141_40523	megahit-co__c002194	21565	yes
k141_7630	megahit-co__c002265	58864	yes
k141_11329	megahit-co__c002286	32459	yes
k141_54891	megahit-co__c002303	27844	yes
k141_40532	megahit-co__c002393	67923	yes
k141_25746	megahit-co__c002510	236805	yes
k141_36783	megahit-co__c002523	53642	yes
k141_21892	megahit-co__c002529	660252	yes
k141_4007	megahit-co__c002532	204530	yes
k141_44004	megahit-co__c002588	25918	yes
k141_29663	megahit-co__c002599	30671	yes
k141_25748	megahit-co__c002699	64230	yes
k141_696	megahit-co__c002715	26973	yes
k141_11414	megahit-co__c002720	23884	yes
k141_54983	megahit-co__c002725	20721	yes
k141_33300	megahit-co__c002764	38845	yes
k141_4037	megahit-co__c002787	34810	yes
k141_29684	megahit-co__c002799	39377	yes
k141_21924	megahit-co__c002805	60460	yes
k141_44064	megahit-co__c002833	26943	yes
k141_731	megahit-co__c002871	22630	yes
k141_54995	megahit-co__c002881	44823	yes
k141_36879	megahit-co__c002930	52029	yes
k141_36888	megahit-co__c003003	23837	yes
k141_21962	megahit-co__c003017	40841	yes
k141_55030	megahit-co__c003063	31848	yes
k141_11472	megahit-co__c003077	46096	yes
k141_51277	megahit-co__c003097	372866	yes
k141_33368	megahit-co__c003118	22154	yes
k141_55031	megahit-co__c003171	39897	yes
k141_40736	megahit-co__c003204	34596	yes
k141_47989	megahit-co__c003252	52966	yes
k141_11485	megahit-co__c003254	32214	yes
k141_737	megahit-co__c003272	132025	yes
k141_11488	megahit-co__c003314	31408	yes
k141_44230	megahit-co__c003316	23038	yes
k141_33444	megahit-co__c003330	24326	yes
k141_25938	megahit-co__c003334	38319	yes
k141_742	megahit-co__c003336	30201	yes
k141_7895	megahit-co__c003349	62021	yes
k141_29817	megahit-co__c003354	34613	yes
k141_55087	megahit-co__c003376	30034	yes
k141_15119	megahit-co__c003384	106427	yes
k141_11495	megahit-co__c003400	22135	yes
k141_4162	megahit-co__c003441	96808	yes
k141_772	megahit-co__c003459	25799	yes
k141_51376	megahit-co__c003484	40583	yes
k141_44250	megahit-co__c003575	67578	yes
k141_15153	megahit-co__c003583	28198	yes
k141_4178	megahit-co__c003598	41887	yes
k141_33459	megahit-co__c003646	110005	yes
k141_40894	megahit-co__c003683	46001	yes
k141_11585	megahit-co__c003698	20766	yes
k141_55187	megahit-co__c003699	31380	yes
k141_33461	megahit-co__c003707	28938	yes
k141_7990	megahit-co__c003710	20243	yes
k141_44268	megahit-co__c003712	22794	yes
k141_26045	megahit-co__c003725	28125	yes
k141_29874	megahit-co__c003736	46833	yes
k141_4206	megahit-co__c003776	26134	yes
k141_22112	megahit-co__c003780	72702	yes
k141_55189	megahit-co__c003787	30372	yes
k141_18728	megahit-co__c003789	390550	yes
k141_11603	megahit-co__c003814	24006	yes
k141_868	megahit-co__c003838	25485	yes
k141_26061	megahit-co__c003865	41781	yes
k141_33473	megahit-co__c003901	45817	yes
k141_36959	megahit-co__c003941	288556	yes
k141_44305	megahit-co__c003959	44032	yes
k141_55216	megahit-co__c003970	31179	yes
k141_15222	megahit-co__c003978	22232	yes
k141_29905	megahit-co__c003982	68740	yes
k141_4213	megahit-co__c004016	78730	yes
k141_51470	megahit-co__c004022	55725	yes
k141_29906	megahit-co__c004056	22676	yes
k141_33495	megahit-co__c004062	26947	yes
k141_37003	megahit-co__c004127	26710	yes
k141_22175	megahit-co__c004137	44335	yes
k141_33504	megahit-co__c004157	23705	yes
k141_954	megahit-co__c004222	23100	yes
k141_4222	megahit-co__c004235	59284	yes
k141_44366	megahit-co__c004262	28091	yes
k141_29932	megahit-co__c004340	45951	yes
k141_15297	megahit-co__c004345	60188	yes
k141_41027	megahit-co__c004451	145419	yes
k141_26169	megahit-co__c004512	95010	yes
k141_37150	megahit-co__c004516	24261	yes
k141_44379	megahit-co__c004520	67925	yes
k141_41032	megahit-co__c004559	45025	yes
k141_26170	megahit-co__c004574	22153	yes
k141_55353	megahit-co__c004589	62886	yes
k141_8199	megahit-co__c004592	69148	yes
k141_33595	megahit-co__c004717	98599	yes
k141_11788	megahit-co__c004772	50143	yes
k141_30041	megahit-co__c004802	29804	yes
k141_4361	megahit-co__c004804	23736	yes
k141_33607	megahit-co__c004821	25447	yes
k141_26212	megahit-co__c004823	29018	yes
k141_18918	megahit-co__c004829	110457	yes
k141_15405	megahit-co__c004905	39123	yes
k141_37244	megahit-co__c004940	25060	yes
k141_1125	megahit-co__c004960	48450	yes
k141_15406	megahit-co__c004973	23189	yes
k141_33631	megahit-co__c005035	47898	yes
k141_22188	megahit-co__c005112	284315	yes
k141_4423	megahit-co__c005122	52893	yes
k141_11862	megahit-co__c005124	25695	yes
k141_1151	megahit-co__c005132	34083	yes
k141_51776	megahit-co__c005152	20144	yes
k141_30050	megahit-co__c005156	128049	yes
k141_26305	megahit-co__c005175	22072	yes
k141_19014	megahit-co__c005209	32023	yes
k141_30052	megahit-co__c005233	25613	yes
k141_4432	megahit-co__c005240	36022	yes
k141_8264	megahit-co__c005259	177391	yes
k141_55525	megahit-co__c005299	26392	yes
k141_22237	megahit-co__c005305	25997	yes
k141_37359	megahit-co__c005353	27057	yes
k141_22241	megahit-co__c005361	21068	yes
k141_4445	megahit-co__c005370	21205	yes
k141_41260	megahit-co__c005386	29254	yes
k141_44621	megahit-co__c005406	23371	yes
k141_51849	megahit-co__c005436	24662	yes
k141_1214	megahit-co__c005469	29504	yes
k141_15492	megahit-co__c005493	82868	yes
