FragmentID	GenomeStart1	GenomeEnd1	LengthBp
salinispora-fragment-0001	1	20000	20000
salinispora-fragment-0002	20001	40000	20000
salinispora-fragment-0003	40001	60000	20000
salinispora-fragment-0004	60001	80000	20000
salinispora-fragment-0005	80001	100000	20000
salinispora-fragment-0006	100001	120000	20000
salinispora-fragment-0007	120001	140000	20000
salinispora-fragment-0008	140001	160000	20000
salinispora-fragment-0009	160001	180000	20000
salinispora-fragment-0010	180001	200000	20000
salinispora-fragment-0011	200001	220000	20000
salinispora-fragment-0012	220001	240000	20000
salinispora-fragment-0013	240001	260000	20000
salinispora-fragment-0014	260001	280000	20000
salinispora-fragment-0015	280001	300000	20000
salinispora-fragment-0016	300001	320000	20000
salinispora-fragment-0017	320001	340000	20000
salinispora-fragment-0018	340001	360000	20000
salinispora-fragment-0019	360001	380000	20000
salinispora-fragment-0020	380001	400000	20000
salinispora-fragment-0021	400001	420000	20000
salinispora-fragment-0022	420001	440000	20000
salinispora-fragment-0023	440001	460000	20000
salinispora-fragment-0024	460001	480000	20000
salinispora-fragment-0025	480001	500000	20000
salinispora-fragment-0026	500001	520000	20000
salinispora-fragment-0027	520001	540000	20000
salinispora-fragment-0028	540001	560000	20000
salinispora-fragment-0029	560001	580000	20000
salinispora-fragment-0030	580001	600000	20000
salinispora-fragment-0031	600001	620000	20000
salinispora-fragment-0032	620001	640000	20000
salinispora-fragment-0033	640001	660000	20000
salinispora-fragment-0034	660001	680000	20000
salinispora-fragment-0035	680001	700000	20000
salinispora-fragment-0036	700001	720000	20000
salinispora-fragment-0037	720001	740000	20000
salinispora-fragment-0038	740001	760000	20000
salinispora-fragment-0039	760001	780000	20000
salinispora-fragment-0040	780001	800000	20000
salinispora-fragment-0041	800001	820000	20000
salinispora-fragment-0042	820001	840000	20000
salinispora-fragment-0043	840001	860000	20000
salinispora-fragment-0044	860001	880000	20000
salinispora-fragment-0045	880001	900000	20000
salinispora-fragment-0046	900001	920000	20000
salinispora-fragment-0047	920001	940000	20000
salinispora-fragment-0048	940001	960000	20000
salinispora-fragment-0049	960001	980000	20000
salinispora-fragment-0050	980001	1000000	20000
salinispora-fragment-0051	1000001	1020000	20000
salinispora-fragment-0052	1020001	1040000	20000
salinispora-fragment-0053	1040001	1060000	20000
salinispora-fragment-0054	1060001	1080000	20000
salinispora-fragment-0055	1080001	1100000	20000
salinispora-fragment-0056	1100001	1120000	20000
salinispora-fragment-0057	1120001	1140000	20000
