Scheme	Contrast	Seed	Units	Blocks	SharedBlocks	PossibleIncludingIdentity	NonIdentityAvailable	PermutationsUsed	Exact	UniqueRows	IdentityRows	LegalRows	MinimumP	MatrixSHA256
Primary region-restricted unit permutations	Omnibus	20260723	56	6		1.46295990985825e+40	1.46295990985825e+40	9999	FALSE	9999	0	9999	1e-04	94119a47186a7a786bc389917c0c57661a2a7b3488a6d2386b918bc71a4951b6
Exact label allocation	Below 30 vs 30–<50		19	5	3	96	95	95	TRUE	95	0	95	0.0104166666666667	584aef5a98a967a64934ca19cb87ca05730f8f60ad514179e5eb918fe80def66
Exact label allocation	Below 30 vs 50–<70		33	4	3	224	223	223	TRUE	223	0	223	0.00446428571428571	66c2dfe50346586f4a6ad96416a623843d8bef256a5b44ca616492303218f11e
Exact label allocation	Below 30 vs 70–<80		7	3	2	8	7	7	TRUE	7	0	7	0.125	8b6e37214ba71b63d3e2bd88ee3a984d0ab25eae981b15ee1279d892e344f15e
Not tested: insufficient region overlap	Below 30 vs 80–100		6	5	0	1	0	0		0	0	0		
Monte Carlo label allocation	30–<50 vs 50–<70	20260728	46	5	4	41126400	41126399	9999	FALSE	9999	0	9999	2.43152816682228e-08	c56aeb25acabe9763ccef13ba7cf831dc3c3c1bf3af5cdd4ab46967e084196cb
Exact label allocation	30–<50 vs 70–<80		20	5	2	80	79	79	TRUE	79	0	79	0.0125	c5f14497ed6c95312ab4cc8f1e93087803d48fa353e599758af5a13962a05059
Not tested: insufficient region overlap	30–<50 vs 80–100		19	6	1	2	1	0		0	0	0		
Exact label allocation	50–<70 vs 70–<80		34	4	2	240	239	239	TRUE	239	0	239	0.00416666666666667	05ef02da5ed943f3a2388f30a43117a040b74d84f31437226b5139d5e58ba888
Not tested: insufficient region overlap	50–<70 vs 80–100		33	5	1	10	9	0		0	0	0		
Not tested: insufficient region overlap	70–<80 vs 80–100		7	4	0	1	0	0		0	0	0		
