Contrast	GroupA	GroupB	Units	Regions	SharedRegions	PossibleIncludingIdentity	NonIdentityAvailable	PermutationsUsed	MinimumP	Exact	Status	Reason	Df	SumOfSquares	R2Total	R2Partial	PseudoF	PValue	PAdjustedHolm	RejectHolm05	PHMeanA	PHMeanB	PHStandardizedDifference
Below 30 vs 30–<50	Below 30	30–<50	19	5	3	96	95	95	0.0104166666666667	TRUE	Estimable	At least two regions contain both groups	1	0.479757174933918	0.0956400711095618	0.139460147568366	2.1067959993553	0.0208333333333333	0.0625	FALSE	6.95401234566667	7.305	-0.469887944033136
Below 30 vs 50–<70	Below 30	50–<70	33	4	3	224	223	223	0.00446428571428571	TRUE	Estimable	At least two regions contain both groups	1	0.804993148501712	0.0969289955864442	0.126573909375332	4.05766383733124	0.00446428571428571	0.0223214285714286	TRUE	6.95401234566667	7.5969437037	-0.595324961807675
Below 30 vs 70–<80	Below 30	70–<80	7	3	2	8	7	7	0.125	TRUE	Estimable	At least two regions contain both groups	1	0.560634654144499	0.295420854182789	0.57398865551068	4.04206598910233	0.125	0.208333333333333	FALSE	6.95401234566667	7.15263888875	-0.324276727056983
Below 30 vs 80–100	Below 30	80–100	6	5	0	1	0	0			Not estimable	Fewer than two regions contain both groups									6.95401234566667	5.58	0.837965475422453
30–<50 vs 50–<70	30–<50	50–<70	46	5	4	41126400	41126399	9999	2.43152816682228e-08	FALSE	Estimable	At least two regions contain both groups	1	0.939308665969331	0.0805988574354688	0.108328088002265	4.8595491926874	1e-04	6e-04	TRUE	7.305	7.5969437037	-0.297089039309485
30–<50 vs 70–<80	30–<50	70–<80	20	5	2	80	79	79	0.0125	TRUE	Estimable	At least two regions contain both groups	1	0.483654683192637	0.095845885645234	0.162947186532906	2.72534847832557	0.0125	0.05	FALSE	7.305	7.15263888875	0.22609786350153
30–<50 vs 80–100	30–<50	80–100	19	6	1	2	1	0			Not estimable	Fewer than two regions contain both groups									7.305	5.58	1.47860708391973
50–<70 vs 70–<80	50–<70	70–<80	34	4	2	240	239	239	0.00416666666666667	TRUE	Estimable	At least two regions contain both groups	1	0.186392647990165	0.0246634871115146	0.035289238259871	1.06082356507591	0.104166666666667	0.208333333333333	FALSE	7.5969437037	7.15263888875	0.427090989161924
50–<70 vs 80–100	50–<70	80–100	33	5	1	10	9	0			Not estimable	Fewer than two regions contain both groups									7.5969437037	5.58	1.54494603649441
70–<80 vs 80–100	70–<80	80–100	7	4	0	1	0	0			Not estimable	Fewer than two regions contain both groups									7.15263888875	5.58	1.04177968163225
