Method	Spring	Axis1	Axis2	Axis1VarianceTotal	Axis2VarianceTotal	Axis1VarianceWithinConstrained	Axis2VarianceWithinConstrained	NegativeEigenvaluesRaw	NegativeEigenvalueMassRaw	Correction	BroadRegion	TemperatureRegime	MedianTemperatureC	MedianPH
PCoA (Lingoes policy)	AA01	0.0111683987626121	-0.217710594371883	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	51.7	8.23
PCoA (Lingoes policy)	AA03	-0.158732821594612	-0.134298964113182	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	58.65	8.49
PCoA (Lingoes policy)	AB02	-0.372863257989872	0.190791821400068	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	68.5	6.925
PCoA (Lingoes policy)	AB03	-0.139005776329469	-0.0333997523277001	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	56.05	7.445
PCoA (Lingoes policy)	AB04	-0.397346202500347	0.277073061096474	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	70–<80	70.6	6.939074074
PCoA (Lingoes policy)	AB07	-0.222676226627159	-0.0680954365812532	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	52.5	7.22
PCoA (Lingoes policy)	AB08	-0.271910106089091	-0.0422184068431796	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	53.15	7.822222222
PCoA (Lingoes policy)	AB09	-0.219440199492267	-0.0851597861934482	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	30–<50	44.2	7.73
PCoA (Lingoes policy)	AB11	-0.362965298395646	0.0690794300593858	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	70–<80	71.15	7.07
PCoA (Lingoes policy)	AB20	0.238595496544141	0.404232503128127	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	Below 30	26.5	5.962037037
PCoA (Lingoes policy)	AB22	-0.0510947206523234	-0.143927634463542	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	30–<50	46	7.515
PCoA (Lingoes policy)	AB31	-0.357810132390676	0.1020654071137	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	70–<80	73.5	6.85
PCoA (Lingoes policy)	AB32	-0.3793691245634	0.174358155794319	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	50–<70	68.25	6.915
PCoA (Lingoes policy)	AB35	0.407701657994798	0.0613330458235284	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALV	30–<50	35.4	6.76
PCoA (Lingoes policy)	AM01	0.163395155805219	-0.211817750150356	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	BLR	30–<50	49.9	8.52
PCoA (Lingoes policy)	AM02	-0.00504014176447916	-0.212487661919317	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	BLR	50–<70	55.4	8.5
PCoA (Lingoes policy)	AR01	-0.152894905040175	-0.133949126371338	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	BLR	70–<80	74.6	7.751481481
PCoA (Lingoes policy)	AR08	0.0652052958314758	-0.182321781734573	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	BLR	Below 30	28.95	7.77
PCoA (Lingoes policy)	AR10	0.257309741867722	-0.194543611339221	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	BLR	30–<50	45.95	6.77
PCoA (Lingoes policy)	AR11	0.102163811132272	-0.0339318400598908	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	BLR	30–<50	49.35	8.33
PCoA (Lingoes policy)	AW01	0.169593983898336	-0.159383953329744	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	53	6.67
PCoA (Lingoes policy)	AW03	0.260617943077799	0.381927007272242	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	Below 30	28.8	7.13
PCoA (Lingoes policy)	AY01	0.0256582795678518	-0.232928310596187	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	54.85	8.407711111
PCoA (Lingoes policy)	AY02	-0.00594711576934128	-0.180353156624828	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	57.95	8.67
PCoA (Lingoes policy)	AY03	-0.208398622254668	-0.0823495256496163	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	69.8	9.2
PCoA (Lingoes policy)	AY04	0.0369526845157348	-0.233641108025787	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	51.8	9.06
PCoA (Lingoes policy)	AY05	-0.111603808338655	-0.105386047955435	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	58.3	8.875177778
PCoA (Lingoes policy)	AY06	-0.0945336955867544	-0.154882060319555	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	30–<50	40.55	9.08
PCoA (Lingoes policy)	AY07	-0.256519609595735	-0.0446828510534379	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	63.75	7.54
PCoA (Lingoes policy)	AY08	-0.20284809470996	-0.0691615665475962	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	69.75	8.0432
PCoA (Lingoes policy)	AY10	0.152326989349383	0.501038775445762	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	80–100	88.8	3.14
PCoA (Lingoes policy)	AY11	0.165173256866596	0.374601886666184	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	51.5	3.63
PCoA (Lingoes policy)	AY12	-0.247182851227356	0.124052699636062	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	YEL	50–<70	67.55	7.085
PCoA (Lingoes policy)	LB01	-0.0972082398140153	0.115008726167763	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	63.9	6.78
PCoA (Lingoes policy)	LB02	0.147025058706581	0.00338335580572521	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	56.3	7.13
PCoA (Lingoes policy)	LB04	-0.121572755556904	0.173011081744929	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	61.8	7.02
PCoA (Lingoes policy)	LB07	0.031536554915424	0.0911004232033367	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	52.7	6.78
PCoA (Lingoes policy)	LC02	0.0453326001645754	-0.087344499770327	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	56.8	7.94
PCoA (Lingoes policy)	LC04	-0.162935300600493	0.132541732877907	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	69	8.03
PCoA (Lingoes policy)	LC05	-0.0322673430588735	-0.0970816501502925	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	55.2	9.02
PCoA (Lingoes policy)	LD01	-0.112290476649529	-0.0309432668862425	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	67.35	8.195
PCoA (Lingoes policy)	LE01	0.371689979119791	-0.0241830662832837	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	30–<50	47	7.07
PCoA (Lingoes policy)	LH02	0.0707286123552035	-0.0878910825443105	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	54.9	7.415
PCoA (Lingoes policy)	LH03	-0.0311440216182386	-0.0547024357766953	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	62.2	6.53
PCoA (Lingoes policy)	LP01	0.432826950077499	0.172732691437393	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	30–<50	41.3	7.03
PCoA (Lingoes policy)	LP02	0.417859215067459	0.0130185493579587	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	30–<50	45	7.03
PCoA (Lingoes policy)	LP03	0.406367266845139	0.0869453982558586	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	30–<50	42.65	6.94
PCoA (Lingoes policy)	LR01	0.400729647070761	-0.0200932274226901	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	30–<50	43.6	7.03
PCoA (Lingoes policy)	LS01	-0.269347118741365	0.120380253548011	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALK	80–100	81.7	6.8
