Topic	AuthorizedInterpretation	ProhibitedClaim
Inference unit	One equally weighted hot spring	Five hundred independent biological replicates
PCoA	Unconstrained Bray-Curtis geometry after Lingoes correction	Significant separation by visual inspection
Partial CAP/dbRDA	Variation constrained by temperature regime and pH after conditioning broad region	The first axes explain all community variation
PERMANOVA	Marginal temperature-regime association with centroid location after declared adjustment	Pure centroid shift when dispersion also differs
PERMDISP	Differences in distance to group spatial medians	Difference in centroid location
Pairwise contrasts	Only six contrasts with overlap in at least two broad regions	A non-significant result for a non-estimable contrast
Permutation p-value	Discrete resolution set by the observed plus legal non-identity allocations	More decimal precision than the permutation grid supports
pH and conductivity	Measured environmental covariates; conductivity uses 54 complete springs	Randomized or manipulation variables
MAG denominator	Composition within 780 recovered MAGs; recruitment remains separate	Whole-community abundance or recovered-read percentage
Sampling design	Purposeful local-diversity sampling with 1-33 samples per spring	Spatially balanced probability survey
Causality	Observed association requiring independent mechanistic or longitudinal evidence	Temperature causes the complete community change
