Spring	BroadRegion	TemperatureRegime	Samples	EqualWeightSum	CatalogReadWeightSum	EqualRecalculationMaxAbsError	WeightedRecalculationMaxAbsError	MeanRecruitment
AA01	ALV	50–<70	22	1	1	4.68375338513738e-17	4.85722573273506e-17	0.115437998736364
AA03	ALV	50–<70	24	1	1	3.46944695195361e-17	2.77555756156289e-17	0.126340833333333
AB02	ALV	50–<70	8	1	1	4.5102810375397e-17	4.33680868994202e-17	0.07546
AB03	ALV	50–<70	8	1	1	4.16333634234434e-17	2.77555756156289e-17	0.115116875
AB04	ALV	70–<80	4	1	0.999999999999999	5.20417042793042e-17	4.68375338513738e-17	0.10413
AB07	ALV	50–<70	6	1	1	4.16333634234434e-17	4.5102810375397e-17	0.100399166666667
AB08	ALV	50–<70	10	1	1	3.81639164714898e-17	4.85722573273506e-17	0.1048455
AB09	ALV	30–<50	5	1	0.999999999999999	4.33680868994202e-17	5.03069808033274e-17	0.08806
AB11	ALV	70–<80	18	1	0.999999999999999	4.68375338513738e-17	5.03069808033274e-17	0.100729722222222
AB20	ALV	Below 30	4	1	1	2.77555756156289e-16	2.63677968348475e-16	0.2119375
AB22	ALV	30–<50	24	1	0.999999999999999	4.85722573273506e-17	4.5102810375397e-17	0.147377916666667
AB31	ALV	70–<80	4	1	1	4.68375338513738e-17	4.85722573273506e-17	0.10323625
AB32	ALV	50–<70	4	1	1	4.5102810375397e-17	4.5102810375397e-17	0.0832625
AB35	ALV	30–<50	5	1	1	4.85722573273506e-17	4.68375338513738e-17	0.058215
AM01	BLR	30–<50	33	1	1	5.03069808033274e-17	3.81639164714898e-17	0.160784545454545
AM02	BLR	50–<70	29	1	1	4.5102810375397e-17	4.85722573273506e-17	0.157325
AR01	BLR	70–<80	11	1	0.999999999999999	3.81639164714898e-17	3.46944695195361e-17	0.108154090909091
AR08	BLR	Below 30	4	1	1	4.85722573273506e-17	1.80411241501588e-16	0.11807375
AR10	BLR	30–<50	10	1	1	4.5102810375397e-17	5.20417042793042e-17	0.2057135
AR11	BLR	30–<50	4	1	1	4.85722573273506e-17	3.46944695195361e-17	0.07934375
AW01	GBD	50–<70	2	1	1	4.68375338513738e-17	5.03069808033274e-17	0.1816125
AW03	GBD	Below 30	1	1	1	1.66533453693773e-16	1.66533453693773e-16	0.00816
AY01	YEL	50–<70	26	1	1	2.77555756156289e-17	4.85722573273506e-17	0.0764811538461539
AY02	YEL	50–<70	22	1	1	4.33680868994202e-17	5.20417042793042e-17	0.131457727272727
AY03	YEL	50–<70	29	1	1	4.16333634234434e-17	2.22044604925031e-16	0.117526896551724
AY04	YEL	50–<70	31	0.999999999999999	1	4.33680868994202e-17	5.55111512312578e-17	0.103276612903226
AY05	YEL	50–<70	14	1	1	4.5102810375397e-17	4.85722573273506e-17	0.09435
AY06	YEL	30–<50	18	1	1	4.85722573273506e-17	6.93889390390723e-17	0.126816666666667
AY07	YEL	50–<70	30	0.999999999999999	1	3.46944695195361e-17	5.03069808033274e-17	0.110856833333333
AY08	YEL	50–<70	24	1	1	4.85722573273506e-17	4.5102810375397e-17	0.102249583333333
