Sample1	Sample2	Study1	Study2	Country1	Country2	PairStratum	JaccardDistance
CCMD34381688ST-21-0	G78505	ZellerG_2014	VatanenT_2016	DEU	RUS	Different country	0.42005701
CCMD34381688ST-21-0	G88884	ZellerG_2014	SchirmerM_2016	DEU	NLD	Different country	0.43927076
CCMD34381688ST-21-0	G88970	ZellerG_2014	SchirmerM_2016	DEU	NLD	Different country	0.40290784
CCMD34381688ST-21-0	G89027	ZellerG_2014	SchirmerM_2016	DEU	NLD	Different country	0.37052522
CCMD34381688ST-21-0	H2M514903	ZellerG_2014	LiJ_2017	DEU	CHN	Different country	0.40546815
CCMD34381688ST-21-0	H3M518116	ZellerG_2014	LiJ_2017	DEU	CHN	Different country	0.43241279
CCMD34381688ST-21-0	HD-1	ZellerG_2014	QinN_2014	DEU	CHN	Different country	0.40199953
CCMD34381688ST-21-0	HD-5	ZellerG_2014	QinN_2014	DEU	CHN	Different country	0.40710784
CCMD34381688ST-21-0	HV-6	ZellerG_2014	QinN_2014	DEU	CHN	Different country	0.43202125
CCMD34381688ST-21-0	LD-48	ZellerG_2014	QinN_2014	DEU	CHN	Different country	0.42853779
CCMD34381688ST-21-0	M1.48.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	0.42334813
CCMD34381688ST-21-0	M2.48.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	0.46530902
CCMD34381688ST-21-0	M2.58.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	0.40358162
CCMD34381688ST-21-0	N021	ZellerG_2014	WenC_2017	DEU	CHN	Different country	0.41991545
CCMD34381688ST-21-0	S353	ZellerG_2014	KarlssonFH_2013	DEU	SWE	Different country	0.43582163
CCMD34381688ST-21-0	SID530054	ZellerG_2014	FengQ_2015	DEU	AUT	Different country	0.41397719
CCMD34381688ST-21-0	SZAXPI003417-4	ZellerG_2014	YuJ_2015	DEU	CHN	Different country	0.44729153
CCMD34381688ST-21-0	T2D-025	ZellerG_2014	QinJ_2012	DEU	CHN	Different country	0.40694081
