Sample	Study	Country	MedianCoverage	LeftCoverage	RightCoverage	OutPlateauCoverage	PrimaryRetained	SensitivityRetained	PrimaryGeneFamilies	SensitivityGeneFamilies	MultiStrainWarning	PrimaryDecision
CCMD34381688ST-21-0	ZellerG_2014	DEU	34.79	1.15	0.9	0.27	True	True	3290	3290	True	Passed all primary plateau gates
G78505	VatanenT_2016	RUS	48.01	1.12	0.85	0.14	True	True	2807	2807	False	Passed all primary plateau gates
G88884	SchirmerM_2016	NLD	45.31	1.14	0.87	0.25	True	True	3045	3045	True	Passed all primary plateau gates
G88970	SchirmerM_2016	NLD	78.7	1.1	0.9	0.25	True	True	3191	3191	True	Passed all primary plateau gates
G89027	SchirmerM_2016	NLD	74.68	1.11	0.89	0.19	True	True	2946	2946	False	Passed all primary plateau gates
H2M514903	LiJ_2017	CHN	96.22	1.17	0.82	0.18	True	True	2892	2892	False	Passed all primary plateau gates
H3M518116	LiJ_2017	CHN	18.63	1.2	0.87	0.19	True	True	3181	3181	False	Passed all primary plateau gates
HD-1	QinN_2014	CHN	40.47	1.14	0.92	0.38	True	True	3583	3583	True	Passed all primary plateau gates
HD-5	QinN_2014	CHN	29.72	1.11	0.91	0.22	True	True	3209	3209	True	Passed all primary plateau gates
HV-6	QinN_2014	CHN	32.18	1.1	0.9	0.2	True	True	3203	3203	False	Passed all primary plateau gates
LD-48	QinN_2014	CHN	18.0	1.14	0.92	0.28	True	True	3384	3384	True	Passed all primary plateau gates
M1.48.ST	BritoIL_2016	FJI	58.48	1.07	0.9	0.11	True	True	2747	2747	False	Passed all primary plateau gates
M2.48.ST	BritoIL_2016	FJI	44.63	1.07	0.92	0.2	True	True	3191	3191	True	Passed all primary plateau gates
M2.58.ST	BritoIL_2016	FJI	68.89	1.07	0.91	0.12	True	True	2861	2861	False	Passed all primary plateau gates
N021	WenC_2017	CHN	16.18	1.21	0.87	0.37	True	True	3438	3438	True	Passed all primary plateau gates
RA023	WenC_2017	CHN	31.04	1.33	0.88	0.39	False	True	NA	3570	False	Failed primary left-side plateau gate
S353	KarlssonFH_2013	SWE	73.2	1.12	0.89	0.21	True	True	3059	3059	True	Passed all primary plateau gates
SID530054	FengQ_2015	AUT	52.61	1.15	0.89	0.25	True	True	3246	3246	True	Passed all primary plateau gates
SRS011302	HMP_2012	USA	18.69	1.49	0.87	0.4	False	True	NA	3566	False	Failed primary left-side plateau gate
SZAXPI003417-4	YuJ_2015	CHN	33.45	1.13	0.91	0.39	True	True	3618	3618	True	Passed all primary plateau gates
T2D-025	QinJ_2012	CHN	43.23	1.12	0.92	0.26	True	True	3412	3412	True	Passed all primary plateau gates
T2D-063	QinJ_2012	CHN	89.38	1.09	0.91	0.11	True	True	2713	2713	False	Passed all primary plateau gates
T2D-105	QinJ_2012	CHN	67.55	1.1	0.9	0.14	True	True	2929	2929	False	Passed all primary plateau gates
W1.27.ST	BritoIL_2016	FJI	28.41	1.48	0.89	0.56	False	True	NA	3947	False	Failed primary left-side plateau gate
YSZC12003_36795	XieH_2016	GBR	39.2	1.2	0.91	0.41	True	True	3648	3648	True	Passed all primary plateau gates
