PrimaryCategory	SensitivityCategory	GeneFamilies
Core >=95%	Core >=95%	1571
Core >=95%	Accessory 5-<95%	20
Core >=95%	Rare >0-<5%	0
Core >=95%	Undetected	0
Accessory 5-<95%	Core >=95%	0
Accessory 5-<95%	Accessory 5-<95%	4542
Accessory 5-<95%	Rare >0-<5%	0
Accessory 5-<95%	Undetected	0
Rare >0-<5%	Core >=95%	0
Rare >0-<5%	Accessory 5-<95%	335
Rare >0-<5%	Rare >0-<5%	1278
Rare >0-<5%	Undetected	0
Undetected	Core >=95%	0
Undetected	Accessory 5-<95%	17
Undetected	Rare >0-<5%	442
Undetected	Undetected	2864
