AssetType	Asset	Path	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	ChecksumPass
official archive	Eubacterium rectale pangenome archive	${ARTICLE52_WORK_DIR}/downloads/Eubacterium_rectale.tar.bz2	83327158	83327158	411d8736790ef591e8131d58e096d68a15c477bc21eb39b41c337af950d4dfc6	411d8736790ef591e8131d58e096d68a15c477bc21eb39b41c337af950d4dfc6	True
official archive	25 official tutorial mapping profiles	${ARTICLE52_WORK_DIR}/downloads/panphlan_tutorial_map_results.tar.bz2	3714090	3714090	5f9bfecbe3e5459e06f48677076b49a4a37263935ac8cff8422cf1ef6bc9bc50	5f9bfecbe3e5459e06f48677076b49a4a37263935ac8cff8422cf1ef6bc9bc50	True
decoded mapping profile	CCMD34381688ST-21-0	${ARTICLE52_WORK_DIR}/decoded-maps/CCMD34381688ST-21-0	551194	551194	05df7b04494e44aa4cc7392730d076e03dc1eb99d291bf73b43b7ff11157cf94	05df7b04494e44aa4cc7392730d076e03dc1eb99d291bf73b43b7ff11157cf94	True
decoded mapping profile	G78505	${ARTICLE52_WORK_DIR}/decoded-maps/G78505	539175	539175	e3697a213015c30439638b9795620452000844e0115e83cde7c9c88d61ce1743	e3697a213015c30439638b9795620452000844e0115e83cde7c9c88d61ce1743	True
decoded mapping profile	G88884	${ARTICLE52_WORK_DIR}/decoded-maps/G88884	562572	562572	ec2bd05cd5d94461ea6cfe172baea8d5682c6818181fd235b26af8f38c074846	ec2bd05cd5d94461ea6cfe172baea8d5682c6818181fd235b26af8f38c074846	True
decoded mapping profile	G88970	${ARTICLE52_WORK_DIR}/decoded-maps/G88970	584379	584379	d98779d2446361c8ec6b758eeb8ae43e08c358dfa733ae0abf38fd8fd063d070	d98779d2446361c8ec6b758eeb8ae43e08c358dfa733ae0abf38fd8fd063d070	True
decoded mapping profile	G89027	${ARTICLE52_WORK_DIR}/decoded-maps/G89027	592293	592293	14c524fe2b80774041ce92c4b6cde93d1331268ee8e4222f26741e6fc4f1924d	14c524fe2b80774041ce92c4b6cde93d1331268ee8e4222f26741e6fc4f1924d	True
decoded mapping profile	H2M514903	${ARTICLE52_WORK_DIR}/decoded-maps/H2M514903	527155	527155	6b8b08071a9b33bcc81428ab1a618e5602683f6cc3ec30100798140f366bf30c	6b8b08071a9b33bcc81428ab1a618e5602683f6cc3ec30100798140f366bf30c	True
decoded mapping profile	H3M518116	${ARTICLE52_WORK_DIR}/decoded-maps/H3M518116	459001	459001	754d17fbd29aee634ef0ef7068ca019154dd2bc2cdadbe521bf2b57daaac3e34	754d17fbd29aee634ef0ef7068ca019154dd2bc2cdadbe521bf2b57daaac3e34	True
decoded mapping profile	HD-1	${ARTICLE52_WORK_DIR}/decoded-maps/HD-1	544275	544275	6520097d136c95bc137a661e0ab3fbd250e54f7d990c8a23a5d6a21d1dcca5d6	6520097d136c95bc137a661e0ab3fbd250e54f7d990c8a23a5d6a21d1dcca5d6	True
decoded mapping profile	HD-5	${ARTICLE52_WORK_DIR}/decoded-maps/HD-5	514249	514249	5447f3cab0e8446ca2b501bd9c8d6f1f9d68c05ae290328d2bd0c43d920422a5	5447f3cab0e8446ca2b501bd9c8d6f1f9d68c05ae290328d2bd0c43d920422a5	True
decoded mapping profile	HV-6	${ARTICLE52_WORK_DIR}/decoded-maps/HV-6	522417	522417	b78f2654bf3ef2581970b77cf70f393a3c48fd76ffceae5154397d5d5cf70fa4	b78f2654bf3ef2581970b77cf70f393a3c48fd76ffceae5154397d5d5cf70fa4	True
