ArchiveSampleID	Sample	Study	Country	CompressedFile	CompressedBytes	CompressedSHA256	DecodedBytes	DecodedSHA256	CompatibilityTransformation
CCMD34381688ST-21-0	CCMD34381688ST-21-0	ZellerG_2014	DEU	CCMD34381688ST-21-0_erectale.csv.bz2	151592	c9196dbd90f91f81d563fca0f44b0a75696558dc8674843bdf71cd2316f861ec	551194	05df7b04494e44aa4cc7392730d076e03dc1eb99d291bf73b43b7ff11157cf94	bzip2 decode; canonical tutorial sample ID; no value transformation
G78505	G78505	VatanenT_2016	RUS	G78505_erectale.csv.bz2	150425	60377f724c686ca620eeda3d05fcadce299f5cf7e7a90df9370d1e499795d336	539175	e3697a213015c30439638b9795620452000844e0115e83cde7c9c88d61ce1743	bzip2 decode; canonical tutorial sample ID; no value transformation
G88884	G88884	SchirmerM_2016	NLD	G88884_erectale.csv.bz2	156442	d1cbc47b6634ca904e9f38278c9cc406e4b4f40d903288eb0523ee7f1e472172	562572	ec2bd05cd5d94461ea6cfe172baea8d5682c6818181fd235b26af8f38c074846	bzip2 decode; canonical tutorial sample ID; no value transformation
G88970	G88970	SchirmerM_2016	NLD	G88970_erectale.csv.bz2	164465	eb3e3a10020840c0c6c71a3777e0092b4fb647fea3e972395d90c7aa8702bd6c	584379	d98779d2446361c8ec6b758eeb8ae43e08c358dfa733ae0abf38fd8fd063d070	bzip2 decode; canonical tutorial sample ID; no value transformation
G89027	G89027	SchirmerM_2016	NLD	G89027_erectale.csv.bz2	166906	286ddb6ff5b2eacf0b17f77d969f40bae6a71bde680f1ffb05ef84241b31afd7	592293	14c524fe2b80774041ce92c4b6cde93d1331268ee8e4222f26741e6fc4f1924d	bzip2 decode; canonical tutorial sample ID; no value transformation
H2M514903	H2M514903	LiJ_2017	CHN	H2M514903_erectale.csv.bz2	145729	671460fe218d9a11a80052587076f2aa27419960e952a7ca9ffccd0b73df2988	527155	6b8b08071a9b33bcc81428ab1a618e5602683f6cc3ec30100798140f366bf30c	bzip2 decode; canonical tutorial sample ID; no value transformation
H3M518116	H3M518116	LiJ_2017	CHN	H3M518116_erectale.csv.bz2	124313	ca57daebe10449a84809896b58e7f1b411f0ea88649569d11e9dccb2b82f2b7b	459001	754d17fbd29aee634ef0ef7068ca019154dd2bc2cdadbe521bf2b57daaac3e34	bzip2 decode; canonical tutorial sample ID; no value transformation
HD-1	HD-1	QinN_2014	CHN	HD-1_erectale.csv.bz2	151106	2a6cda47c7fc9a7d85f78e941a42e1a556296580af134b783df3ae74f318809e	544275	6520097d136c95bc137a661e0ab3fbd250e54f7d990c8a23a5d6a21d1dcca5d6	bzip2 decode; canonical tutorial sample ID; no value transformation
HD-5	HD-5	QinN_2014	CHN	HD-5_erectale.csv.bz2	142040	f6f05fce43b952669e07f9908582078770dd1b5f24ec1b6d32402a6f4f1a8808	514249	5447f3cab0e8446ca2b501bd9c8d6f1f9d68c05ae290328d2bd0c43d920422a5	bzip2 decode; canonical tutorial sample ID; no value transformation
HV-6	HV-6	QinN_2014	CHN	HV-6_erectale.csv.bz2	143606	e53337b248be6b16f455401131b81907c49c51cdd5d1125e196fdff561c21d9d	522417	b78f2654bf3ef2581970b77cf70f393a3c48fd76ffceae5154397d5d5cf70fa4	bzip2 decode; canonical tutorial sample ID; no value transformation
