Sample	Study	Country	PCoA1	PCoA2	PCoA1Pct	PCoA2Pct
CCMD34381688ST-21-0	ZellerG_2014	DEU	0.0681067	0.03679398	21.6106	15.1056
G78505	VatanenT_2016	RUS	-0.06974937	0.15046342	21.6106	15.1056
G88884	SchirmerM_2016	NLD	0.23937337	0.01297261	21.6106	15.1056
G88970	SchirmerM_2016	NLD	0.03300459	0.06891944	21.6106	15.1056
G89027	SchirmerM_2016	NLD	-0.04809895	0.15008561	21.6106	15.1056
H2M514903	LiJ_2017	CHN	-0.02050185	0.04141986	21.6106	15.1056
H3M518116	LiJ_2017	CHN	-0.06184098	-0.09772737	21.6106	15.1056
HD-1	QinN_2014	CHN	-0.0243118	-0.01084466	21.6106	15.1056
HD-5	QinN_2014	CHN	-0.05549062	-0.11590784	21.6106	15.1056
HV-6	QinN_2014	CHN	-0.08562557	-0.12871731	21.6106	15.1056
LD-48	QinN_2014	CHN	-0.08014632	-0.15464091	21.6106	15.1056
M1.48.ST	BritoIL_2016	FJI	-0.09304768	0.2060511	21.6106	15.1056
M2.48.ST	BritoIL_2016	FJI	-0.1069918	0.17585131	21.6106	15.1056
M2.58.ST	BritoIL_2016	FJI	-0.05660273	0.15152338	21.6106	15.1056
N021	WenC_2017	CHN	-0.041281	-0.13567027	21.6106	15.1056
S353	KarlssonFH_2013	SWE	0.28732156	0.02331604	21.6106	15.1056
SID530054	FengQ_2015	AUT	0.25651131	-0.03551899	21.6106	15.1056
SZAXPI003417-4	YuJ_2015	CHN	-0.1088692	-0.13835968	21.6106	15.1056
T2D-025	QinJ_2012	CHN	-0.0847401	-0.16211098	21.6106	15.1056
T2D-063	QinJ_2012	CHN	-0.11393072	-0.00175491	21.6106	15.1056
T2D-105	QinJ_2012	CHN	-0.12812777	0.00103702	21.6106	15.1056
YSZC12003_36795	XieH_2016	GBR	0.29503893	-0.03718084	21.6106	15.1056
