GeneFamily	FeatureLabel	FeatureOrder	Sample	SampleOrder	Country	Present	PrevalencePct
UniRef90_B0P2U4	B0P2U4 | K01689	19	CCMD34381688ST-21-0	6	DEU	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	G78505	19	RUS	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	G88884	1	NLD	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	G88970	15	NLD	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	G89027	20	NLD	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	H2M514903	16	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	H3M518116	11	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	HD-1	7	CHN	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	HD-5	13	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	HV-6	14	CHN	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	LD-48	12	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	M1.48.ST	18	FJI	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	M2.48.ST	5	FJI	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	M2.58.ST	17	FJI	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	N021	10	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	S353	3	SWE	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	SID530054	2	AUT	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	T2D-025	9	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	T2D-063	21	CHN	1	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	T2D-105	22	CHN	0	50.0
UniRef90_B0P2U4	B0P2U4 | K01689	19	YSZC12003_36795	4	GBR	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	G78505	19	RUS	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	G88884	1	NLD	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	G88970	15	NLD	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	G89027	20	NLD	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	H2M514903	16	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	H3M518116	11	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	HD-1	7	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	HD-5	13	CHN	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	HV-6	14	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	LD-48	12	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	M1.48.ST	18	FJI	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	M2.58.ST	17	FJI	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	N021	10	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	S353	3	SWE	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	SID530054	2	AUT	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	T2D-025	9	CHN	1	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	T2D-063	21	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	T2D-105	22	CHN	0	50.0
UniRef90_A0A0M6WQV4	A0A0M6WQV4 | K03169	10	YSZC12003_36795	4	GBR	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	G78505	19	RUS	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	G88884	1	NLD	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	G88970	15	NLD	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	G89027	20	NLD	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	H2M514903	16	CHN	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	H3M518116	11	CHN	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	HD-1	7	CHN	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	HD-5	13	CHN	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	HV-6	14	CHN	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	LD-48	12	CHN	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	M1.48.ST	18	FJI	0	50.0
