Package	Version	Role
R	4.4.1	Runtime used for global concordance and DIABLO
vegan	2.6-6.1	Procrustes, protest, and Mantel tests
permute	0.9-7	Restricted permutation design
mixOmics	6.26.0	sPLS-DA and DIABLO
BiocParallel	1.38.0	Serial deterministic DIABLO tuning backend
ggplot2	3.5.2	Plotting support
dplyr	1.1.4	Table manipulation
tidyr	1.3.1	Table reshaping
patchwork	1.3.2	Panel composition
pheatmap	1.0.12	Heatmap support
ComplexHeatmap	2.20.0	Heatmap support
XICOR	0.4.1	HAllA R dependency
eva	0.2.7	HAllA generalized-Pareto dependency

