genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
metabat2-mock1__001	234	230	7	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.97	True
metabat2-mock1__002	1706	1629	516	genus	0.96	0.91	0.96	0.06	0.12	0.99	0.9	False
metabat2-mock1__003	5231	5038	242	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.94	True
metabat2-mock1__004	5353	5181	1051	kingdom	1.0	0.97	0.0	0.0	0.0	0.94	0.91	True
metabat2-mock1__005	1798	1764	38	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
metabat2-mock1__006	2199	2183	195	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
metabat2-mock1__007	2195	2182	272	kingdom	0.99	0.99	0.0	0.0	0.0	0.98	0.97	True
metabat2-mock1__008	1580	1547	62	genus	0.93	0.91	1.0	0.1	0.21	0.99	0.9	False
metabat2-mock1__009	1698	1636	120	kingdom	1.0	0.96	0.0	0.0	0.0	0.97	0.93	True
metabat2-mock1__010	381	367	156	kingdom	1.0	0.96	0.0	0.0	0.0	0.91	0.88	True
metabat2-mock1__011	1463	1456	362	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
metabat2-mock1__012	1893	1864	12	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
metabat2-mock1__013	335	326	138	kingdom	1.0	0.97	0.0	0.0	0.0	0.99	0.96	True
metabat2-mock1__014	2183	2144	515	phylum	0.94	0.92	1.0	0.02	0.05	0.99	0.91	False
metabat2-mock1__015	5737	5671	2000	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
metabat2-mock1__016	1757	1733	479	class	0.98	0.96	0.98	0.05	0.11	0.99	0.95	False
metabat2-mock1__017	2115	2061	108	kingdom	0.99	0.97	0.0	0.0	0.0	0.97	0.94	True
