study_name	sample_id	subject_id	body_site	family_role	visit_number	days_from_first_collection	NCBI_accession	PMID
AsnicarF_2017	MV_FEI1_t1Q14	MV_FEI1	stool				SRR4052021	28144631
AsnicarF_2017	MV_FEI2_t1Q14	MV_FEI2	stool				SRR4052022	28144631
AsnicarF_2017	MV_FEI3_t1Q14	MV_FEI3	stool				SRR4052033	28144631
AsnicarF_2017	MV_FEI4_t1Q14	MV_FEI4	stool				SRR4052038	28144631
AsnicarF_2017	MV_FEI4_t2Q15	MV_FEI4	stool				SRR4052039	28144631
AsnicarF_2017	MV_FEI5_t1Q14	MV_FEI5	stool				SRR4052040	28144631
AsnicarF_2017	MV_FEI5_t2Q14	MV_FEI5	stool				SRR4052041	28144631
AsnicarF_2017	MV_FEI5_t3Q15	MV_FEI5	stool				SRR4052042	28144631
AsnicarF_2017	MV_FEM1_t1Q14	MV_FEM1	stool				SRR4052043	28144631
AsnicarF_2017	MV_FEM2_t1Q14	MV_FEM2	stool				SRR4052044	28144631
AsnicarF_2017	MV_FEM3_t1Q14	MV_FEM3	stool				SRR4052023	28144631
AsnicarF_2017	MV_FEM4_t1Q14	MV_FEM4	stool				SRR4052024	28144631
AsnicarF_2017	MV_FEM4_t2Q15	MV_FEM4	stool				SRR4052025	28144631
AsnicarF_2017	MV_FEM5_t1Q14	MV_FEM5	stool				SRR4052026	28144631
AsnicarF_2017	MV_FEM5_t2Q14	MV_FEM5	stool				SRR4052027	28144631
AsnicarF_2017	MV_FEM5_t3Q15	MV_FEM5	stool				SRR4052028	28144631
AsnicarF_2017	MV_MIM1_t1M14	MV_MIM1	milk				SRR4052029	28144631
AsnicarF_2017	MV_MIM2_t1M14	MV_MIM2	milk				SRR4052030	28144631
AsnicarF_2017	MV_MIM3_t1M14	MV_MIM3	milk				SRR4052031	28144631
AsnicarF_2017	MV_MIM4_t1M14	MV_MIM4	milk				SRR4052032	28144631
AsnicarF_2017	MV_MIM4_t2F15	MV_MIM4	milk				SRR4052034	28144631
AsnicarF_2017	MV_MIM5_t1M14	MV_MIM5	milk				SRR4052035	28144631
AsnicarF_2017	MV_MIM5_t2M14	MV_MIM5	milk				SRR4052036	28144631
AsnicarF_2017	MV_MIM5_t3F15	MV_MIM5	milk				SRR4052037	28144631
