Sample	Spring	BroadRegion	TemperatureC	PH	Conductivity	FilteredSequences	Recruitment	EstimatedCatalogReads	EqualSampleWeight	CatalogReadWeight
AA01.0.1	AA01	ALV	56	8.073703704	2.46	4419184	0.120335	531782.50664	0.0454545454545455	0.0187348655493426
AA01.0.2	AA01	ALV	56.6	8.073703704	2.45	2977643	0.12474	371431.18782	0.0454545454545455	0.0130856379774657
AA01.0.3	AA01	ALV	56	8.073703704	2.43	1003882	0.100645	101035.70389	0.0454545454545455	0.00355951973678548
AA01.0.4	AA01	ALV	33	9.222962963	2.7	2642426	0.041955	110862.98283	0.0454545454545455	0.00390573787551306
AA01.0.5	AA01	ALV	57	8.030740741	2.47	640852	0.19925	127689.761	0.0454545454545455	0.00449855058128522
AA01.1.1	AA01	ALV	41.4	8.41		722556	0.156385	112996.92006	0.0454545454545455	0.0039809171576361
AA01.1.2	AA01	ALV	52.5	8.11	2.96	803033	0.125235	100567.837755	0.0454545454545455	0.00354303666518221
AA01.1.3	AA01	ALV	51.3	8.16	2.96	6593383	0.116605	768821.424715	0.0454545454545455	0.0270858214470007
AA01.1.5	AA01	ALV	35.4	9.36		7066780	0.087985	621770.6383	0.0454545454545455	0.0219051758296466
AA01.1.6	AA01	ALV	31.9	9.27		5772200	0.12155	701610.91	0.0454545454545455	0.0247179738007071
AA01.2.1	AA01	ALV	49.2	8.31	2.86	20403518	0.103675	2115334.72865	0.0454545454545455	0.0745239101291863
AA01.2.2	AA01	ALV	52.7	8.09	2.86	26643926	0.09624	2564211.43824	0.0454545454545455	0.0903379782818512
AA01.2.3	AA01	ALV	52	8.11	2.84	23964557	0.0937	2245478.9909	0.0454545454545455	0.0791089335641951
AA01.2.4	AA01	ALV	53.3	8.08	2.86	22751828	0.11141	2534781.15748	0.0454545454545455	0.0893011402019343
AA01.2.5	AA01	ALV	48.8	8.22	2.68	907671	0.07849	71243.09679	0.0454545454545455	0.00250991678555349
AA01.2.6	AA01	ALV	51.5	8.1	2.87	24995544	0.151605	3789449.44812	0.0454545454545455	0.133503500077749
AA01.3.1	AA01	ALV	52.4	8.27	2.84	26987100	0.112395	3033215.1045	0.0454545454545455	0.106861125470441
AA01.3.2	AA01	ALV	51.9	8.26	2.85	17094383	0.11091	1895938.01853	0.0454545454545455	0.0667944947859906
AA01.3.3	AA01	ALV	51	8.33	2.85	20522004	0.13482	2766776.57928	0.0454545454545455	0.0974744121340033
AA01.3.4	AA01	ALV	48.1	8.36	2.97	54775	0.1195709722	6549.500002255	0.0454545454545455	0.000230740952223035
AA01.3.5	AA01	ALV	52.5	8.24	2.84	17661320	0.11777	2079973.6564	0.0454545454545455	0.073278128393209
AA01.3.6	AA01	ALV	36.1	9.15	2.92	15154316	0.114365	1733123.34934	0.0454545454545455	0.0610584826030996
AA03.0.3	AA03	ALV	71	8.363703704	2.55	393373	0.17992	70775.67016	0.0416666666666667	0.00140565779159662
