File	ExpectedSHA256	ObservedSHA256	Status
annotation-evidence-overlap.tsv	b638ebf3bd7161a48a55f9fbf300a11107d50102d9978e55438dadfe6cbbd4fd	b638ebf3bd7161a48a55f9fbf300a11107d50102d9978e55438dadfe6cbbd4fd	PASS
annotation-state-summary.tsv	18bd2eb61eea70e66a3ae6923eabfaa45b469b70976b68006412545d521a9362	18bd2eb61eea70e66a3ae6923eabfaa45b469b70976b68006412545d521a9362	PASS
cog-category-summary.tsv	00387c299cf466001e8fa88e1d1a8187919b7a4a943f6aff807b5e99535462da	00387c299cf466001e8fa88e1d1a8187919b7a4a943f6aff807b5e99535462da	PASS
command-log.tsv	6484d1d295ffefe1a3c398a12b6a12b5c4b23a674f195a83e79dc95e1b529f65	6484d1d295ffefe1a3c398a12b6a12b5c4b23a674f195a83e79dc95e1b529f65	PASS
completeness-annotation-summary.tsv	17502ea0cf37ede0cdb8b715a5a98afda18bba7d52a4b4ba4452c1e66ec99ce2	17502ea0cf37ede0cdb8b715a5a98afda18bba7d52a4b4ba4452c1e66ec99ce2	PASS
data-NOTICE.txt	be1728c2beb444a15db2f19819fcd475b579a7ed42c448ed9bd9ac73e2c9ecd8	be1728c2beb444a15db2f19819fcd475b579a7ed42c448ed9bd9ac73e2c9ecd8	PASS
database-audit.tsv	862ed959c28c3e9ff42751b8d95c8d4e080a32fb4fc475975f01b0b116580f7d	862ed959c28c3e9ff42751b8d95c8d4e080a32fb4fc475975f01b0b116580f7d	PASS
database-manifest.tsv	6502170d9ba5de1318cd2466a0b32856665aa20c8c498343302ce2d3c3ce7e39	6502170d9ba5de1318cd2466a0b32856665aa20c8c498343302ce2d3c3ce7e39	PASS
delgado-table3-eggnog-anchor.tsv	e145edd1ed94701838960fc434329b7645fc0a78af16df3e1607e31aad9a015f	e145edd1ed94701838960fc434329b7645fc0a78af16df3e1607e31aad9a015f	PASS
env/eggnog-annotation-linux-64.lock	573e3f29d9e9fc033621346a4ee02812daaa89afd6918cff0c0caaeb2bd250b1	573e3f29d9e9fc033621346a4ee02812daaa89afd6918cff0c0caaeb2bd250b1	PASS
env/eggnog-annotation.yml	7931295cd72876a5cf61d6001301f38f05db3bb54dcebb7cd55ae029d1a8cf7d	7931295cd72876a5cf61d6001301f38f05db3bb54dcebb7cd55ae029d1a8cf7d	PASS
field-coverage-summary.tsv	3cbcf5eeecaeec2d861789573b9b588dc0f0f6744d81ff240d995a8895b2e95b	3cbcf5eeecaeec2d861789573b9b588dc0f0f6744d81ff240d995a8895b2e95b	PASS
fractional-allocation-audit.tsv	6af3a8d221039ffb1ab067f8725e249363ca66e3da7f7ce6833919e0d3db037b	6af3a8d221039ffb1ab067f8725e249363ca66e3da7f7ce6833919e0d3db037b	PASS
frozen-contract.json	3e6bca94e72d070b2ca7908a068b162e90bd6472fe8c083cebcd5d75d5c41b15	3e6bca94e72d070b2ca7908a068b162e90bd6472fe8c083cebcd5d75d5c41b15	PASS
gene-functional-annotation.tsv.gz	11dc9237f8d89b1a7a589931f60c5d3b7215148ae3ca53ee662b05cbdab0a583	11dc9237f8d89b1a7a589931f60c5d3b7215148ae3ca53ee662b05cbdab0a583	PASS
go-evidence-audit.tsv	c107d73cf550e56826bcbe5aeb5061f04e37b8a2aa6161f044a830d40f902eae	c107d73cf550e56826bcbe5aeb5061f04e37b8a2aa6161f044a830d40f902eae	PASS
go-term-summary.tsv	0fcfab7cecb69a588d031918607044b20b84f9406fad88b19af905d7953a7d3b	0fcfab7cecb69a588d031918607044b20b84f9406fad88b19af905d7953a7d3b	PASS
input-audit.tsv	cd28ce9d554907f35a3b9939989e8d6be5794082bf5a07291d22acafbf50abce	cd28ce9d554907f35a3b9939989e8d6be5794082bf5a07291d22acafbf50abce	PASS
input-lineage.tsv	88c23a3e0ca9afa16245e790c2f45a1c9704ee1510dd481d5125ea15470213fb	88c23a3e0ca9afa16245e790c2f45a1c9704ee1510dd481d5125ea15470213fb	PASS
ko-term-summary.tsv	c16c2009cd501d249ff2a89a27fcd4d701daf1f0a4757a65754a0b76e1a9a03a	c16c2009cd501d249ff2a89a27fcd4d701daf1f0a4757a65754a0b76e1a9a03a	PASS
length-annotation-summary.tsv	1d3db49e4020939f3df3c5e250fa42adfa55bb3834b339f99aad01d199ea3295	1d3db49e4020939f3df3c5e250fa42adfa55bb3834b339f99aad01d199ea3295	PASS
logs/emapper-go-all.stderr.log	a1b746bd7c68c9e6b3af20155af34ab382fe6169a74e4122b74fcd507b529d8d	a1b746bd7c68c9e6b3af20155af34ab382fe6169a74e4122b74fcd507b529d8d	PASS
logs/emapper-go-all.stdout.log	7dcef266edc6b92f636935ba4f427d143717039efffee389c2a0b64648f51d4e	7dcef266edc6b92f636935ba4f427d143717039efffee389c2a0b64648f51d4e	PASS
logs/emapper-go-all.time.txt	4adf49041a346e47293d4b6ba3469cb6154555ae797036137a030720f946c367	4adf49041a346e47293d4b6ba3469cb6154555ae797036137a030720f946c367	PASS
logs/emapper-main.stderr.log	e4337bc50a2bbe629b5b8e1ec5331f5ce2d0a7f63f9b192cc9815b3e8a71c7a0	e4337bc50a2bbe629b5b8e1ec5331f5ce2d0a7f63f9b192cc9815b3e8a71c7a0	PASS
logs/emapper-main.stdout.log	4fa5fbee8b00149038fe53565047d99a5b99d1dbf97ddc76c60fe93ce64fb028	4fa5fbee8b00149038fe53565047d99a5b99d1dbf97ddc76c60fe93ce64fb028	PASS
logs/emapper-main.time.txt	752495365340c2135534ec3c13efc3999df2732033d89837928cefa49e71c7b4	752495365340c2135534ec3c13efc3999df2732033d89837928cefa49e71c7b4	PASS
raw/catalog-go-all.emapper.annotations.gz	b564e8d0de0577e66474a7a6cb0338a3ea462c630720cafe1d6ae9976a3bf517	b564e8d0de0577e66474a7a6cb0338a3ea462c630720cafe1d6ae9976a3bf517	PASS
raw/catalog-main.emapper.annotations.gz	64ebab2a387087af51a6bf3be29e724b8366f2da19637d22fdc9cdcc46c6ea58	64ebab2a387087af51a6bf3be29e724b8366f2da19637d22fdc9cdcc46c6ea58	PASS
raw/catalog-main.emapper.seed_orthologs.gz	f64f55ce29a9f652c0eefa32f33eb451f20c6a1d613ecec3325bf85c5ba52693	f64f55ce29a9f652c0eefa32f33eb451f20c6a1d613ecec3325bf85c5ba52693	PASS
