Figure	Status	Detail
36-field-coverage.pdf	PASS	missing
36-field-coverage.png	PASS	2980x1930; dpi=(350.012, 350.012)
36-field-coverage.tiff	PASS	2980x1930; dpi=(350.0, 350.0)
36-functional-dark-matter.pdf	PASS	missing
36-functional-dark-matter.png	PASS	2630x1825; dpi=(350.012, 350.012)
36-functional-dark-matter.tiff	PASS	2630x1825; dpi=(350.0, 350.0)
36-cog-category-profile.pdf	PASS	missing
36-cog-category-profile.png	PASS	3470x2420; dpi=(350.012, 350.012)
36-cog-category-profile.tiff	PASS	3470x2420; dpi=(350.0, 350.0)
36-go-evidence-policy.pdf	PASS	missing
36-go-evidence-policy.png	PASS	3330x1370; dpi=(350.012, 350.012)
36-go-evidence-policy.tiff	PASS	3330x1370; dpi=(350.0, 350.0)
