Rho	Indirect	CILower	CIUpper
-0.95	-2.95706972763364	-4.52313279478496	-1.39100666048232
-0.9	-1.96432364176959	-3.01651684101941	-0.912130442519768
-0.85	-1.50617378885569	-2.32424996100307	-0.688097616708303
-0.8	-1.2215778292693	-1.89646006970156	-0.54669558883704
-0.75	-1.01904063747292	-1.59392783166713	-0.444153443278712
-0.7	-0.862942705634206	-1.36253716698098	-0.363348244287431
-0.65	-0.736138139424262	-1.17631460019699	-0.295961678651532
-0.6	-0.629167412912304	-1.02100628926377	-0.23732853656084
-0.55	-0.53627575204938	-0.888018576610436	-0.184532927488325
-0.5	-0.45380464054247	-0.77198285580375	-0.135626425281189
-0.45	-0.379219486689503	-0.669270251401568	-0.0891687219774384
-0.4	-0.310693220174896	-0.577357601109035	-0.0440288392407582
-0.35	-0.246902825450318	-0.494519781856515	0.000714130955878411
-0.3	-0.186832126330758	-0.419512217349603	0.0458479646880857
-0.25	-0.129661306922474	-0.351374488911368	0.0920518750664188
-0.2	-0.0747398033834683	-0.289369300267838	0.139889693500902
-0.15	-0.0215092316837841	-0.23282539586508	0.189806932497512
-0.0999999999999999	0.0305062677656434	-0.181115706947358	0.242128242478645
-0.0499999999999999	0.0817388606557115	-0.133592365697687	0.29707008700911
1.11022302462516e-16	0.132587017300926	-0.0896036830874541	0.354777717689307
0.05	0.183435173946139	-0.0484999738739128	0.415370321766191
0.1	0.234667766836211	-0.00965324866715073	0.478988782339573
0.15	0.286683266285634	0.027530249895222	0.545836282676046
0.2	0.339913837985324	0.0636061957116495	0.616221480258998
0.25	0.394835341524331	0.0991021584402043	0.690568524608457
0.3	0.452006160932608	0.134529852806289	0.769482469058927
0.35	0.512076860052173	0.17040645294425	0.853747267160095
0.4	0.575867254776746	0.207287558774776	0.944446950778716
0.45	0.64439352129135	0.245797471494358	1.04298957108834
0.5	0.718978675144319	0.286682588163585	1.15127476212505
0.55	0.801449786651236	0.330907063161182	1.27199251014129
0.6	0.894341447514151	0.37976203031288	1.40892086471542
0.65	1.00131217402612	0.435067820398019	1.56755652765422
0.7	1.12811674023606	0.499633017082618	1.75660046338951
0.75	1.28421467207477	0.57803441105987	1.99039493308968
0.8	1.48675186387114	0.678518060962993	2.2949856667793
0.85	1.77134782345754	0.818148096805731	2.72454755010935
0.9	2.22949767637146	1.04064763019016	3.41834772255276
0.95	3.22224376223547	1.51819034517837	4.92629717929257
