Model	Term	VIF
Microbiome node	Antibiotic	1.17198877876594
Microbiome node	CD	2.61237867296155
Microbiome node	UC	2.86932930795399
Microbiome node	AgeZ	1.14968874866759
Microbiome node	Immunosuppressant	1.38686911717628
Microbiome node	Mesalamine	1.27786549564597
Microbiome node	Steroids	1.27298390534762
Phenotype node	Antibiotic	1.35568021722811
Phenotype node	ShannonZ	1.7995765298196
Phenotype node	CD	3.09909674139545
Phenotype node	UC	2.90145974216195
Phenotype node	AgeZ	1.15164456586673
Phenotype node	Immunosuppressant	1.40171254481018
Phenotype node	Mesalamine	1.29401458330686
Phenotype node	Steroids	1.30162234700653
