Model	Term	Estimate	RobustSE	TStatistic	PValue	CILower	CIUpper
Microbiome node	(Intercept)	0.838768521952503	0.178948826733476	4.68719766015429	1.08859295607107e-05	0.488028821554891	1.18950822235012
Microbiome node	Antibiotic	-0.903771239197312	0.295636625933503	-3.05703407466366	0.00301744610214472	-1.48321902602698	-0.324323452367646
Microbiome node	CD	-1.03458119011479	0.33082787691178	-3.12724912958492	0.00244213329490864	-1.68300382886188	-0.386158551367702
Microbiome node	UC	-0.300477395713883	0.344709792255124	-0.87168221635983	0.385926835543579	-0.976108588533926	0.37515379710616
Microbiome node	AgeZ	0.0329669652442191	0.119489945917737	0.275897398655744	0.783320990790938	-0.201233328754545	0.267167259242983
Microbiome node	Immunosuppressant	-0.182854110444491	0.235764471913988	-0.775579581435831	0.440228329835026	-0.644952475395907	0.279244254506926
Microbiome node	Mesalamine	0.235506334528217	0.228290753871188	1.0316069772195	0.305289386696682	-0.211943543059312	0.682956212115746
Microbiome node	Steroids	-0.296600307064945	0.245428566125692	-1.20849953103277	0.230328654914876	-0.777640296671302	0.184439682541411
Phenotype node	(Intercept)	-0.829357292999668	0.314913568295792	-2.63360291996269	0.0101170228119074	-1.44658788685942	-0.212126699139915
Phenotype node	Antibiotic	-0.513917546267382	0.352423774704048	-1.45823744921565	0.148641768283997	-1.20466814468732	0.176833052152551
Phenotype node	ShannonZ	-0.146704178613476	0.134390519843115	-1.09162594790716	0.27823395591125	-0.410109597505982	0.11670124027903
Phenotype node	CD	1.22125725446567	0.438446491037104	2.78541915474543	0.00665469118945507	0.361902132032947	2.0806123768984
Phenotype node	UC	1.51398461822367	0.481410798727433	3.14489127004578	0.00232340661638853	0.570419452717904	2.45754978372944
Phenotype node	AgeZ	-0.00768761780423999	0.140785529187125	-0.0546051703511516	0.956587479218165	-0.283627255011005	0.268252019402525
Phenotype node	Immunosuppressant	-0.163895193413334	0.224026231458265	-0.731589298032122	0.466530599270182	-0.602986607071534	0.275196220244866
Phenotype node	Mesalamine	-0.213370290238307	0.315036553635979	-0.67728740609845	0.500153499688	-0.830841935364827	0.404101354888212
Phenotype node	Steroids	-0.0534141665403158	0.283467233394801	-0.188431537220821	0.851009674896385	-0.609009943994126	0.502181610913495
Total-association node	(Intercept)	-0.952408140059549	0.265915666634649	-3.58161725524844	0.000577622574400743	-1.47360284666346	-0.431213433455638
Total-association node	Antibiotic	-0.381330528966457	0.337737369997513	-1.12907413523492	0.262158853355584	-1.04329577416158	0.280634716228668
Total-association node	CD	1.37303463817041	0.364535153373312	3.76653561519298	0.000310413652216697	0.658545737558723	2.08752353878211
Total-association node	UC	1.55806590775379	0.469237613723683	3.32041989428256	0.00134322097692677	0.638360184855375	2.47777163065221
Total-association node	AgeZ	-0.0125240093617722	0.140690181113273	-0.0890183612151925	0.92928437644204	-0.288276764343788	0.263228745620243
Total-association node	Immunosuppressant	-0.137069731334477	0.227102572262615	-0.60355869142677	0.547803073077734	-0.582190772969202	0.308051310300248
Total-association node	Mesalamine	-0.24792005360354	0.313692577937049	-0.790328082461971	0.431615906815047	-0.862757506360155	0.366917399153075
Total-association node	Steroids	-0.00990166211584818	0.281264505241304	-0.0352040941225531	0.972002554515168	-0.561180092388803	0.541376768157107
Constrained phenotype node	(Intercept)	-0.909117422887601	0.322130627402496	-2.82220113690611	0.00598270213053442	-1.54049345259649	-0.277741393178709
Constrained phenotype node	ShannonZ	-0.0696552533023216	0.136446472153862	-0.510495084283131	0.61107620588278	-0.337090338723891	0.197779832119247
Constrained phenotype node	CD	1.27952989633707	0.4484185901612	2.85342741003912	0.00547359906786027	0.400629459621115	2.15843033305302
Constrained phenotype node	UC	1.50854746349724	0.496363453510259	3.03919930613116	0.00318242745471447	0.535675094617136	2.48141983237735
Constrained phenotype node	AgeZ	-0.0374962242339198	0.147222114318209	-0.254691521090878	0.799599020213874	-0.32605156829761	0.25105911982977
Constrained phenotype node	Immunosuppressant	-0.180401844075226	0.227869447854821	-0.791689477345653	0.430825960976261	-0.627025961870674	0.266222273720223
Constrained phenotype node	Mesalamine	-0.204715405897993	0.322558108351989	-0.634662098385694	0.527415639606359	-0.836929298267892	0.427498486471905
Constrained phenotype node	Steroids	-0.128704710215822	0.298134365533989	-0.431700350898154	0.667092176113591	-0.713048066662441	0.455638646230797
Reverse microbiome node	(Intercept)	0.72999552351264	0.229210065734826	3.18483187539055	0.00205658642494041	0.28074379467238	1.1792472523529
Reverse microbiome node	Antibiotic	-0.94732238422401	0.296396695572156	-3.19613004590124	0.00198647477150988	-1.52825990754544	-0.366384860902584
Reverse microbiome node	LogCalprotectinZ	-0.114208388047862	0.107858200125395	-1.0588753373882	0.29280404186815	-0.325610460293637	0.097193684197913
Reverse microbiome node	CD	-0.877769117355468	0.364876078354055	-2.40566364699779	0.0184213829635315	-1.59292623092941	-0.162612003781521
Reverse microbiome node	UC	-0.122533199916993	0.3894991521404	-0.314591698707536	0.753880597662664	-0.885951538112178	0.640885138278191
Reverse microbiome node	AgeZ	0.0315366183231149	0.11863364981808	0.265831982506438	0.791044062501848	-0.200985335320322	0.264058571966552
Reverse microbiome node	Immunosuppressant	-0.198508623510355	0.237026145291121	-0.837496738035129	0.404777749255272	-0.663079868280953	0.266062621260243
Reverse microbiome node	Mesalamine	0.207191784841417	0.226694581910156	0.913968843435048	0.363445845668414	-0.237129595702489	0.651513165385323
Reverse microbiome node	Steroids	-0.297731159934191	0.246466402339783	-1.20799896905921	0.230562817785087	-0.780805308520165	0.185342988651784
