SampleSize	Target	ExposureFraction	Repetitions	Detections	Power	CILower	CIUpper
90	B path (HC3)	0.144444444444444	1000	180	0.18	0.156658101671014	0.205242494027787
90	Joint a and b (HC3)	0.144444444444444	1000	164	0.164	0.141566276454362	0.188431327526098
150	B path (HC3)	0.144444444444444	1000	311	0.311	0.282401305388241	0.340716181376211
150	Joint a and b (HC3)	0.144444444444444	1000	309	0.309	0.280458031727336	0.338671324716288
250	B path (HC3)	0.144444444444444	1000	506	0.506	0.474533689955064	0.537430892502803
250	Joint a and b (HC3)	0.144444444444444	1000	506	0.506	0.474533689955064	0.537430892502803
350	B path (HC3)	0.144444444444444	1000	661	0.661	0.630719770284917	0.690328762325449
350	Joint a and b (HC3)	0.144444444444444	1000	661	0.661	0.630719770284917	0.690328762325449
450	B path (HC3)	0.144444444444444	1000	747	0.747	0.718852737416706	0.77368475133546
450	Joint a and b (HC3)	0.144444444444444	1000	747	0.747	0.718852737416706	0.77368475133546
500	B path (HC3)	0.144444444444444	1000	825	0.825	0.800003174430663	0.848065967090469
500	Joint a and b (HC3)	0.144444444444444	1000	825	0.825	0.800003174430663	0.848065967090469
550	B path (HC3)	0.144444444444444	1000	854	0.854	0.830574624546146	0.875317961710623
550	Joint a and b (HC3)	0.144444444444444	1000	854	0.854	0.830574624546146	0.875317961710623
700	B path (HC3)	0.144444444444444	1000	919	0.919	0.900328301031513	0.935156460291505
700	Joint a and b (HC3)	0.144444444444444	1000	919	0.919	0.900328301031513	0.935156460291505
