Model	Effect	Estimate	CILower	CIUpper	BootstrapP	ValidBootstrap	RequestedBootstrap
Primary Shannon path	A	-0.903771239197312	-1.46606338987691	-0.35739327917489	0.0028	5000	5000
Primary Shannon path	B	-0.146704178613476	-0.369398978304476	0.116788808898787	0.2808	5000	5000
Primary Shannon path	Direct	-0.513917546267382	-1.16291240433609	0.145441916702903	0.1244	5000	5000
Primary Shannon path	Indirect	0.132587017300925	-0.109292800943747	0.363920858147609	0.2836	5000	5000
Primary Shannon path	Total	-0.381330528966457	-1.04001184598502	0.222293553978404	0.2204	5000	5000
Faecalibacterium sensitivity	A	-0.779280601286746	-1.22904302390406	-0.335543324482064	0.003	2000	2000
Faecalibacterium sensitivity	B	-0.126145819612211	-0.319612225026848	0.0906793380448084	0.235	2000	2000
Faecalibacterium sensitivity	Direct	-0.479633519123671	-1.14783959551861	0.14559829953334	0.131	2000	2000
Faecalibacterium sensitivity	Indirect	0.0983029901572136	-0.0717121247594993	0.273407434577941	0.236	2000	2000
Faecalibacterium sensitivity	Total	-0.381330528966457	-1.04390487916379	0.240024263745886	0.226	2000	2000
