MicrobeID	MetaboliteID	DiscoveryRho	DiscoveryP	DiscoveryQ	ValidationRho	ValidationP	ValidationQ	SameDirection	Replicated	Microbe	Phylum	MicrobeRawFeature	Metabolite	HMDB	ChemicalClass	MetaboliteRawFeature	CombinedMagnitude
MB090	MT027	0.5384131997035222	4.984506645758716e-13	2.531929995779597e-09	0.6928321678321678	1.609254399156543e-10	7.106467426675294e-07	True	True	Ruminococcus_B	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B	alpha-muricholate	HMDB0000506		C18-neg_Cluster_0927: alpha-muricholate	0.615622683767845
MB154	MT026	-0.4508781541039605	3.925377593409967e-09	1.6080119373778443e-06	-0.6832604895104896	3.5852275821992894e-10	7.916182501496031e-07	True	True	Fusobacterium	Fusobacteriota	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	deoxycholic acid	HMDB0000626	Bile acids, alcohols and derivatives	C18-neg_Cluster_0833: deoxycholic acid	0.567069321807225
MB151	MT026	-0.3397280139215623	1.527547574689639e-05	0.0005208635561596	-0.6693618881118881	1.0888258949042233e-09	1.6027517172990168e-06	True	True	Veillonella	Firmicutes_C	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	deoxycholic acid	HMDB0000626	Bile acids, alcohols and derivatives	C18-neg_Cluster_0833: deoxycholic acid	0.5045449510167253
MB164	MT115	-0.3005832876800619	0.0001445772532206	0.002612095579886	-0.644493006993007	6.90394812143544e-09	7.621958726064726e-06	True	True	Klebsiella	Proteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	urocanic acid	HMDB0000301	Imidazoles	HILIC-pos_Cluster_0116: urocanic acid	0.47253814733653443
MB003	MT026	-0.462721149817924	1.3457367433325714e-09	7.595338179369034e-07	-0.638854895104895	1.0254853067243295e-08	8.596241208879258e-06	True	True	Mycobacterium	Actinobacteriota	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	deoxycholic acid	HMDB0000626	Bile acids, alcohols and derivatives	C18-neg_Cluster_0833: deoxycholic acid	0.5507880224614095
MB152	MT115	-0.3617833779124101	3.7394025133213294e-06	0.0001903273447561	-0.6369755244755245	1.1679675555542468e-08	8.596241208879258e-06	True	True	Veillonella_A	Firmicutes_C	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A	urocanic acid	HMDB0000301	Imidazoles	HILIC-pos_Cluster_0116: urocanic acid	0.4993794511939673
MB073	MT116	0.2811446617898231	0.0003946442011642	0.0055042138501749	0.6316433566433567	1.681404020323553e-08	1.06072573624983e-05	True	True	Enterocloster	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	imidazole propionate	HMDB0002271	Azoles	HILIC-pos_Cluster_0121: imidazole propionate	0.4563940092165899
MB057	MT038	0.4002320260384776	2.4715231412005524e-07	2.65309586242268e-05	0.6224650349650349	3.0981492462089596e-08	1.7101783839073456e-05	True	True	Blautia	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	cholesterol	HMDB0000067		C8-pos_Cluster_0416: cholesterol	0.5113485305017562
MB073	MT027	0.4792401147239857	2.819150112928336e-10	1.9889104046709409e-07	0.6130244755244755	5.6925282226063094e-08	2.7931338478921626e-05	True	True	Enterocloster	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	alpha-muricholate	HMDB0000506		C18-neg_Cluster_0927: alpha-muricholate	0.5461322951242306
MB115	MT057	-0.3455112190320633	1.0669674634327642e-05	0.0004044602930785	-0.6091783216783216	7.252299370984144e-08	3.185601889166872e-05	True	True	CAG-83	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	erythronic acid	HMDB0000613		HILIC-neg_Cluster_0122: erythronic acid	0.47734477035519246
MB077	MT057	0.2666319701524907	0.0007976955306756	0.0090712724339846	0.607736013986014	7.935149633341392e-08	3.185601889166872e-05	True	True	Faecalimonas	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas	erythronic acid	HMDB0000613		HILIC-neg_Cluster_0122: erythronic acid	0.4371839920692523
MB135	MT099	-0.2108522210469418	0.0084505969832852	0.0489014040058051	-0.6002185314685314	1.259305699184695e-07	4.634244972999678e-05	True	True	Copromorpha	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha	beta-alanine	HMDB0000056	Amino acids, peptides, and analogues	HILIC-pos_Cluster_0009: beta-alanine	0.4055353762577366
MB151	MT115	-0.2545841255518675	0.0013899426847704	0.0135698257352662	-0.5951048951048951	1.7125858278616006e-07	5.817522319874483e-05	True	True	Veillonella	Firmicutes_C	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	urocanic acid	HMDB0000301	Imidazoles	HILIC-pos_Cluster_0116: urocanic acid	0.4248445103283813
MB114	MT027	-0.4499822757887274	4.2494656563887965e-09	1.660429672937887e-06	-0.5883741258741259	2.546272235573379e-07	7.027711370182526e-05	True	True	CAG-170	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170	alpha-muricholate	HMDB0000506		C18-neg_Cluster_0927: alpha-muricholate	0.5191782008314266
MB092	MT057	0.2885713387994707	0.0002711797362439	0.0041970889342622	0.5900786713286713	2.30489969281608e-07	7.027711370182526e-05	True	True	Scybalomonas	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Scybalomonas	erythronic acid	HMDB0000613		HILIC-neg_Cluster_0122: erythronic acid	0.439325005064071
MB118	MT108	-0.2696432599658406	0.0006915030303548	0.0081877827342433	-0.5893356643356643	2.4073340801961203e-07	7.027711370182526e-05	True	True	Evtepia	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia	hydroxyproline	HMDB0000725		HILIC-pos_Cluster_0089: hydroxyproline	0.42948946215075245
MB119	MT057	-0.2399489542304879	0.0026365002036002	0.0214596549064523	-0.5809003496503496	3.914315319940266e-07	0.00010168009678150714	True	True	Faecousia	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia	erythronic acid	HMDB0000613		HILIC-neg_Cluster_0122: erythronic acid	0.41042465194041877
MB077	MT027	0.4668170539138281	9.20436144490918e-10	5.436566790181473e-07	0.5788461538461538	4.397163077530071e-07	0.00010787706750207108	True	True	Faecalimonas	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas	alpha-muricholate	HMDB0000506		C18-neg_Cluster_0927: alpha-muricholate	0.522831603879991
MB115	MT151	-0.4016232246547806	2.225366966506573e-07	2.425745502804031e-05	-0.5767045454545455	4.959894346816722e-07	0.00011527838650285602	True	True	CAG-83	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	C16 carnitine	HMDB0000222	Acyl carnitines	HILIC-pos_Cluster_1486: C16 carnitine	0.4891638850546631
