SGB	GTDBTaxonomy	Sample1	Sample2	NativeSample1	NativeSample2	PresentInMOCK1	PresentInMOCK2	Compared	ComparedBases	PercentGenomeCompared	PopulationSNPs	ConsensusSNPs	PopANIPct	ConANIPct	SameStrainRule	ReportingPopANIThresholdPct	ReportingGenomeComparedThresholdPct
SGB_001	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	MOCK1	MOCK2	MOCK1.identity95.unfiltered.bam	MOCK2.identity95.unfiltered.bam	True	True	True	938002	35.8733223138473	1	51	99.99989339041922	99.99456291137973	False	99.999	50.0
SGB_002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	MOCK1	MOCK2	MOCK1.identity95.unfiltered.bam	MOCK2.identity95.unfiltered.bam	True	True	True	1706918	64.6434724187856	0	85	100.0	99.99502026459385	True	99.999	50.0
SGB_003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_004	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_005	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_007	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_008	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus islandicus	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_009	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus hospitalis	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_010	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii	MOCK1	MOCK2	MOCK1.identity95.unfiltered.bam	MOCK2.identity95.unfiltered.bam	True	True	True	1718753	99.47304697492503	0	2	100.0	99.99988363656675	True	99.999	50.0
SGB_011	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella oralis	MOCK1	MOCK2	MOCK1.identity95.unfiltered.bam	MOCK2.identity95.unfiltered.bam	True	True	True	1391552	71.80432388809366	0	156	100.0	99.9887894954698	True	99.999	50.0
SGB_012	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_013	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_D	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
SGB_014	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	MOCK1	MOCK2	MOCK1.identity95.unfiltered.bam	MOCK2.identity95.unfiltered.bam	True	True	True	1095971	57.12639340485441	0	4	100.0	99.99963502683921	True	99.999	50.0
SGB_015	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	MOCK1	MOCK2			False	False	False	0	nan	0	0	nan	nan	False	99.999	50.0
