Spring	HotSpringName	BroadRegion	BroadRegionName	LatitudeMedian	LongitudeMedian	Samples	SamplingYears	YearsObserved	MedianPH	PHSamples	MedianTemperatureC	TemperatureSamples	MedianConductivity	ConductivitySamples	MeanRecruitment	MedianRecruitment	TotalFilteredSequences	EstimatedCatalogReads	TemperatureRegime
AA01	Mickey Hot Springs	ALV	Alvord Desert	42.678546	-118.348225	22	2020,2021,2022,2023	4	8.23	22	51.7	22	2.85	19	0.115437998736364	0.115485	249782881	28384644.9412423	50–<70
AA03	Mickey Hot Springs	ALV	Alvord Desert	42.67746	-118.346955	24	2020,2021,2022,2023	4	8.49	24	58.65	24	2.88	17	0.126340833333333	0.119065	387649165	50350569.37977	50–<70
AB02	AB02	ALV	Borax Lake	42.3327455	-118.603095	8	2020,2021,2022,2023	4	6.925	8	68.5	7	2.25	6	0.07546	0.0828125	106417988	7088034.117535	50–<70
AB03	AB03	ALV	Borax Lake	42.331269	-118.60362	8	2020,2021,2022,2023	4	7.445	8	56.05	8	2.32	8	0.115116875	0.106065	54931524	7773916.81125	50–<70
AB04	AB04	ALV	Borax Lake	42.333086	-118.603305	4	2020,2021,2022,2023	4	6.939074074	4	70.6	4	2.26	4	0.10413	0.101915	61734144	6607909.684265	70–<80
AB07	AB07	ALV	Borax Lake	42.333259	-118.603325	6	2020,2021,2022,2023	4	7.22	6	52.5	6	2.24	6	0.100399166666667	0.0946125	57298418	7701428.230325	50–<70
AB08	AB08	ALV	Borax Lake	42.3340055	-118.603025	10	2020,2021,2022,2023	4	7.822222222	10	53.15	10	2.595	2	0.1048455	0.100305	143971277	14352290.553455	50–<70
AB09	AB09	ALV	Borax Lake	42.334158	-118.60301	5	2020,2021,2022,2023	4	7.73	5	44.2	5	2.34	3	0.08806	0.082555	69242140	5371792.839135	30–<50
AB11	AB11	ALV	Borax Lake	42.3346415	-118.602915	18	2020,2021,2022,2023	4	7.07	18	71.15	18	2.38	18	0.100729722222222	0.0783025	237278696	26151195.203395	70–<80
AB20	AB20	ALV	Borax Lake	42.3266625	-118.60395	4	2020,2021,2022,2023	4	5.962037037	4	26.5	4	3.67	4	0.2119375	0.2439375	59223509	14196575.940795	Below 30
AB22	AB22	ALV	Borax Lake	42.329797	-118.603955	24	2020,2021,2022,2023	4	7.515	24	46	24	2.395	22	0.147377916666667	0.1375775	235295137	36022525.159295	30–<50
AB31	AB31	ALV	Borax Lake	42.333222	-118.60336	4	2020,2021,2022,2023	4	6.85	4	73.5	4	2.3	4	0.10323625	0.104125	56978014	5958731.29447	70–<80
AB32	AB32	ALV	Borax Lake	42.3331755	-118.603355	4	2020,2021,2022,2023	4	6.915	4	68.25	4	2.21	4	0.0832625	0.0846475	47018376	3873987.77148	50–<70
AB35	Borax Lake	ALV	Borax Lake	42.326912	-118.60408	5	2021,2022,2023	3	6.76	5	35.4	5	2.5	5	0.058215	0.063395	88923073	5400731.303385	30–<50
AM01	AM01	BLR	Soldier Meadows	41.352522	-119.21753	33	2020,2021,2022,2023	4	8.52	27	49.9	33	0.40175	22	0.160784545454545	0.13864	539311258	89894024.120905	30–<50
AM02	AM02	BLR	Soldier Meadows	41.356951	-119.18897	29	2020,2021,2022,2023	4	8.5	29	55.4	29	0.407	29	0.157325	0.154195	442756040	70719273.79116	50–<70
AR01	Double Hot Springs	BLR	Black Rock Desert	41.050898	-119.0264	11	2020,2021,2022,2023	4	7.751481481	11	74.6	11	1.012	11	0.108154090909091	0.10497	131135979	15845546.220545	70–<80
AR08	Casey hot springs	BLR	Black Rock Desert	41.001383	-119.01288	4	2021	1	7.77	3	28.95	4		0	0.11807375	0.1098	16356562	2310136.143935	Below 30
AR10	Black Rock Hot Springs	BLR	Black Rock Desert	40.9737535	-119.008155	10	2022,2023	2	6.77	10	45.95	10	2.29	10	0.2057135	0.21635	263397670	55084397.12378	30–<50
AR11	Trego hot springs	BLR	Black Rock Desert	40.771762	-119.116815	4	2022	1	8.33	4	49.35	4	2.55	4	0.07934375	0.0715275	73969003	6395904.892915	30–<50
AW01	AW01	GBD	Buffalo Valley/Winnemucca	40.367223	-117.324965	2	2023	1	6.67	2	53	2	1.5915	2	0.1816125	0.1816125	46644979	8525413.907815	50–<70
AW03	AW03	GBD	Buffalo Valley/Winnemucca	40.367968	-117.32559	1	2023	1	7.13	1	28.8	1	1.719	1	0.00816	0.00816	29363059	239602.56144	Below 30
AY01	AY01	YEL	Yellowstone National Park	44.5171925	-110.822845	26	2020,2021,2022,2023	4	8.407711111	24	54.85	26	1.926	11	0.0764811538461539	0.0824525	324850106	26307891.579795	50–<70
