MAG	Taxonomy	Springs	NonzeroSprings	Prevalence	MeanRelativeAbundance	MaximumRelativeAbundance	RelaxedFilter	PrimaryFilter	StrictFilter
AA01.MAG01	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	56	43	0.767857142857143	0.00174197966041294	0.0125349598881284	TRUE	TRUE	FALSE
AA01.MAG06	Bacteria;Cyanobacteriota;Cyanobacteriia;Elainellales;Elainellaceae;Thermoleptolyngbya	56	30	0.535714285714286	0.00159702354017252	0.0226825453650907	FALSE	FALSE	FALSE
AA01.MAG08	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;JADJNW01	56	18	0.321428571428571	0.00038332228737928	0.00561501010701819	FALSE	FALSE	FALSE
AA01.MAG10	Bacteria;Bipolaricaulota;Bipolaricaulia;RBG-16-55-9;DRXL01;JANXCC01	56	40	0.714285714285714	0.00272467179347324	0.0123078541257491	TRUE	TRUE	TRUE
AA01.MAG11	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuricystis	56	28	0.5	0.00325725800022428	0.0302420302420302	FALSE	FALSE	FALSE
AA01.MAG15	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Thiobacillaceae;JANWZL01	56	43	0.767857142857143	0.00253031370751666	0.0184268802252785	TRUE	TRUE	TRUE
AA01.MAG16	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;CALEVZ01	56	40	0.714285714285714	0.00193078918488665	0.0151289546131362	TRUE	TRUE	FALSE
AA01.MAG17	Bacteria;Desulfobacterota_B;Binatia;HRBIN30;HRBIN30	56	37	0.660714285714286	0.000936631213321598	0.00510703574925025	FALSE	FALSE	FALSE
AA01.MAG18	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	56	41	0.732142857142857	0.00461013333747987	0.0366142562997941	TRUE	TRUE	TRUE
AA01.MAG23	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	56	34	0.607142857142857	0.00181156343400163	0.019893940318179	TRUE	FALSE	FALSE
AA01.MAG25	Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;DUZI01;DUZI01	56	31	0.553571428571429	0.00162500291131678	0.00907699092300908	FALSE	FALSE	FALSE
AA01.MAG26	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;CAKZQX01;CAKZQX01 sp034435975	56	28	0.5	0.00107530772663284	0.00772877526791914	FALSE	FALSE	FALSE
AA01.MAG28	Bacteria;Bacteroidota;Bacteroidia;CAIKAF01;CAIKAF01	56	27	0.482142857142857	0.000111038850600908	0.00133400533602134	FALSE	FALSE	FALSE
AA01.MAG30	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	56	44	0.785714285714286	0.00833395482403643	0.0296570593141186	TRUE	TRUE	TRUE
AA01.MAG34	Bacteria;Cyanobacteriota;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;DSRU01	56	31	0.553571428571429	0.000864720250692272	0.00830865004936657	FALSE	FALSE	FALSE
AA01.MAG37	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;M3007	56	17	0.303571428571429	0.000367050759116088	0.00495504162564965	FALSE	FALSE	FALSE
AA01.MAG40	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;Thermostichus	56	30	0.535714285714286	0.00140581972953381	0.0106069575721697	FALSE	FALSE	FALSE
AA01.MAG44	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	25	0.446428571428571	0.000948062664081272	0.00846798306403387	FALSE	FALSE	FALSE
AA01.MAG45	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Schleiferiaceae;Schleiferia;Schleiferia thermophila	56	29	0.517857142857143	0.00555914978783843	0.0445787102383835	FALSE	FALSE	FALSE
AA01.MAG48	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;CAKZQX01;CAKZQX01 sp937925925	56	22	0.392857142857143	0.00111535601962199	0.0146659413362347	FALSE	FALSE	FALSE
AA01.MAG52	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp034434555	56	43	0.767857142857143	0.00228777068053581	0.013900874892126	TRUE	TRUE	TRUE
AA01.MAG55	Bacteria;Desulfobacterota;BSN033;BSN033;UBA1163;RBG-16-49-23	56	34	0.607142857142857	0.00131342672701103	0.00812151624303249	TRUE	FALSE	FALSE
AA01.MAG57	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Spirulinaceae;JAAUTY01	56	18	0.321428571428571	0.000839910751309615	0.00938576877153754	FALSE	FALSE	FALSE
AA01.MAG61	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;JAAUTZ01	56	26	0.464285714285714	0.00111610363072413	0.0081010081010081	FALSE	FALSE	FALSE
AA01.MAG64	Bacteria;Cyanobacteriota;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae	56	24	0.428571428571429	0.00141811253115665	0.0141685566742267	FALSE	FALSE	FALSE
AA03.MAG02	Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;GBS-DC;HRBIN15	56	38	0.678571428571429	0.00332671128052946	0.0207639377081869	TRUE	FALSE	FALSE
AA03.MAG03	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Caldarchaeaceae	56	18	0.321428571428571	0.000730960049471881	0.00624125468094101	FALSE	FALSE	FALSE
