CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_46	40584	41537	+	CAZyme|GT2
CGC1	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_47	41534	42700	+	null
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_48	42715	43656	+	CAZyme|GT2
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_49	43671	44066	+	CAZyme|GT2
CGC1	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_50	44054	44638	+	null
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_51	44647	45582	+	CAZyme|GT101_e12
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_52	45594	46565	+	CAZyme|GT2
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_53	46565	47545	+	CAZyme|GT2
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_54	47542	48834	+	CAZyme|GT129_e12|GT129_e12
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_55	48834	49958	+	CAZyme|GT4_e408
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_56	50011	51132	+	CAZyme|GT4_e5775
CGC1	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_57	51080	52255	+	CAZyme|GT4_e8627
CGC1	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_58	52276	53298	+	TC|9.B.146.1.7
CGC2	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_126	112706	113182	-	TC|3.D.1.5.1
CGC2	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_127	113201	114967	-	STP|Fer4
CGC2	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_128	114979	116886	-	TC|3.D.1.5.1+STP|Fer4
CGC2	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_129	117467	120223	+	CAZyme|PL40_e1
CGC2	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_130	120368	123661	+	CAZyme|GH28_e12|CBM6_e73
CGC3	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_150	148218	149618	+	CAZyme|GH43_10|CBM91_e12+Sulfatase|S1_7
CGC3	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_151	149679	150899	+	CAZyme|GH88_e24+Sulfatase|S1_27
CGC3	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_152	150999	151475	-	null
CGC3	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_153	151535	152824	-	TC|1.A.112.2.3
CGC3	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_154	152837	152950	+	null
