Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
megahit-co__c000002_1	-	GH38(95-332)	GH38_e13(96-335)	GH38	3	GH38_e13	-
megahit-co__c000017_3	-	AA6(13-190)	-	-	1	-	-
megahit-co__c000048_1	-	-	-	GH50	1	-	-
megahit-co__c000092_2	-	-	GT4_e1946(204-347)	GT4	2	GT4_e1946	-
megahit-co__c000092_7	-	-	-	GT2	1	-	-
megahit-co__c000097_13	-	GT4(193-323)	GT4_e3191(195-322)	GT4	3	GT4_e3191	-
megahit-co__c000097_6	-	GH16_24(23-264)	GH16_e785(23-264)	GH16_24	3	GH16_24	-
megahit-co__c000097_8	-	GT4(198-351)	GT4_e1914(201-351)	GT4	3	GT4_e1914	-
megahit-co__c000101_1	-	CBM32(147-266)	CBM32_e372(150-253)	CBM32	3	CBM32_e372	host glycan
megahit-co__c000114_1	-	-	-	GH13_30	1	-	-
megahit-co__c000127_1	-	-	-	CBM0	1	-	-
megahit-co__c000132_1	-	-	-	GT2	1	-	-
megahit-co__c000151_1	-	-	CBM32_e372(63-163)	AAO77299.1+GH29	2	CBM32_e372	host glycan
megahit-co__c000151_2	-	-	CBM13_e174(34-173)	-	1	-	xylan
megahit-co__c000194_1	-	-	-	GT1	1	-	-
megahit-co__c000209_1	-	-	-	CBM13	1	-	-
megahit-co__c000240_15	-	GH31_4(203-664)	GH31_e0(203-663)	GH31_4	3	GH31_4	-
megahit-co__c000240_32	-	-	-	GH36	1	-	-
megahit-co__c000248_1	-	-	-	CBM3	1	-	-
megahit-co__c000252_1	-	-	-	GH89	1	-	-
megahit-co__c000255_5	-	-	-	GT119	1	-	-
megahit-co__c000262_16	-	-	-	GH1	1	-	-
megahit-co__c000276_3	-|-	GT2(4-175)	GT2(4-175)+GT2(123-233)	GT2	3	GT2|GT2	-
megahit-co__c000281_2	-	-	-	GH2_1	1	-	-
megahit-co__c000284_13	-	-	-	GH24	1	-	-
megahit-co__c000286_6	-	GT4(198-348)	GT4_e2825(200-349)	GT4	3	GT4_e2825	-
megahit-co__c000286_7	-	CE4(84-224)	CE4_e662(87-214)	-	2	CE4_e662	-
megahit-co__c000299_3	-	-	-	GH130_3	1	-	-
megahit-co__c000306_11	-	GH63(422-869)	-	GH0	2	GH63	-
megahit-co__c000316_3	-	GH2_6(60-611)	GH2_e49(62-611)	GH2_6	3	GH2_6	-
megahit-co__c000316_4	-	-	-	GH3	1	-	-
megahit-co__c000319_1	-	-	-	GT0	1	-	-
megahit-co__c000347_1	-|-	-	CBM50_e1795(47-91)+CBM50_e1795(100-132)	CBM50	2	CBM50_e1795|CBM50_e1795	chitin
megahit-co__c000349_2	-	GT4(198-344)	GT4_e2566(199-342)	AAM71790.1+GT4	3	GT4_e2566	-
megahit-co__c000350_1	-	-	-	GH3	1	-	-
megahit-co__c000355_27	-	-	-	GT1	1	-	-
megahit-co__c000367_10	-	-	-	CBM47	1	-	-
megahit-co__c000368_10	-	-	-	GH92	1	-	-
megahit-co__c000387_4	-	GH33(38-367)	GH33_e86(45-365)	GH33	3	GH33_e86	host glycan
megahit-co__c000389_1	-	-	-	GT1	1	-	-
megahit-co__c000394_3	-	-	-	CBM13	1	-	-
megahit-co__c000402_14	-	-	-	CBM47	1	-	-
megahit-co__c000402_25	-	-	-	GH39	1	-	-
megahit-co__c000406_1	-	GH43_19(1-92)+GH43_34(122-420)	GH43_e617(122-419)	GH43_19+GH43_34	3	GH43_19|GH43_34	-
megahit-co__c000421_1	-	-	-	GH108	1	-	-
megahit-co__c000443_11	-	GT2(8-170)	GT2(7-168)	GT2	3	GT2	-
megahit-co__c000455_3	-	CE1(92-344)	-	-	1	-	-
megahit-co__c000459_4	-	-	-	GT119	1	-	-
megahit-co__c000482_28	-	-	-	CBM50+GH25	1	-	-
megahit-co__c000482_3	-	-	-	GT4	1	-	-
megahit-co__c000482_4	-	-	-	GT0	1	-	-
megahit-co__c000482_56	-	-	-	GT4	1	-	-
megahit-co__c000482_75	-	-	-	GT2	1	-	-
megahit-co__c000489_102	-	-	-	GH5_11	1	-	-
megahit-co__c000489_11	-	GH15(245-606)	GH15_e61(245-606)	GH15	3	GH15_e61	-
megahit-co__c000489_13	3.2.1.25:9	GH2_13(5-669)	GH2_e111(5-668)	GH2_13	3	GH2_13	beta-mannan
megahit-co__c000489_146	-	-	-	GH13_31	1	-	-
megahit-co__c000489_154	-	GH23(44-176)	GH23_e73(47-176)	GH23	3	GH23_e73	-
megahit-co__c000489_3	3.2.1.78:4	GH5_36(9-295)	GH5_e83(9-295)	GH5_36	3	GH5_36	beta-mannan
megahit-co__c000489_76	-	-	-	GH13_48	1	-	-
megahit-co__c000489_79	-	-	-	GH13_11	1	-	-
megahit-co__c000489_85	-	-	-	GT0	1	-	-
megahit-co__c000493_1	-	-	-	CBM5	1	-	-
megahit-co__c000493_16	3.2.1.49:6;3.2.1.52:2	GH109(51-450)	GH109_e0(51-450)	GH109	3	GH109_e0	host glycan
megahit-co__c000509_2	-	-	-	GT4	1	-	-
megahit-co__c000517_1	3.2.1.1:3;3.2.1.41:25;3.2.1.68:3	GH13_13(2-214)	GH13_e248(2-216)	CBM48+GH13_13+GH13_32	3	GH13_13	alpha-glucan
megahit-co__c000527_1	-	GT4(97-247)	GT4_e4267(100-246)	GT4	3	GT4_e4267	-
megahit-co__c000534_51	-	GT66(13-622)	GT66_e14(18-619)	GT66	3	GT66_e14	-
megahit-co__c000540_12	-	-	GT2(4-129)	GT2	2	GT2	-
megahit-co__c000545_1	-	GT2(10-109)	GT2(10-110)	-	2	GT2	-
megahit-co__c000545_2	-|-	GT2(3-173)	GT2(3-173)+GT2(123-223)	GT2	3	GT2	-
megahit-co__c000570_1	-	-	-	GH36	1	-	-
megahit-co__c000575_1	-	-	-	GH13_3	1	-	-
megahit-co__c000597_20	-	GT2(5-135)	GT2(5-113)	AAR39026.1+GT2	3	GT2	-
megahit-co__c000611_107	-	GT2(7-137)	GT2(7-136)	GT2	3	GT2	-
megahit-co__c000611_125	-	-	-	GT2	1	-	-
megahit-co__c000611_155	-	GT51(54-219)	GT51_e103(54-219)	GT51	3	GT51_e103	-
megahit-co__c000611_164	-	-	-	GH13_31	1	-	-
megahit-co__c000611_221	-	GT26(87-248)	GT26_e173(87-248)	AAD35900.1+GT26	3	GT26_e173	-
megahit-co__c000611_224	-	CBM66(106-227)	-	CBM66	2	CBM66	-
megahit-co__c000611_231	3.2.1.52:5	GH3(60-275)	GH3_e5(59-275)	GH3	3	GH3_e5	chitin
megahit-co__c000611_259	-	GH130_12(45-329)	GH130_e71(45-328)	GH130_12	3	GH130_12	beta-mannan
megahit-co__c000611_33	-	GH23(84-193)	GH23_e695(82-193)	GH23	3	GH23_e695	-
megahit-co__c000611_65	-	-	-	GH101	1	-	-
megahit-co__c000611_70	-	-	-	GH13_11	1	-	-
megahit-co__c000611_90	-	-	-	GH28	1	-	-
megahit-co__c000628_1	-	-	-	GH36	1	-	-
megahit-co__c000633_1	-	-	-	CBM51	1	-	-
megahit-co__c000636_2	-	-	-	GT1	1	-	-
megahit-co__c000650_12	-	-	GT4_e1795(287-399)	GT4	2	GT4_e1795	-
megahit-co__c000650_13	-	GT2(53-153)	GT2(53-180)	GT2	3	GT2	-
megahit-co__c000650_26	2.4.1.157:4	GT4(191-342)	GT4_e4921(195-337)	GT4	3	GT4_e4921	-
megahit-co__c000650_55	-	-	-	GH101	1	-	-
megahit-co__c000650_7	-	-	GT4_e611(221-363)	GT4	2	GT4_e611	-
megahit-co__c000650_87	-	GH23(82-193)	GH23_e695(82-193)	GH23	3	GH23_e695	-
megahit-co__c000654_2	-	-	-	GT1	1	-	-
megahit-co__c000664_17	-	GT2(7-173)	GT2(8-173)	GT2	3	GT2	-
megahit-co__c000664_56	3.2.1.23:9	GH42(14-387)	GH42_e17(14-387)	GH42	3	GH42_e17	arabinogalactan
megahit-co__c000672_6	-	-	-	GT50	1	-	-
megahit-co__c000689_38	-	-	-	GT2	1	-	-
megahit-co__c000697_5	-	GT2(15-167)	GT2(15-167)	GT2	3	GT2	-
megahit-co__c000697_7	-	GT4(229-351)	GT4_e4676(211-351)	GT4	3	GT4_e4676	-
megahit-co__c000697_8	-	GT4(199-348)	GT4_e2275(206-348)	GT4	3	GT4_e2275	-
megahit-co__c000706_3	-	-	-	CBM20	1	-	-
megahit-co__c000726_1	-	-	GH39_e75(2-270)	GH39	2	GH39_e75	-
megahit-co__c000742_1	2.4.1.-:6	-	GT41_e0(5-347)	GT41	2	GT41_e0	-
