Step	Attempt	UserSeconds	SystemSeconds	WallSeconds	PeakRSSKiB	ExitStatus
assemble-flye-hifi	1	33905.18	727.13	11444.0	17139668	0
assemble-flye-ont-r9	1	8542.55	395.76	6183.0	24356972	1
assemble-flye-ont-r9	2	41944.59	663.12	2293.43	15343856	0
assemble-hifiasm-meta-hifi	1	33013.94	2647.04	2311.21	142312792	0
assemble-metamdbg-hifi	1	24586.87	336.61	1239.33	4721416	0
junction-flye-hifi	1	411.52	10.35	74.87	4494500	0
junction-flye-ont-r9	1	263.53	5.65	54.64	3327268	0
junction-hifiasm-meta-hifi	1	294.61	5.97	73.74	3013864	0
junction-metamdbg-hifi	1	324.15	9.33	74.25	3700468	0
map-flye-hifi	1	1068.89	8.56	81.92	3066832	0
map-flye-hifi	2	2345.93	16.8	92.61	5097996	0
map-flye-ont-r9	1	590.52	9.58	64.4	3225816	0
map-flye-ont-r9	2	1693.09	24.25	80.83	8066452	0
map-hifiasm-meta-hifi	1	812.21	8.97	82.28999999999999	3051620	0
map-hifiasm-meta-hifi	2	2374.31	47.67	96.52000000000001	12467000	0
map-metamdbg-hifi	1	1033.19	9.96	82.51	3075956	0
map-metamdbg-hifi	2	2379.78	19.8	96.39	6604100	0
