ReferenceAccession	Domain	LinkedSGBs	GTDBReferenceID	ImmutableAccessionVersion	DownloadedArtifactCount	DownloadedArtifacts	ArtifactSHA256
GCA_000008085.1	Archaea	SGB_018	GCA_000008085.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCA_000008085.1_protein.faa	12dc24532af1d737ad9c26a754716e5dc1c8be18d98f93c2d62d1d020a27fa8e
GCA_000018565.1	Bacteria	SGB_007	GCA_000018565.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCA_000018565.1_protein.faa	80d0f86a1fe216f0d68affd1069c717401735e6a0025543ebb2610d2cc1323d7
GCF_000010305.1	Bacteria	SGB_022	GCF_000010305.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000010305.1_protein.faa	49d1922e1cfea404f91f12b03f393d118f973e38cfb6f6a54da7476321757a4d
GCF_000010505.1	Bacteria	SGB_003	GCF_000010505.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000010505.1_protein.faa	062099b81845038c0467c5c25a645e5abd8e20c0902d1eba4928ab4587407ea1
GCF_000011105.1	Archaea	SGB_019	GCF_000011105.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_000011105.1_protein.faa	91294e4e281aadc94ba5b484ffe173801409b11b23f966fc1551de9463304619
GCF_000016125.1	Archaea	SGB_013	GCF_000016125.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_000016125.1_protein.faa	ccc6bfd02e9c2d01944052dd2c0cbadfc61d2c1e2d42b67d603d4f31646939a3
GCF_000016545.1	Bacteria	SGB_016	GCF_000016545.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000016545.1_protein.faa	857a1cb6101cd6a642cce6c211e53f8ac28bf18b14a1ec7a7fc38e67b9e19ac9
GCF_000016785.1	Bacteria	SGB_023	GCF_000016785.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000016785.1_protein.faa	3b89ea12ef146bcd235f29365d9634df85d08f27848fdcf013649194eff20022
GCF_000017945.1	Archaea	SGB_009	GCF_000017945.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_000017945.1_protein.faa	656229c3b3c61bbfea84a3f0d6523b2a1cdf60f2b1ac831355999b3c928b6480
GCF_000018945.1	Bacteria	SGB_024	GCF_000018945.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000018945.1_protein.faa	ffaf22fadd4d8c07ef63ae8c6abaf5a9fa52a016c31c8ac40d48f013ab44c275
GCF_000019085.1	Bacteria	SGB_017	GCF_000019085.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000019085.1_protein.faa	c1d50d107eb3fc3f78ba5de01cabca875c71acda019b6b084734da81629c6aea
GCF_000020465.1	Bacteria	SGB_005	GCF_000020465.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000020465.1_protein.faa	17bd9bd8ac94a1a31bb94fc6d70fe36a01e25f7748d2c4af8b06be4b2afebfce
GCF_000020785.1	Bacteria	SGB_015	GCF_000020785.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000020785.1_protein.faa	a12126fadb3a8df6212191890d14b9de90030092e0f51fba840e13c263d69607
GCF_000021565.1	Bacteria	SGB_014	GCF_000021565.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000021565.1_protein.faa	b6513497c66c73e0bf867bda78a9482ddeaa27e4cb12ac2bb3acb154a2657ebc
GCF_000091665.1	Archaea	SGB_010	GCF_000091665.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_000091665.1_protein.faa	1bcd5b979bfe13594d1e84e44d59434adad267754635a2d2da723ae36026be88
GCF_000196115.1	Bacteria	SGB_021	GCF_000196115.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_000196115.1_protein.faa	223adfd0a610ea8a629256dc7994b98b70e7669892309d3a1140ad62fe712f9a
GCF_001481685.1	Archaea	SGB_008	GCF_001481685.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_001481685.1_protein.faa	e1d682e2fd40d33b1109bd42ecefffdef76c4275a387cee8e432c2d4c6f9aa7f
GCF_001639275.1	Archaea	SGB_011	GCF_001639275.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_001639275.1_protein.faa	487e6f8de0165efd7c8187252f85b3900d387318b5f892f70025432b5d03d618
GCF_002952055.1	Bacteria	SGB_001	GCF_002952055.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_002952055.1_protein.faa	3a960023496d4500ae66b80b726c90ba6a881a5a3c6512658f21f6fad717a0f4
GCF_003968655.1	Bacteria	SGB_004	GCF_003968655.1	True	1	gtotree/bacteria/gtotree.tmp.kt3s0/ncbi-downloads/GCF_003968655.1_protein.faa	3f08856dab39a183015c61c6acb87fac537091875b0b910bd5962919cc7862ae
GCF_008124605.1	Archaea	SGB_020	GCF_008124605.1	True	1	gtotree/archaea/gtotree.tmp.YqfZM/ncbi-downloads/GCF_008124605.1_protein.faa	fdc40312adfed2f07f71440fc0d308f75605e2013cb769f6eef1b4d9161f0406
