Domain	Tip	StableID	Type	InAlignment
Bacteria	REF_GCA_000018565.1_REFERENCE	REF_GCA_000018565.1	Reference genome	True
Bacteria	REF_GCF_000010305.1_REFERENCE	REF_GCF_000010305.1	Reference genome	True
Bacteria	REF_GCF_000010505.1_REFERENCE	REF_GCF_000010505.1	Reference genome	True
Bacteria	REF_GCF_000016545.1_REFERENCE	REF_GCF_000016545.1	Reference genome	True
Bacteria	REF_GCF_000016785.1_REFERENCE	REF_GCF_000016785.1	Reference genome	True
Bacteria	REF_GCF_000018945.1_REFERENCE	REF_GCF_000018945.1	Reference genome	True
Bacteria	REF_GCF_000019085.1_REFERENCE	REF_GCF_000019085.1	Reference genome	True
Bacteria	REF_GCF_000020465.1_REFERENCE	REF_GCF_000020465.1	Reference genome	True
Bacteria	REF_GCF_000020785.1_REFERENCE	REF_GCF_000020785.1	Reference genome	True
Bacteria	REF_GCF_000021565.1_REFERENCE	REF_GCF_000021565.1	Reference genome	True
Bacteria	REF_GCF_000196115.1_REFERENCE	REF_GCF_000196115.1	Reference genome	True
Bacteria	REF_GCF_002952055.1_REFERENCE	REF_GCF_002952055.1	Reference genome	True
Bacteria	REF_GCF_003968655.1_REFERENCE	REF_GCF_003968655.1	Reference genome	True
Bacteria	REF_GCF_031191795.1_REFERENCE	REF_GCF_031191795.1	Reference genome	True
Bacteria	REF_GCF_900167395.1_REFERENCE	REF_GCF_900167395.1	Reference genome	True
Bacteria	REF_GCF_900456975.1_REFERENCE	REF_GCF_900456975.1	Reference genome	True
Bacteria	SGB_001_QUERY_MAG	SGB_001	Query MAG	True
Bacteria	SGB_002_QUERY_MAG	SGB_002	Query MAG	True
Bacteria	SGB_003_QUERY_MAG	SGB_003	Query MAG	True
Bacteria	SGB_004_QUERY_MAG	SGB_004	Query MAG	True
Bacteria	SGB_005_QUERY_MAG	SGB_005	Query MAG	True
Bacteria	SGB_006_QUERY_MAG	SGB_006	Query MAG	True
Bacteria	SGB_007_QUERY_MAG	SGB_007	Query MAG	True
Bacteria	SGB_012_QUERY_MAG	SGB_012	Query MAG	True
Bacteria	SGB_014_QUERY_MAG	SGB_014	Query MAG	True
Bacteria	SGB_016_QUERY_MAG	SGB_016	Query MAG	True
Bacteria	SGB_017_QUERY_MAG	SGB_017	Query MAG	True
Bacteria	SGB_021_QUERY_MAG	SGB_021	Query MAG	True
Bacteria	SGB_022_QUERY_MAG	SGB_022	Query MAG	True
Bacteria	SGB_023_QUERY_MAG	SGB_023	Query MAG	True
Bacteria	SGB_024_QUERY_MAG	SGB_024	Query MAG	True
Archaea	REF_GCA_000008085.1_REFERENCE	REF_GCA_000008085.1	Reference genome	True
Archaea	REF_GCF_000011105.1_REFERENCE	REF_GCF_000011105.1	Reference genome	True
Archaea	REF_GCF_000016125.1_REFERENCE	REF_GCF_000016125.1	Reference genome	True
Archaea	REF_GCF_000017945.1_REFERENCE	REF_GCF_000017945.1	Reference genome	True
Archaea	REF_GCF_000091665.1_REFERENCE	REF_GCF_000091665.1	Reference genome	True
Archaea	REF_GCF_001481685.1_REFERENCE	REF_GCF_001481685.1	Reference genome	True
Archaea	REF_GCF_001639275.1_REFERENCE	REF_GCF_001639275.1	Reference genome	True
Archaea	REF_GCF_008124605.1_REFERENCE	REF_GCF_008124605.1	Reference genome	True
Archaea	SGB_008_QUERY_MAG	SGB_008	Query MAG	True
Archaea	SGB_009_QUERY_MAG	SGB_009	Query MAG	True
Archaea	SGB_010_QUERY_MAG	SGB_010	Query MAG	True
Archaea	SGB_011_QUERY_MAG	SGB_011	Query MAG	True
Archaea	SGB_013_QUERY_MAG	SGB_013	Query MAG	True
Archaea	SGB_018_QUERY_MAG	SGB_018	Query MAG	True
Archaea	SGB_019_QUERY_MAG	SGB_019	Query MAG	True
Archaea	SGB_020_QUERY_MAG	SGB_020	Query MAG	True
