qname	tname	num_alns	pid	qcov	tcov
2012990006_____JC3AJCVIAssemblies_1106445189670	2012990006_____JC3AJCVIAssemblies_1106445189670	3	98.55	99.04	99.04
2013338001_____MeugFOFF_C1474	2013338001_____MeugFOFF_C1474	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C1475	2013338001_____MeugFOFF_C1475	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C2873	2013338001_____MeugFOFF_C2873	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C2873	2013338001_____MeugFOFF_C2874	3	96.08	23.31	24.24
2013338001_____MeugFOFF_C2873	2013338001_____MeugFOFF_C5216	3	97.63	28.2	80.72
2013338001_____MeugFOFF_C2874	2013338001_____MeugFOFF_C2874	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C2874	2013338001_____MeugFOFF_C2873	3	96.08	24.24	23.31
2013338001_____MeugFOFF_C3211	2013338001_____MeugFOFF_C3211	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C3227	2013338001_____MeugFOFF_C3227	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C3886	2013338001_____MeugFOFF_C3886	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C4026	2013338001_____MeugFOFF_C4026	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C4295	2013338001_____MeugFOFF_C4295	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C4795	2013338001_____MeugFOFF_C4795	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C5216	2013338001_____MeugFOFF_C5216	1	100.0	100.0	100.0
2013338001_____MeugFOFF_C5216	2013338001_____MeugFOFF_C2873	3	97.63	80.72	28.2
2013338002_____MeugFWYF_C6159	2013338002_____MeugFWYF_C6159	1	100.0	98.81	98.81
2013338002_____MeugFWYF_C6321	2013338002_____MeugFWYF_C6321	1	100.0	98.42	98.42
2013843001_____PLMO_C1010	2013843001_____PLMO_C1010	1	100.0	100.0	100.0
2013843001_____PLMO_C1010	2013843001_____PLMO_C1011	3	85.97	36.14	13.79
2013843001_____PLMO_C1011	2013843001_____PLMO_C1011	1	100.0	100.0	100.0
2013843001_____PLMO_C1011	2013843001_____PLMO_C1010	3	85.97	13.79	36.14
2013843001_____PLMO_C1280	2013843001_____PLMO_C1280	1	100.0	100.0	100.0
2013843001_____PLMO_C1410	2013843001_____PLMO_C1410	1	100.0	100.0	100.0
2013843001_____PLMO_C1550	2013843001_____PLMO_C1550	1	100.0	100.0	100.0
2013843001_____PLMO_C2323	2013843001_____PLMO_C2323	1	100.0	100.0	100.0
2013843001_____PLMO_C2429	2013843001_____PLMO_C2429	1	100.0	100.0	100.0
2013843001_____PLMO_C243	2013843001_____PLMO_C243	1	100.0	100.0	100.0
2013843001_____PLMO_C2782	2013843001_____PLMO_C2782	1	100.0	100.0	100.0
2013843001_____PLMO_C312	2013843001_____PLMO_C312	1	100.0	100.0	100.0
2013843001_____PLMO_C42	2013843001_____PLMO_C42	1	100.0	100.0	100.0
2013843001_____PLMO_C42	2013843001_____PLMO_C457	3	87.1	72.85	48.69
2013843001_____PLMO_C457	2013843001_____PLMO_C457	1	100.0	100.0	100.0
2013843001_____PLMO_C457	2013843001_____PLMO_C42	3	87.11	48.69	72.85
2013843002_____DCKB1_C1454	2013843002_____DCKB1_C1454	1	100.0	98.92	98.92
2013843002_____DCKB1_C2382	2013843002_____DCKB1_C2382	2	99.13	98.58	98.58
2013843002_____DCKB1_C2382	2013843002_____DCKB1_C717	3	80.41	17.22	43.7
2013843002_____DCKB1_C2382	2013843002_____DCKB1_C3067	1	83.2	1.78	20.97
2013843002_____DCKB1_C2547	2013843002_____DCKB1_C2547	1	100.0	99.68	99.68
2013843002_____DCKB1_C3067	2013843002_____DCKB1_C3067	1	100.0	96.66	96.66
2013843002_____DCKB1_C3067	2013843002_____DCKB1_C2382	1	83.2	20.97	1.78
2013843002_____DCKB1_C3122	2013843002_____DCKB1_C3122	1	100.0	99.31	99.31
2013843002_____DCKB1_C717	2013843002_____DCKB1_C717	1	100.0	98.23	98.23
2013843002_____DCKB1_C717	2013843002_____DCKB1_C2382	3	80.41	43.7	17.22
2013843003_____YNP4_C4539	2013843003_____YNP4_C4539	1	100.0	100.0	100.0
2013843003_____YNP4_C4539	2013843003_____YNP4_C4540	1	97.74	24.65	34.99
2013843003_____YNP4_C4540	2013843003_____YNP4_C4540	1	100.0	100.0	100.0
2013843003_____YNP4_C4540	2013843003_____YNP4_C4539	1	97.74	34.99	24.65
2013954001_____YNP14_C4148	2013954001_____YNP14_C4148	1	100.0	100.0	100.0
2013954001_____YNP14_C558	2013954001_____YNP14_C558	1	100.0	100.0	100.0
2014031003_____YNP3_C2415	2014031003_____YNP3_C2415	1	100.0	100.0	100.0
2014031003_____YNP3_C2743	2014031003_____YNP3_C2743	1	100.0	100.0	100.0
2014031003_____YNP3_C3059	2014031003_____YNP3_C3059	1	100.0	100.0	100.0
2014031003_____YNP3_C3059	2014031003_____YNP3_C3265	2	89.44	31.45	37.93
2014031003_____YNP3_C3265	2014031003_____YNP3_C3265	1	100.0	100.0	100.0
2014031003_____YNP3_C3265	2014031003_____YNP3_C3059	2	89.44	37.93	31.45
UHGV-0018530	UHGV-0018530	1	100.0	100.0	100.0
UHGV-0018530	UHGV-0018535	1	97.73	0.03	0.06
UHGV-0000346	UHGV-0000346	1	100.0	100.0	100.0
UHGV-0215553	UHGV-0215553	1	100.0	100.0	100.0
UHGV-0018535	UHGV-0018535	1	100.0	100.0	100.0
UHGV-0018535	UHGV-0018530	1	97.73	0.06	0.03
UHGV-0001702	UHGV-0001702	1	100.0	100.0	100.0
UHGV-0001702	UHGV-0001715	7	95.16	75.74	84.74
UHGV-0001715	UHGV-0001715	1	100.0	100.0	100.0
UHGV-0001715	UHGV-0001702	7	95.15	84.76	75.76
