seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
2013338002_____MeugFWYF_C6321	14082	DTR	NA	20	11	0.9829	NA	7	25.6542	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C4795	5143	No terminal repeats	NA	7	11	0.9826	NA	0	12.0074	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C2874	13607	No terminal repeats	NA	19	11	0.9811	NA	7	25.4028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
UHGV-0000346	7028	No terminal repeats	NA	10	11	0.9801	NA	3	9.6499	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
2013843001_____PLMO_C2323	10742	No terminal repeats	NA	15	11	0.9796	NA	0	11.4118	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
UHGV-0018530	135193	No terminal repeats	NA	154	4	0.9788	NA	6	137.8910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C4026	11395	No terminal repeats	NA	11	11	0.9787	NA	1	4.7158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
UHGV-0001702	33095	No terminal repeats	NA	33	15	0.9778	NA	11	28.8734	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C4295	8894	No terminal repeats	NA	9	11	0.9775	NA	2	10.8202	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338002_____MeugFWYF_C6159	5135	No terminal repeats	NA	8	11	0.9766	NA	3	9.9768	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843001_____PLMO_C243	10298	No terminal repeats	NA	12	11	0.9764	NA	6	16.8153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C3227	5495	No terminal repeats	NA	10	11	0.9762	NA	5	8.1606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843002_____DCKB1_C1454	36570	DTR	NA	40	11	0.9760	NA	14	45.7152	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843001_____PLMO_C2429	49521	No terminal repeats	NA	68	11	0.9759	NA	13	56.2112	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843002_____DCKB1_C3122	7917	No terminal repeats	NA	13	11	0.9757	NA	1	5.8810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
