UHGV-0018530	UHGV-0018530
2013843002_____DCKB1_C2382	2013843002_____DCKB1_C2382
UHGV-0018535	UHGV-0018535
2013843001_____PLMO_C2429	2013843001_____PLMO_C2429
2013843002_____DCKB1_C1454	2013843002_____DCKB1_C1454
UHGV-0001702	UHGV-0001702
UHGV-0001715	UHGV-0001715
2013843002_____DCKB1_C2547	2013843002_____DCKB1_C2547
2013843001_____PLMO_C2782	2013843001_____PLMO_C2782
2013843002_____DCKB1_C717	2013843002_____DCKB1_C717
2012990006_____JC3AJCVIAssemblies_1106445189670	2012990006_____JC3AJCVIAssemblies_1106445189670
2013843001_____PLMO_C1280	2013843001_____PLMO_C1280
2013843001_____PLMO_C1011	2013843001_____PLMO_C1011
2013843001_____PLMO_C312	2013843001_____PLMO_C312
2013338001_____MeugFOFF_C1475	2013338001_____MeugFOFF_C1475
2013338001_____MeugFOFF_C2873	2013338001_____MeugFOFF_C2873
UHGV-0215553	UHGV-0215553
2013338002_____MeugFWYF_C6321	2013338002_____MeugFWYF_C6321
2013338001_____MeugFOFF_C2874	2013338001_____MeugFOFF_C2874
2013338001_____MeugFOFF_C1474	2013338001_____MeugFOFF_C1474
2013843001_____PLMO_C1550	2013843001_____PLMO_C1550
2013338001_____MeugFOFF_C4026	2013338001_____MeugFOFF_C4026
2013843001_____PLMO_C2323	2013843001_____PLMO_C2323
2014031003_____YNP3_C2415	2014031003_____YNP3_C2415
2013843001_____PLMO_C243	2013843001_____PLMO_C243
2013338001_____MeugFOFF_C3211	2013338001_____MeugFOFF_C3211
2013843001_____PLMO_C457	2013843001_____PLMO_C457
2013338001_____MeugFOFF_C4295	2013338001_____MeugFOFF_C4295
2013954001_____YNP14_C4148	2013954001_____YNP14_C4148
2013843003_____YNP4_C4539	2013843003_____YNP4_C4539
2013843002_____DCKB1_C3122	2013843002_____DCKB1_C3122
2013843001_____PLMO_C1010	2013843001_____PLMO_C1010
2013954001_____YNP14_C558	2013954001_____YNP14_C558
UHGV-0000346	UHGV-0000346
2013843002_____DCKB1_C3067	2013843002_____DCKB1_C3067
2014031003_____YNP3_C2743	2014031003_____YNP3_C2743
2013843001_____PLMO_C1410	2013843001_____PLMO_C1410
2014031003_____YNP3_C3059	2014031003_____YNP3_C3059
2013843001_____PLMO_C42	2013843001_____PLMO_C42
2013843003_____YNP4_C4540	2013843003_____YNP4_C4540
2013338001_____MeugFOFF_C3227	2013338001_____MeugFOFF_C3227
2013338001_____MeugFOFF_C5216	2013338001_____MeugFOFF_C5216
2014031003_____YNP3_C3265	2014031003_____YNP3_C3265
2013338001_____MeugFOFF_C4795	2013338001_____MeugFOFF_C4795
2013338002_____MeugFWYF_C6159	2013338002_____MeugFWYF_C6159
2013338001_____MeugFOFF_C3886	2013338001_____MeugFOFF_C3886
