seq_name	chromosome_score	plasmid_score	virus_score
2012990006_____JC3AJCVIAssemblies_1106445189670	0.0141	0.0259	0.9600
2013338001_____MeugFOFF_C1474	0.0099	0.0177	0.9724
2013338001_____MeugFOFF_C1475	0.0139	0.0254	0.9607
2013338001_____MeugFOFF_C2873	0.0078	0.0263	0.9659
2013338001_____MeugFOFF_C2874	0.0066	0.0123	0.9811
2013338001_____MeugFOFF_C3211	0.0242	0.0682	0.9076
2013338001_____MeugFOFF_C3227	0.0074	0.0164	0.9762
2013338001_____MeugFOFF_C3886	0.0104	0.0151	0.9745
2013338001_____MeugFOFF_C4026	0.0082	0.0130	0.9787
2013338001_____MeugFOFF_C4295	0.0071	0.0154	0.9775
2013338001_____MeugFOFF_C4795	0.0068	0.0106	0.9826
2013338001_____MeugFOFF_C5216	0.0097	0.0266	0.9638
2013338002_____MeugFWYF_C6159	0.0088	0.0147	0.9766
2013338002_____MeugFWYF_C6321	0.0064	0.0107	0.9829
2013843001_____PLMO_C1010	0.0130	0.0610	0.9260
2013843001_____PLMO_C1011	0.0084	0.0322	0.9594
2013843001_____PLMO_C1280	0.0164	0.1721	0.8115
2013843001_____PLMO_C1410	0.0151	0.0407	0.9442
2013843001_____PLMO_C1550	0.0091	0.0375	0.9534
2013843001_____PLMO_C2323	0.0073	0.0130	0.9796
2013843001_____PLMO_C2429	0.0074	0.0167	0.9759
2013843001_____PLMO_C243	0.0080	0.0156	0.9764
2013843001_____PLMO_C2782	0.0108	0.0776	0.9116
2013843001_____PLMO_C312	0.0092	0.0338	0.9570
2013843001_____PLMO_C42	0.0076	0.0204	0.9721
2013843001_____PLMO_C457	0.0085	0.0271	0.9644
2013843002_____DCKB1_C1454	0.0078	0.0162	0.9760
2013843002_____DCKB1_C2382	0.1329	0.1755	0.6916
2013843002_____DCKB1_C2547	0.0082	0.0162	0.9756
2013843002_____DCKB1_C3067	0.2429	0.1250	0.6321
2013843002_____DCKB1_C3122	0.0081	0.0162	0.9757
2013843002_____DCKB1_C717	0.0938	0.0793	0.8269
2013843003_____YNP4_C4539	0.0171	0.0478	0.9351
2013843003_____YNP4_C4540	0.0340	0.0489	0.9171
2013954001_____YNP14_C4148	0.0154	0.0194	0.9652
2013954001_____YNP14_C558	0.0123	0.0505	0.9371
2014031003_____YNP3_C2415	0.0100	0.0227	0.9673
2014031003_____YNP3_C2743	0.5583	0.2282	0.2135
2014031003_____YNP3_C3059	0.0602	0.4110	0.5287
2014031003_____YNP3_C3265	0.0336	0.4959	0.4705
UHGV-0018530	0.0078	0.0134	0.9788
UHGV-0000346	0.0068	0.0131	0.9801
UHGV-0215553	0.0126	0.0193	0.9682
UHGV-0018535	0.0147	0.0212	0.9642
UHGV-0001702	0.0071	0.0151	0.9778
UHGV-0001715	0.0075	0.0193	0.9733
