seqname	dsDNAphage	ssDNA
2012990006_____JC3AJCVIAssemblies_1106445189670	1.000	0.840
2013338001_____MeugFOFF_C1474	0.987	0.073
2013338001_____MeugFOFF_C1475	0.493	0.020
2013338001_____MeugFOFF_C2873	1.000	0.273
2013338001_____MeugFOFF_C2874	0.993	0.227
2013338001_____MeugFOFF_C3211	1.000	0.200
2013338001_____MeugFOFF_C3227	0.987	0.053
2013338001_____MeugFOFF_C3886	0.927	0.033
2013338001_____MeugFOFF_C4026	0.980	0.247
2013338001_____MeugFOFF_C4295	0.973	0.120
2013338001_____MeugFOFF_C4795	1.000	0.827
2013338001_____MeugFOFF_C5216	0.993	0.540
2013843001_____PLMO_C1010	0.980	0.040
2013843001_____PLMO_C1011	0.993	0.053
2013843001_____PLMO_C1280	0.967	0.013
2013843001_____PLMO_C1410	0.960	0.080
2013843001_____PLMO_C1550	0.913	0.113
2013843001_____PLMO_C2323	0.893	0.200
2013843001_____PLMO_C2429	1.000	0.073
2013843001_____PLMO_C243	0.967	0.087
2013843001_____PLMO_C2782	1.000	0.027
2013843001_____PLMO_C312	1.000	0.020
2013843001_____PLMO_C42	0.987	0.500
2013843001_____PLMO_C457	0.987	0.027
2013843002_____DCKB1_C3122	1.000	0.527
2013843003_____YNP4_C4539	0.993	0.880
2013843003_____YNP4_C4540	0.927	0.907
2013954001_____YNP14_C4148	0.987	0.587
2013954001_____YNP14_C558	0.947	0.580
2014031003_____YNP3_C2415	0.940	0.560
2014031003_____YNP3_C2743	0.333	0.033
2014031003_____YNP3_C3059	0.593	0.587
2014031003_____YNP3_C3265	0.187	0.000
UHGV-0018530	0.993	0.020
UHGV-0000346	0.987	0.627
UHGV-0215553	0.973	0.053
UHGV-0018535	1.000	0.007
UHGV-0001702	1.000	0.067
UHGV-0001715	0.980	0.060
2013338002_____MeugFWYF_C6159	0.993	0.500
2013338002_____MeugFWYF_C6321	0.993	0.380
2013843002_____DCKB1_C1454	0.993	0.033
2013843002_____DCKB1_C2382	0.640	0.020
2013843002_____DCKB1_C2547	1.000	0.007
2013843002_____DCKB1_C3067	0.873	0.040
2013843002_____DCKB1_C717	0.820	0.020
