SGB	Domain	SpeciesAssigned	FastANIReference	FastANIReferenceRadiusPct	FastANIANI	FastANIAFPct	ANIMarginToReferenceRadiusPctPoints
SGB_001	d__Bacteria	True	GCF_002952055.1	95.0	99.99	100.0	4.989999999999995
SGB_002	d__Bacteria	True	GCF_900167395.1	95.0	99.9	99.8	4.900000000000006
SGB_003	d__Bacteria	True	GCF_000010505.1	95.0	99.97	99.4	4.969999999999999
SGB_004	d__Bacteria	True	GCF_003968655.1	95.0	98.76	89.8	3.760000000000005
SGB_005	d__Bacteria	True	GCF_000020465.1	95.0	99.96	99.6	4.959999999999994
SGB_006	d__Bacteria	True	GCF_900456975.1	95.0	97.21	82.39999999999999	2.2099999999999937
SGB_007	d__Bacteria	True	GCA_000018565.1	95.0	99.97	99.7	4.969999999999999
SGB_008	d__Archaea	True	GCF_001481685.1	95.0	99.89	97.39999999999999	4.890000000000001
SGB_009	d__Archaea	True	GCF_000017945.1	95.0	99.89	99.1	4.890000000000001
SGB_010	d__Archaea	True	GCF_000091665.1	95.0	99.99	99.8	4.989999999999995
SGB_011	d__Archaea	True	GCF_001639275.1	95.0	99.93	99.4	4.930000000000007
SGB_012	d__Bacteria	True	GCF_031191795.1	95.0	99.96	96.89999999999999	4.959999999999994
SGB_013	d__Archaea	True	GCF_000016125.1	95.0	99.69	96.39999999999999	4.689999999999998
SGB_014	d__Bacteria	True	GCF_000021565.1	95.0	100.0	100.0	5.0
SGB_015	d__Bacteria	True	GCF_000020785.1	95.0	99.91	98.3	4.909999999999997
SGB_016	d__Bacteria	True	GCF_000016545.1	95.0	99.97	96.8	4.969999999999999
SGB_017	d__Bacteria	True	GCF_000019085.1	95.0	100.0	99.8	5.0
SGB_018	d__Archaea	True	GCA_000008085.1	95.0	99.9	99.5	4.900000000000006
SGB_019	d__Archaea	True	GCF_000011105.1	95.0	100.0	99.8	5.0
SGB_020	d__Archaea	True	GCF_008124605.1	95.0	99.52	95.1	4.519999999999996
SGB_021	d__Bacteria	True	GCF_000196115.1	95.0	99.95	99.8	4.950000000000003
SGB_022	d__Bacteria	True	GCF_000010305.1	95.0	100.0	100.0	5.0
SGB_023	d__Bacteria	True	GCF_000016785.1	95.31	99.99	99.7	4.679999999999993
SGB_024	d__Bacteria	True	GCF_000018945.1	95.0	100.0	100.0	5.0
