SGB	Representative	RepresentativeSHA256	GTDBRelease	GTDBTaxonomy	Domain	Phylum	Class	Order	Family	Genus	Species	SpeciesAssigned	GTDBSpeciesUnresolvedCandidate	ClassificationMethod	FastANIReference	FastANIReferenceRadiusPct	FastANIReferenceTaxonomy	FastANIANI	FastANIAFPct	ClosestPlacementReference	ClosestPlacementRadiusPct	ClosestPlacementTaxonomy	ClosestPlacementANI	ClosestPlacementAFPct	PplacerTaxonomy	MSAPercent	TranslationTable	REDValue	Note	Warnings	Completeness	Contamination	MIMAGQuality
SGB_001	vamb__025.fna	849765cc3b4b150397a555232e8402b8fcbe57eb987e4189d5953443ed10ea71	R232	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Desulfobulbus	s__Desulfobulbus oralis	True	False	ani_screen	GCF_002952055.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	99.99	100.0										classification based on ANI only		99.95	0.2	Not re-audited for complete markers
SGB_002	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	R232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas europaea	True	False	ani_screen	GCF_900167395.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	99.9	99.8										classification based on ANI only		100.0	0.04	High quality
SGB_003	binette__008.fna	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	R232	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas gingivalis	True	False	ani_screen	GCF_000010505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.97	99.4										classification based on ANI only		98.69	0.55	Medium quality
SGB_004	vamb__002.fna	dc2d5759242402e7bb00c52c04fa147df5107bd63764d03f96bde339396faa7a	R232	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	d__Bacteria	p__Bacteroidota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobium	s__Chlorobium phaeovibrioides	True	False	ani_screen	GCF_003968655.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	98.76	89.8										classification based on ANI only		100.0	0.05	Not re-audited for complete markers
SGB_005	binette__022.fna	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	R232	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	d__Bacteria	p__Bacteroidota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobium	s__Chlorobium limicola	True	False	ani_screen	GCF_000020465.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	99.96	99.6										classification based on ANI only		100.0	0.14	Medium quality
SGB_006	metabat2-multisample__018.fna	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	R232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella baltica	True	False	ani_screen	GCF_900456975.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	97.21	82.39999999999999										classification based on ANI only		99.55	6.95	Not re-audited for complete markers
SGB_007	binette__025.fna	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	R232	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Chloroflexales	f__Herpetosiphonaceae	g__Herpetosiphon	s__Herpetosiphon aurantiacus	True	False	ani_screen	GCA_000018565.1	95.0	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	99.97	99.7										classification based on ANI only		99.97	0.28	Medium quality
SGB_008	semibin2__018.fna	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	R232	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus islandicus	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Ignicoccaceae	g__Ignicoccus	s__Ignicoccus islandicus	True	False	ani_screen	GCF_001481685.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus islandicus	99.89	97.39999999999999										classification based on ANI only		59.51	0.0	Not re-audited for complete markers
SGB_009	binette__015.fna	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	R232	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus hospitalis	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Ignicoccaceae	g__Ignicoccus	s__Ignicoccus hospitalis	True	False	ani_screen	GCF_000017945.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus hospitalis	99.89	99.1										classification based on ANI only		78.95	0.29	Medium quality
SGB_010	semibin2__038.fna	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	R232	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii	d__Archaea	p__AGJL01	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii	True	False	ani_screen	GCF_000091665.1	95.0	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii	99.99	99.8										classification based on ANI only		99.92	0.12	Not re-audited for complete markers
SGB_011	taxvamb__008.fna	0c9920d688c8e18cd58113f4ed884bd72d1ed75f63b9b099fc45adee9f24da52	R232	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella oralis	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanocatella	s__Methanocatella oralis	True	False	ani_screen	GCF_001639275.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella oralis	99.93	99.4										classification based on ANI only		99.41	0.33	Not re-audited for complete markers
SGB_012	binette__009.fna	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	R232	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium nucleatum	True	False	ani_screen	GCF_031191795.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	99.96	96.89999999999999										classification based on ANI only		98.68	0.29	Medium quality
SGB_013	binette__018.fna	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	R232	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_D	d__Archaea	p__AGJL01	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis_D	True	False	ani_screen	GCF_000016125.1	95.0	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_D	99.69	96.39999999999999										classification based on ANI only		72.13	3.33	Medium quality
SGB_014	semibin2__043.fna	f9cb447c36eebe1ad17d2c773f6fc751e2e9892b50c0415deed4835901794c1b	R232	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Hydrogenothermaceae	g__Persephonella	s__Persephonella marina	True	False	ani_screen	GCF_000021565.1	95.0	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	100.0	100.0										classification based on ANI only		100.0	0.48	Not re-audited for complete markers
SGB_015	binette__017.fna	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	R232	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Aquificaceae	g__Hydrogenobaculum	s__Hydrogenobaculum sp003543175	True	False	ani_screen	GCF_000020785.1	95.0	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	99.91	98.3										classification based on ANI only		69.48	1.49	Medium quality
SGB_016	binette__001.fna	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	R232	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor saccharolyticus	d__Bacteria	p__Bacillota	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor saccharolyticus	True	False	ani_screen	GCF_000016545.1	95.0	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor saccharolyticus	99.97	96.8										classification based on ANI only		99.99	0.02	Medium quality
SGB_017	binette__002.fna	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	R232	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter;s__Thermoanaerobacter pseudethanolicus	d__Bacteria	p__Bacillota	c__Thermoanaerobacteria	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter pseudethanolicus	True	False	ani_screen	GCF_000019085.1	95.0	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter;s__Thermoanaerobacter pseudethanolicus	100.0	99.8										classification based on ANI only		99.98	0.31	Medium quality
SGB_018	binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	R232	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	d__Archaea	p__Nanobdellota	c__Nanobdellia	o__Nanobdellales	f__Nanoarchaeaceae	g__Nanoarchaeum	s__Nanoarchaeum equitans	True	False	ani_screen	GCA_000008085.1	95.0	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	99.9	99.5										classification based on ANI only		87.33	0.21	Medium quality
