Species	Group	Subjects	Present	Absent	Prevalence	MedianRelativeAbundancePercent	Q1RelativeAbundancePercent	Q3RelativeAbundancePercent	MeanRelativeAbundancePercent	PaperAnchor	PrimarySpeciesUniverse	PrimaryPrevalenceEstimable	MaAsLin3AbundanceQ	ANCOMBC2RobustHit	ALDEx2Q	CurrentAnalysisRole
Fusobacterium nucleatum	Control	61	0	61	0	0	0	0	0	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE		FALSE	0.00575262652437412	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Fusobacterium nucleatum	Adenoma	42	0	42	0	0	0	0	0	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE		FALSE	0.00575262652437412	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Fusobacterium nucleatum	CRC	53	18	35	0.339622641509434	0	0	0.00676	0.0227722641509434	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE		FALSE	0.00575262652437412	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Peptostreptococcus stomatis	Control	61	5	56	0.0819672131147541	0	0	0	0.000187540983606557	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE	0.139124082412166	TRUE	0.000214418613723127	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Peptostreptococcus stomatis	Adenoma	42	1	41	0.0238095238095238	0	0	0	0.0000683333333333333	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE	0.139124082412166	TRUE	0.000214418613723127	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Peptostreptococcus stomatis	CRC	53	25	28	0.471698113207547	0	0	0.0303	0.162326226415094	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE	0.139124082412166	TRUE	0.000214418613723127	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Porphyromonas asaccharolytica	Control	61	2	59	0.0327868852459016	0	0	0	0.000605901639344262	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	FALSE	FALSE				Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Porphyromonas asaccharolytica	Adenoma	42	0	42	0	0	0	0	0	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	FALSE	FALSE				Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Porphyromonas asaccharolytica	CRC	53	12	41	0.226415094339623	0	0	0	0.04122	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	FALSE	FALSE				Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Eubacterium rectale	Control	61	56	5	0.918032786885246	2.1186	0.13938	5.59767	3.42342918032787	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE	0.0614183160325324	FALSE	0.661329715902649	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Eubacterium rectale	Adenoma	42	41	1	0.976190476190476	2.312305	0.28911	8.136375	4.58628214285714	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE	0.0614183160325324	FALSE	0.661329715902649	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
Eubacterium rectale	CRC	53	47	6	0.886792452830189	0.21517	0.00635	2.04565	1.58286698113208	Zeller et al. 2014 Figure 1A/E species context; harmonized species resolution	TRUE	FALSE	0.0614183160325324	FALSE	0.661329715902649	Descriptive paper anchor; F. nucleatum subspecies are collapsed in the harmonized profile
