Topic	AuthorizedInterpretation	ProhibitedClaim
Inference unit	One independent subject	Repeated samples or technical replicates as independent subjects
Primary contrast	CRC versus Control among 110 complete cases	Adenoma silently treated as Control
MaAsLin3 abundance	A log2 relative-abundance coefficient tested against the disease-coefficient median	An unqualified absolute-abundance fold change
MaAsLin3 prevalence	A presence log-odds coefficient reported only when each group has at least 10 present and 10 absent subjects	A separated or sparse logistic coefficient presented as stable evidence
Joint association	Evidence that at least one estimable component departs from its declared null	Both abundance and prevalence must be significant
Species FDR	BH correction within the 212-species disease contrast and within each model component	One FDR family combining species, pathways, abundance and prevalence
Pathway denominator	Composition conditional on 493 annotated ordinary unstratified pathways	The fraction of all microbial metabolic potential
ANCOM-BC2 input	Pseudo-count sensitivity using round(relative fraction x whole-metagenome reads)	Observed taxon reads or absolute microbial load
ALDEx2 input	CLR sensitivity using the same reconstructed pseudo-count convention	Raw counts measured directly by the sequencer for each taxon
Cross-method overlap	Direction concordance among methods with distinct assumptions and effect scales	Independent replication, majority vote or ground truth
Original paper anchor	Conceptual redraw from harmonized MetaPhlAn3 profiles; not a point-for-point reconstruction of the original pipeline	Exact numerical replication of Zeller et al. KEGG/CAZy results
Causality	Adjusted cross-sectional association	CRC causes the microbial association or vice versa
