FeatureID	Feature	Species	MaAsLin3CoefficientLog2Relative	MaAsLin3NullMedian	MaAsLin3QDiseaseBH	MaAsLin3Estimable	MaAsLin3ErrorFree	ANCOMBC2CoefficientNaturalLog	ANCOMBC2QDiseaseBH	ANCOMBC2PassedPseudoSensitivity	ANCOMBC2RobustHit	ALDEx2CoefficientCLRLog2	ALDEx2QDiseaseBH	MaAsLin3Direction	ANCOMBC2Direction	ALDEx2Direction	AllThreeDirectionConcordant	MaAsLin3Hit	ALDEx2Hit	SignificantMethodCount	EvidenceLabel	IndependentReplication	InputBoundary	MinimumQ	AnyMethodHit
SP0097	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei	Solobacterium moorei	4.28379805090877	0.275695643097588	0.00328092046268991	TRUE	TRUE	3.00728691849434	0.000000000977307253856711	FALSE	FALSE	2.84088089755919	0.519133176181932	1	1	1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.000000000977307253856711	TRUE
SP0107	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	Parvimonas micra	4.27227093683742	0.275695643097588	0.00239415655296948	TRUE	TRUE	2.89318524981226	0.0000000199244875412757	FALSE	FALSE	3.89075381734623	0.357509804386508	1	1	1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.0000000199244875412757	TRUE
SP0012	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	Eubacterium hallii	-1.9240130588917	0.275695643097588	0.00693247826547672	TRUE	TRUE	-1.48643843604083	0.00368195546939531	FALSE	FALSE	-1.28418150009718	0.661329715902649	-1	-1	-1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.00368195546939531	TRUE
SP0069	k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139	Proteobacteria bacterium CAG 139	-2.39178094798495	0.275695643097588	0.0183276198673612	TRUE	TRUE	-1.76236633550203	0.000106867491551728	FALSE	FALSE	-0.765952850239505	0.906202454664668	-1	-1	-1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.000106867491551728	TRUE
SP0095	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	Ruminococcaceae bacterium D5	4.24615846218139	0.275695643097588	0.0183276198673612	TRUE	TRUE	3.10363528278837	0.00000000273470899941304	FALSE	FALSE	2.38674561787199	0.607496414402998	1	1	1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.00000000273470899941304	TRUE
SP0006	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	Anaerostipes hadrus	-1.34485194027682	0.275695643097588	0.0358557018475142	TRUE	TRUE	-1.15799092343431	0.0165677827291107	FALSE	FALSE	-2.45922236905255	0.318226479843879	-1	-1	-1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.0165677827291107	TRUE
SP0040	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	Blautia wexlerae	-1.54384921945779	0.275695643097588	0.0372776743786662	TRUE	TRUE	-1.27464187946198	0.0125136903948496	FALSE	FALSE	-2.46309664276232	0.357509804386508	-1	-1	-1	TRUE	TRUE	FALSE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.0125136903948496	TRUE
SP0010	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	Eubacterium rectale	-2.19757285341227	0.275695643097588	0.0614183160325324	TRUE	TRUE	-1.61645736559111	0.0165677827291107	FALSE	FALSE	-1.87980631714447	0.661329715902649	-1	-1	-1	TRUE	FALSE	FALSE	0	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.0165677827291107	FALSE
SP0053	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	Streptococcus salivarius	-1.30492077350047	0.275695643097588	0.139124082412166	TRUE	TRUE	-1.0359304071108	0.0608142030389058	TRUE	FALSE	-4.28908362804365	0.00646500671431603	-1	-1	-1	TRUE	FALSE	TRUE	1	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.00646500671431603	TRUE
SP0057	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	Intestinibacter bartlettii	-1.66244054508899	0.275695643097588	0.139124082412166	TRUE	TRUE	-1.32199356956122	0.00275887198827855	FALSE	FALSE	-4.08393621849258	0.357509804386508	-1	-1	-1	TRUE	FALSE	FALSE	0	Direction concordant across three methods	FALSE	ANCOM-BC2 and ALDEx2 use reconstructed pseudo-counts	0.00275887198827855	FALSE
