category	check	expected	observed	status	scope
Windows control	WSL 2 installation and VERSION 2	Capture wsl.exe evidence on Windows	Not a Windows/WSL host	NOT_RUN	Windows host only
Linux platform	validation scope	Explicit host classification	native-linux	PASS	Native Linux; Windows control plane is outside scope
Linux platform	kernel	Linux	Linux	PASS	Executed locally
Linux platform	architecture	x86_64	x86_64	PASS	Pinned Linux x86_64 environment
Linux platform	project storage	Linux filesystem; WSL projects not under /mnt/<drive>	ext4; not a WSL Windows-mounted path	PASS	Executed locally; mount target path redacted
Manager policy	conda entrypoint	Available	26.1.1	PASS	Host environment manager
Manager policy	mamba entrypoint	Available	2.5.0	PASS	Host environment manager
Manager policy	host channels	['conda-forge']	['conda-forge']	PASS	Only safe config fields queried; full .condarc omitted
Manager policy	channel priority	strict	strict	PASS	Host manager policy
Manager policy	solver	libmamba	libmamba	PASS	Host manager policy
Pinned environment	environment YAML SHA-256	8f758b6ffdcf1561ece7d187ff34bc3f5a174fd8c6da66a101b206fcc869d20c	8f758b6ffdcf1561ece7d187ff34bc3f5a174fd8c6da66a101b206fcc869d20c	PASS	Repository contract
Pinned environment	Miniforge release record	26.3.2-2; 42260ffe3830fb953d5eee1bbb32229ff06aa7c3833c1ed7a9a0420a95685d94	Release and checksum recorded	PASS	Documentation pin only; installer not downloaded on this host
Pinned environment	named environment	metagenome-platform-smoke-2026.07	metagenome-platform-smoke-2026.07	PASS	Executed locally
Pinned environment	python package	3.12.13	3.12.13	PASS	Exact version from conda package metadata
Pinned environment	seqkit package	2.10.0	2.10.0	PASS	Exact version from conda package metadata
Pinned environment	pigz package	2.8	2.8	PASS	Exact version from conda package metadata
Pinned environment	matplotlib-base package	3.10.5	3.10.5	PASS	Exact version from conda package metadata
Pinned environment	python command	3.12.13	3.12.13	PASS	Executed through conda run
Pinned environment	seqkit command	2.10.0	2.10.0	PASS	Executed through conda run
Pinned environment	pigz command	2.8	2.8	PASS	Executed through conda run
Pinned environment	matplotlib-base command	3.10.5	3.10.5	PASS	Executed through conda run
Pinned environment	explicit package lock	Generated from the validated environment	Generated	PASS	Linux x86_64 platform lock; URLs contain no credentials
