QualityLevel	Criterion	Requirement
Finished	Assembly qualitya	Single contiguous sequence without gaps or ambiguities with a consensus error rate equivalent to Q50 or better
High-quality draft	Assembly qualitya	Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S, and 5S rRNA genes and at least 18 tRNAs.
High-quality draft	Completionb	>90%
High-quality draft	Contaminationc	<5%
Medium-quality draft	Assembly qualitya	Many fragments with little to no review of assembly other than reporting of standard assembly statistics.
Medium-quality draft	Completionb	≥50%
Medium-quality draft	Contaminationc	<10%
Low-quality draft	Assembly qualitya	Many fragments with little to no review of assembly other than reporting of standard assembly statistics.
Low-quality draft	Completionb	<50%
Low-quality draft	Contaminationc	<10%
