Scenario	Standard	Role	RoleCode
Human · read profiles	STORMS	Core	2
Human · read profiles	STREAMS	Not selected	0
Human · read profiles	MIMAG	Not selected	0
Human · read profiles	MIUViG	Not selected	0
Human · MAGs	STORMS	Core	2
Human · MAGs	STREAMS	Not selected	0
Human · MAGs	MIMAG	Add	1
Human · MAGs	MIUViG	Not selected	0
Human · UViGs	STORMS	Core	2
Human · UViGs	STREAMS	Not selected	0
Human · UViGs	MIMAG	Not selected	0
Human · UViGs	MIUViG	Add	1
Environmental · read profiles	STORMS	Not selected	0
Environmental · read profiles	STREAMS	Core	2
Environmental · read profiles	MIMAG	Not selected	0
Environmental · read profiles	MIUViG	Not selected	0
Environmental · MAGs	STORMS	Not selected	0
Environmental · MAGs	STREAMS	Core	2
Environmental · MAGs	MIMAG	Add	1
Environmental · MAGs	MIUViG	Not selected	0
Non-human host · MAGs + UViGs	STORMS	Not selected	0
Non-human host · MAGs + UViGs	STREAMS	Core	2
Non-human host · MAGs + UViGs	MIMAG	Add	1
Non-human host · MAGs + UViGs	MIUViG	Add	1
Synthetic community · UViGs	STORMS	Not selected	0
Synthetic community · UViGs	STREAMS	Core	2
Synthetic community · UViGs	MIMAG	Not selected	0
Synthetic community · UViGs	MIUViG	Add	1
