Standard	WorkbookSheet	SourceRow	ManuscriptSection	ItemNumber	TopLevelItem	Item	Recommendation	ItemSource	AdditionalGuidance
STORMS	Checklist	4	Abstract	1	1	Structured or Unstructured Abstract	Abstract should include information on background, methods, results, and conclusions in structured or unstructured format.	STORMS	
STORMS	Checklist	5	Abstract	1.1	1	Study Design	State study design in abstract.	STORMS	See 3.0 for additional information on study design.
STORMS	Checklist	6	Abstract	1.2	1	Sequencing methods	State the strategy used for metagenomic classification.	STORMS	For example, targeted 16S by qPCR or sequencing, shotgun metagenomics, metatranscriptomics, etc.
STORMS	Checklist	7	Abstract	1.3	1	Specimens	Describe body site(s) studied.	STORMS	
STORMS	Checklist	9	Introduction	2	2	Background and Rationale	Summarize the underlying background, scientific evidence, or theory driving the current hypothesis as well as the study objectives.	STORMS	
STORMS	Checklist	10	Introduction	2.1	2	Hypotheses	State the pre-specified hypothesis. If the study is exploratory, state any pre-specified study objectives.	STORMS	
STORMS	Checklist	12	Methods	3	3	Study Design	Describe the study design.	STORMS	Observational (Case-Control, Cohort, Cross-sectional survey, etc.) or Experimental (Randomized controlled trial, Non-randomized controlled trial, etc.). For a brief description of common study designs see: DOI: 10.11613/BM.2014.022 If applicable, describe any blinding (e.g. single or double-blinding) used in the course of the study.
STORMS	Checklist	13	Methods	3.1	3	Participants	State what the population of interest is, and the method by which participants are sampled from that population. Include relevant information on physiological state of the subjects or stage in the life history of disease under study when participants were sampled.	STORMS	Examples of the population of interest could be: adults with no chronic health conditions, adults with type II diabetes, newborns, etc. This is the total population to whom the study is hoped to be generalizable to. The sampling method describes how potential participants were selected from that population. If the participants are from a substudy of a larger study, provide a brief description of that study and cite that study. Clearly state how cases and controls are defined. An example of relevant physiological state might be pre/post menopausal for a vaginal microbiome study; examples of stage in the life history of disease could be whether specimens were collected during active or dormant disease, or before or after treatment.
STORMS	Checklist	14	Methods	3.2	3	Geographic location	State the geographic region(s) where participants were sampled from.	MIxS: geographic location (country and/or sea,region)	Geographic coordinates can be reported to prevent potential ambiguities if necessary.
STORMS	Checklist	15	Methods	3.3	3	Relevant Dates	State the start and end dates for recruitment, follow-up, and data collection.	STORMS	Recruitment is the period in which participants are recruited for the study. In longitudinal studies, follow-up is the date range in which participants are asked to complete a specific assessment. Finally, data collection is the total period in which data is being collected from participants including during initial recruitment through all follow-ups.
