ReportingDomain	Standard	Coverage	CoverageCode
Design and context	STORMS	Core	2
Design and context	STREAMS	Core	2
Design and context	MIMAG	Supporting	1
Design and context	MIUViG	Supporting	1
Sampling and metadata	STORMS	Core	2
Sampling and metadata	STREAMS	Core	2
Sampling and metadata	MIMAG	Supporting	1
Sampling and metadata	MIUViG	Core	2
Laboratory controls	STORMS	Core	2
Laboratory controls	STREAMS	Core	2
Laboratory controls	MIMAG	Not primary	0
Laboratory controls	MIUViG	Not primary	0
Bioinformatics and statistics	STORMS	Core	2
Bioinformatics and statistics	STREAMS	Core	2
Bioinformatics and statistics	MIMAG	Supporting	1
Bioinformatics and statistics	MIUViG	Supporting	1
Software and database versions	STORMS	Core	2
Software and database versions	STREAMS	Core	2
Software and database versions	MIMAG	Core	2
Software and database versions	MIUViG	Core	2
Data and code access	STORMS	Core	2
Data and code access	STREAMS	Core	2
Data and code access	MIMAG	Supporting	1
Data and code access	MIUViG	Supporting	1
Bacterial/archaeal genome quality	STORMS	Supporting	1
Bacterial/archaeal genome quality	STREAMS	Supporting	1
Bacterial/archaeal genome quality	MIMAG	Core	2
Bacterial/archaeal genome quality	MIUViG	Not primary	0
Virus genome quality	STORMS	Supporting	1
Virus genome quality	STREAMS	Supporting	1
Virus genome quality	MIMAG	Not primary	0
Virus genome quality	MIUViG	Core	2
Results, limits and generalizability	STORMS	Core	2
Results, limits and generalizability	STREAMS	Core	2
Results, limits and generalizability	MIMAG	Not primary	0
Results, limits and generalizability	MIUViG	Not primary	0
Ethics, consent and governance	STORMS	Core	2
Ethics, consent and governance	STREAMS	Context-specific	1
Ethics, consent and governance	MIMAG	Not primary	0
Ethics, consent and governance	MIUViG	Not primary	0
