ProcessID	Element	Process	StrictCarrierMAGs	Relaxed80CarrierMAGs	MedianCompleteness	MedianContamination	CarrierPhyla
anammox	Nitrogen	Anaerobic ammonium oxidation	0	0			0
cbb	Carbon	Calvin-Benson-Bassham fixation	134	134	93.99000000000001	0.53	6
cummo	Carbon/Nitrogen	Copper membrane monooxygenase	10	10	97.785	0.485	2
dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	79	79	91.42	0.96	14
dsr	Sulfur	DsrAB sulfite/sulfide axis	43	43	93.39	0.5	10
hao	Nitrogen	Hydroxylamine oxidation	65	65	94.42	0.66	12
mcr	Carbon	Methyl-coenzyme M reductase	1	1	89.62	0.08	1
n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	150	150	94.27	0.69	15
n_fix	Nitrogen	Nitrogen fixation	66	66	93.66499999999999	0.805	5
nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	24	24	93.63	1.49	7
nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	23	23	92.73	1.64	9
nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	89	89	92.79	0.64	14
no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	18	18	93.995	1.58	7
phs	Sulfur	Thiosulfate/polysulfide reduction	0	0			0
rtca	Carbon	Reverse TCA fixation	7	7	95.57	0.4	2
sox	Sulfur	Thiosulfate oxidation by Sox	16	22	94.675	1.0550000000000002	3
sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	39	39	94.29	0.5	8
sulfur_reduction	Sulfur	Elemental sulfur reduction	1	1	94.66	1.94	1
three_hp	Carbon	3-hydroxypropionate bicycle	30	48	96.055	1.08	1
wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	23	33	90.39	1.06	5
