ProcessID	Element	Process	Variable	SpearmanRho	PermutationP	BootstrapLow95	BootstrapHigh95	IndependentSprings	NonzeroCommunitySprings	MinimumNonzeroSprings	Permutations	Bootstraps	FDR
cbb	Carbon	Calvin-Benson-Bassham fixation	Temperature	-0.3994258275673335	0.0024	-0.6168680792012007	-0.13605376705891073	56	55	12	9999	2000	0.012799999999999999
rtca	Carbon	Reverse TCA fixation	Temperature	0.511569615150339	0.0002	0.2998415021685605	0.6896280979977943	56	18	12	9999	2000	0.0032
wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	Temperature	0.3125413077110581	0.0196	0.027170331857816497	0.562837326755146	56	44	12	9999	2000	0.0784
three_hp	Carbon	3-hydroxypropionate bicycle	Temperature	0.032556534275620705	0.8086	-0.26791110183696965	0.31955885586162064	56	45	12	9999	2000	0.9085866666666667
mcr	Carbon	Methyl-coenzyme M reductase	Temperature					56	2	12	9999	2000	
cummo	Carbon/Nitrogen	Copper membrane monooxygenase	Temperature	0.18702606519426543	0.174	-0.0972930975763655	0.4299274263431855	56	21	12	9999	2000	0.3977142857142857
n_fix	Nitrogen	Nitrogen fixation	Temperature	-0.4160142556287631	0.0018	-0.6104595412112394	-0.16199352100141426	56	46	12	9999	2000	0.012799999999999999
nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	Temperature	-0.004438445057169618	0.9707	-0.3073278960843625	0.2767944369370222	56	46	12	9999	2000	0.9707
dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	Temperature	0.1171323593780718	0.3889	-0.1345176386550928	0.367996355869678	56	53	12	9999	2000	0.5656727272727273
nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	Temperature	0.2027856107937263	0.134	-0.08124804362013235	0.4685605156105501	56	53	12	9999	2000	0.35733333333333334
no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	Temperature	-0.05639481618258872	0.6891	-0.34564692574136924	0.24089729357313241	56	44	12	9999	2000	0.873476923076923
